GEOID,POP_ESTIMATE_2016
00000,"323,127,513"
01000,"4,863,300"
01001,"55,416"
01003,"208,563"
01005,"25,965"
01007,"22,643"
01009,"57,704"
01011,"10,362"
01013,"19,998"
01015,"114,611"
01017,"33,843"
01019,"25,725"
01021,"43,941"
01023,"12,993"
01025,"24,392"
01027,"13,492"
01029,"14,924"
01031,"51,226"
01033,"54,216"
01035,"12,395"
01037,"10,581"
01039,"37,458"
01041,"13,913"
01043,"82,471"
01045,"49,226"
01047,"40,008"
01049,"70,900"
01051,"81,799"
01053,"37,728"
01055,"102,564"
01057,"16,546"
01059,"31,628"
01061,"26,614"
01063,"8,422"
01065,"14,952"
01067,"17,164"
01069,"104,056"
01071,"52,138"
01073,"659,521"
01075,"13,918"
01077,"92,318"
01079,"33,244"
01081,"158,991"
01083,"92,753"
01085,"10,358"
01087,"18,963"
01089,"356,967"
01091,"19,673"
01093,"29,998"
01095,"95,157"
01097,"414,836"
01099,"21,530"
01101,"226,349"
01103,"119,012"
01105,"9,574"
01107,"20,324"
01109,"33,286"
01111,"22,652"
01113,"58,172"
01115,"88,019"
01117,"210,622"
01119,"13,040"
01121,"80,103"
01123,"40,727"
01125,"206,102"
01127,"64,967"
01129,"16,756"
01131,"10,986"
01133,"23,805"
02000,"741,894"
02013,"3,296"
02016,"5,647"
02020,"298,192"
02050,"17,968"
02060,898
02068,"1,953"
02070,"4,954"
02090,"100,605"
02100,"2,496"
02105,"2,078"
02110,"32,468"
02122,"58,506"
02130,"13,746"
02150,"13,732"
02158,"8,049"
02164,"1,562"
02170,"104,365"
02180,"9,917"
02185,"9,606"
02188,"7,673"
02195,"3,149"
02198,"6,347"
02220,"8,830"
02230,"1,088"
02240,"6,876"
02261,"9,355"
02275,"2,411"
02282,601
02290,"5,526"
04000,"6,931,071"
04001,"73,112"
04003,"125,770"
04005,"140,908"
04007,"53,556"
04009,"37,599"
04011,"9,613"
04012,"20,317"
04013,"4,242,997"
04015,"205,249"
04017,"110,026"
04019,"1,016,206"
04021,"418,540"
04023,"45,985"
04025,"225,562"
04027,"205,631"
05000,"2,988,248"
05001,"18,214"
05003,"20,492"
05005,"41,062"
05007,"258,291"
05009,"37,304"
05011,"10,996"
05013,"5,144"
05015,"27,646"
05017,"10,945"
05019,"22,657"
05021,"14,920"
05023,"25,264"
05025,"8,241"
05027,"23,901"
05029,"20,937"
05031,"105,835"
05033,"62,267"
05035,"49,235"
05037,"17,037"
05039,"7,469"
05041,"11,876"
05043,"18,651"
05045,"122,227"
05047,"17,626"
05049,"12,123"
05051,"97,477"
05053,"18,082"
05055,"44,598"
05057,"21,974"
05059,"33,374"
05061,"13,377"
05063,"37,168"
05065,"13,433"
05067,"17,221"
05069,"70,016"
05071,"26,176"
05073,"6,847"
05075,"16,735"
