category,domain,winner,subset,increase
popular,MapsLocations,DEM,full,0.2
popular,MapsLocations,DEM,top_three,0.23
popular,MapsLocations,urban,full,0.13
popular,MapsLocations,urban,top_three,0.18
top_insurance,MapsLocations,DEM,full,0.4
top_insurance,MapsLocations,DEM,top_three,0.31
top_insurance,MapsLocations,high-income,full,0.26
top_insurance,MapsLocations,high-income,top_three,0.23
top_insurance,MapsLocations,urban,full,0.22
top_insurance,MapsLocations,urban,top_three,0.27
top_loans,MapsLocations,DEM,full,0.44
top_loans,MapsLocations,DEM,top_three,0.23
top_loans,MapsLocations,high-income,full,0.19
top_loans,MapsLocations,urban,full,0.16
top_loans,MapsLocations,urban,top_three,0.16
popular,UserTweetCarousel,high-income,top_three,0.14
popular,UserTweetCarousel,urban,top_three,0.1
popular,facebook.com,GOP,full,0.23
popular,facebook.com,low-income,full,0.12
popular,facebook.com,low-income,top_three,0.05
popular,facebook.com,rural,full,0.15
popular,facebook.com,rural,top_three,0.02
popular,twitter.com,high-income,top_three,0.14
popular,wikipedia.org,GOP,full,0.16
popular,wikipedia.org,low-income,full,0.12
popular,wikipedia.org,rural,full,0.14
top_insurance,wikipedia.org,GOP,top_three,0.07
popular,yelp.com,high-income,full,0.16
