,category,domain,increase,subset,winner
0,popular,MapsLocations,0.13,full,urban
1,popular,yelp.com,0.07,full,urban
2,popular,facebook.com,0.15,full,rural
3,popular,code_appears_facebook.comtfo$,0.15,full,rural
4,popular,tripadvisor.com,0.04,full,urban
5,popular,wikipedia.org,0.14,full,rural
6,popular,knowledge_panel__wikipedia.org,0.07,full,urban
7,popular,knowledge_panel__b'',0.06,full,rural
8,popular,MapsLocations,0.18,top_three,urban
9,popular,UserTweetCarousel,0.1,top_three,urban
10,popular,NewsCarousel,0.16,top_three,rural
11,popular,code_appears_twitter.comtfo$,0.03,top_three,rural
12,popular,facebook.com,0.02,top_three,rural
13,popular,code_appears_facebook.comtfo$,0.02,top_three,rural
14,popular,knowledge_panel__wikipedia.org,0.07,top_three,urban
15,popular,knowledge_panel__b'',0.06,top_three,rural
16,popular,google.com,0.12,full,low-income
17,popular,facebook.com,0.12,full,low-income
18,popular,wikipedia.org,0.12,full,low-income
19,popular,code_appears_facebook.comtfo$,0.12,full,low-income
20,popular,yelp.com,0.16,full,high-income
21,popular,NewsCarousel,0.21,top_three,low-income
22,popular,twitter.com,0.14,top_three,high-income
23,popular,UserTweetCarousel,0.14,top_three,high-income
24,popular,code_appears_twitter.com,0.13,top_three,high-income
25,popular,facebook.com,0.05,top_three,low-income
26,popular,code_appears_facebook.comtfo$,0.05,top_three,low-income
27,procon_popular,drugabuse.gov,0.06,top_three,low-income
28,popular,MapsLocations,0.2,full,DEM
29,popular,facebook.com,0.23,full,GOP
30,popular,apple.com,0.07,full,GOP
31,popular,wikipedia.org,0.16,full,GOP
32,popular,code_appears_facebook.comtfo$,0.22,full,GOP
33,popular,yelp.com,0.09,full,DEM
34,popular,tripadvisor.com,0.04,full,DEM
35,popular,NewsCarousel,0.12,top_three,GOP
36,popular,MapsLocations,0.23,top_three,DEM
37,procon_popular,people also ask,0.16,full,GOP
38,top_insurance,MapsLocations,0.26,full,high-income
39,top_insurance,yelp.com,0.04,full,high-income
40,top_insurance,uhc.com,0.06,top_three,low-income
41,top_insurance,MapsLocations,0.23,top_three,high-income
42,top_insurance,safeauto.com,0.04,top_three,low-income
43,top_insurance,nerdwallet.com,0.08,top_three,low-income
44,top_loans,MapsLocations,0.19,full,high-income
45,top_loans,checkngo.com,0.04,top_three,low-income
46,top_loans,NewsCarousel,0.07,top_three,high-income
47,top_insurance,MapsLocations,0.4,full,DEM
48,top_insurance,yelp.com,0.08,full,DEM
49,top_insurance,thegeneral.com,0.07,top_three,GOP
50,top_insurance,MapsLocations,0.31,top_three,DEM
51,top_insurance,google.com,0.15,top_three,GOP
52,top_insurance,yelp.com,0.04,top_three,DEM
53,top_insurance,wikipedia.org,0.07,top_three,GOP
54,top_loans,MapsLocations,0.44,full,DEM
55,top_loans,yelp.com,0.04,full,DEM
56,top_loans,MapsLocations,0.23,top_three,DEM
57,top_loans,rocketloans.com,0.07,top_three,GOP
58,top_loans,bankrate.com,0.09,top_three,GOP
59,top_loans,citizensbank.com,0.08,top_three,DEM
60,top_insurance,MapsLocations,0.22,full,urban
61,top_insurance,yelp.com,0.07,full,urban
62,top_insurance,knowledge_panel__b'',0.14,full,urban
63,top_insurance,MapsLocations,0.27,top_three,urban
64,top_insurance,google.com,0.07,top_three,rural
65,top_insurance,progressive.insurance,0.07,top_three,rural
66,top_insurance,knowledge_panel__b'',0.14,top_three,urban
67,top_loans,MapsLocations,0.16,full,urban
68,top_loans,youtube.com,0.06,full,urban
69,top_loans,MapsLocations,0.16,top_three,urban
70,top_loans,rocketloans.com,0.09,top_three,rural
71,top_loans,UserTweetCarousel,0.07,top_three,rural
72,top_loans,code_appears_twitter.com,0.07,top_three,rural
