category,domain,winner,subset,increase,fisher_pval
popular,MapsLocations,DEM,full,0.2,0.00021460698998935118
popular,MapsLocations,DEM,top_three,0.23,2.1901088460413212e-05
popular,MapsLocations,urban,full,0.13,0.019830134295721738
popular,MapsLocations,urban,top_three,0.18,0.0010532543574193393
top_insurance,MapsLocations,DEM,full,0.4,1.2404336871877667e-08
top_insurance,MapsLocations,DEM,top_three,0.31,6.141974277269485e-07
top_insurance,MapsLocations,high-income,full,0.26,9.643175602341058e-05
top_insurance,MapsLocations,high-income,top_three,0.23,0.0007430067803351794
top_insurance,MapsLocations,urban,full,0.22,0.0017515482249330435
top_insurance,MapsLocations,urban,top_three,0.27,4.48272954855332e-05
top_loans,MapsLocations,DEM,full,0.44,5.968336415689579e-11
top_loans,MapsLocations,DEM,top_three,0.23,8.440502025102421e-05
top_loans,MapsLocations,high-income,full,0.19,0.010692029714311158
top_loans,MapsLocations,urban,full,0.16,0.03359997147915158
top_loans,MapsLocations,urban,top_three,0.16,0.013827799695268015
popular,tripadvisor.com,DEM,full,0.04,0.014723767807562004
popular,wikipedia.org,GOP,full,0.16,0.00036969048583675667
popular,wikipedia.org,low-income,full,0.12,0.008634654636766294
popular,wikipedia.org,rural,full,0.14,0.0029966612024965077
popular,yelp.com,DEM,full,0.08,0.0010862669592038804
popular,yelp.com,high-income,full,0.15,1.5857251134655794e-07
popular,yelp.com,urban,full,0.07,0.008345123130976951
top_insurance,yelp.com,DEM,full,0.08,0.0067546745752480215
top_insurance,yelp.com,urban,full,0.07,0.014017765516377638
