,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.1,results_full_domain_appears_MapsLocations,10,10,0.05,0.0,0.1,inf,20,low-income,high-income,0.34343639613791355,quicken,high-income
1,0.4,*results_full_domain_appears_MapsLocations,10,10,0.2,0.0,0.4,inf,20,low-income,high-income,0.03678749787978613,loans bad credit,high-income
2,0.3,results_full_domain_appears_MapsLocations,10,10,0.65,0.5,0.8,1.6,20,low-income,high-income,0.1776880165605986,progressive,high-income
3,0.4,*results_full_domain_appears_MapsLocations,10,10,0.8,0.6,1.0,1.67,20,low-income,high-income,0.03678749787978613,personal loans,high-income
4,0.7,**results_full_domain_appears_MapsLocations,10,10,0.45,0.1,0.8,8.0,20,low-income,high-income,0.000623745701199474,home loans,high-income
5,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,car insurance,
6,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,insurance companies,
7,0.4,*results_full_domain_appears_MapsLocations,10,10,0.8,0.6,1.0,1.67,20,low-income,high-income,0.03678749787978613,life insurance,high-income
8,0.9,**results_full_domain_appears_MapsLocations,10,10,0.45,0.0,0.9,inf,20,low-income,high-income,8.538051223166285e-06,geico insurance,high-income
9,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,loan,
10,0.6,*results_full_domain_appears_MapsLocations,10,10,0.6,0.3,0.9,3.0,20,low-income,high-income,0.00481102818085497,geico,high-income
11,0.3,results_full_domain_appears_MapsLocations,10,10,0.55,0.4,0.7,1.75,20,low-income,high-income,0.1964675160349241,progressive insurance,high-income
12,0.1,results_full_domain_appears_MapsLocations,10,10,0.95,1.0,0.9,1.11,20,low-income,high-income,0.34343639613791366,payday loans,low-income
13,0.4,results_full_domain_appears_MapsLocations,10,10,0.4,0.2,0.6,3.0,20,low-income,high-income,0.07459169984478176,quicken loans,high-income
14,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,bank loans,
15,0.1,results_full_domain_appears_MapsLocations,10,10,0.95,0.9,1.0,1.11,20,low-income,high-income,0.34343639613791366,home insurance,high-income
16,0.6,*results_full_domain_appears_MapsLocations,10,10,0.3,0.0,0.6,inf,20,low-income,high-income,0.005121072764272635,hairloss,high-income
17,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,auto insurance,
