,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.145,**results_full_domain_appears_MapsLocations,440,360,0.30375,0.239,0.383,1.61,800,rural,urban,1.1458933942059371e-05,urban
1,0.128,**results_full_domain_appears_MapsLocations,400,400,0.30375,0.24,0.368,1.53,800,low-income,high-income,8.37279586351672e-05,high-income
2,0.022,results_full_domain_appears_wikipedia.org,440,360,0.36,0.35,0.372,1.06,800,rural,urban,0.5159419134800874,urban
3,0.02,results_full_domain_appears_wikipedia.org,400,400,0.36,0.35,0.37,1.06,800,low-income,high-income,0.5562651129173491,high-income
4,0.007,results_full_domain_appears_wikipedia.org,200,600,0.36,0.355,0.362,1.02,800,GOP,DEM,0.865031285608333,DEM
5,0.07,*results_top_three_domain_appears_MapsLocations,440,360,0.13625,0.105,0.175,1.67,800,rural,urban,0.004644581732333745,urban
6,0.022,*results_top_three_domain_appears_nerdwallet.com,440,360,0.015,0.025,0.003,9.0,800,rural,urban,0.005378600709873077,rural
7,0.072,*results_top_three_domain_appears_MapsLocations,400,400,0.13625,0.1,0.172,1.72,800,low-income,high-income,0.0027716682312564815,high-income
8,0.02,*results_top_three_domain_appears_nerdwallet.com,400,400,0.015,0.025,0.005,5.0,800,low-income,high-income,0.02006185624814587,low-income
9,0.007,results_top_three_domain_appears_wikipedia.org,440,360,0.10375,0.107,0.1,1.07,800,rural,urban,0.7527238478635465,rural
10,0.003,results_top_three_domain_appears_wikipedia.org,400,400,0.10375,0.105,0.102,1.02,800,low-income,high-income,0.907840628437187,low-income
11,0.002,results_top_three_domain_appears_wikipedia.org,200,600,0.10375,0.105,0.103,1.02,800,GOP,DEM,0.9469676826685475,GOP
