,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.8,**results_top_three_domain_appears_nerdwallet.com,10,10,0.6,1.0,0.2,5.0,20,low-income,high-income,0.0002024993220676408,geico insurance,low-income
1,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.1,0.0,0.2,inf,20,low-income,high-income,0.16785065605707492,bank loans,high-income
2,0.3,results_top_three_domain_appears_MapsLocations,10,10,0.15,0.0,0.3,inf,20,low-income,high-income,0.0811261888458405,geico insurance,high-income
3,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.9,1.0,0.8,1.25,20,low-income,high-income,0.16785065605707492,payday loans,low-income
4,0.4,results_top_three_domain_appears_MapsLocations,10,10,0.5,0.3,0.7,2.33,20,low-income,high-income,0.08055387210850919,car insurance,high-income
5,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.05,0.0,0.1,inf,20,low-income,high-income,0.34343639613791355,home insurance,high-income
6,0.0,results_top_three_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,insurance companies,
7,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.4,0.3,0.5,1.67,20,low-income,high-income,0.38809613338586924,progressive,high-income
8,0.0,results_top_three_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,loan,
9,0.5,*results_top_three_domain_appears_MapsLocations,10,10,0.25,0.0,0.5,inf,20,low-income,high-income,0.014956363910414203,progressive insurance,high-income
10,0.5,*results_top_three_domain_appears_MapsLocations,10,10,0.25,0.0,0.5,inf,20,low-income,high-income,0.014956363910414203,personal loans,high-income
11,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.05,0.0,0.1,inf,20,low-income,high-income,0.34343639613791355,home loans,high-income
12,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.5,0.4,0.6,1.5,20,low-income,high-income,0.39787297935196175,auto insurance,high-income
13,0.6,*results_top_three_domain_appears_MapsLocations,10,10,0.3,0.0,0.6,inf,20,low-income,high-income,0.005121072764272635,geico,high-income
