,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_webmd.com,results_full_domain_appears_webmd.com,results_full_domain_rank_webmd.com,results_full_domain_frac_healthline.com,results_full_domain_appears_healthline.com,results_full_domain_rank_healthline.com,results_full_domain_frac_medicinenet.com,results_full_domain_appears_medicinenet.com,results_full_domain_rank_medicinenet.com,results_full_domain_frac_emedicinehealth.com,results_full_domain_appears_emedicinehealth.com,results_full_domain_rank_emedicinehealth.com,results_full_domain_frac_mayoclinic.org,results_full_domain_appears_mayoclinic.org,results_full_domain_rank_mayoclinic.org,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_frac_medlineplus.gov,results_full_domain_appears_medlineplus.gov,results_full_domain_rank_medlineplus.gov,results_full_domain_frac_medicalnewstoday.com,results_full_domain_appears_medicalnewstoday.com,results_full_domain_rank_medicalnewstoday.com,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_webmd.com,results_top_three_domain_appears_webmd.com,results_top_three_domain_frac_healthline.com,results_top_three_domain_appears_healthline.com,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_domain_frac_webmd.com,results_top_domain_appears_webmd.com,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_top_three_domain_frac_medicinenet.com,results_top_three_domain_appears_medicinenet.com,results_top_domain_frac_medicinenet.com,results_top_domain_appears_medicinenet.com,results_full_domain_frac_mensfitness.com,results_full_domain_appears_mensfitness.com,results_full_domain_rank_mensfitness.com,results_full_domain_frac_livestrong.com,results_full_domain_appears_livestrong.com,results_full_domain_rank_livestrong.com,results_top_three_domain_frac_mayoclinic.org,results_top_three_domain_appears_mayoclinic.org,results_full_domain_frac_helpguide.org,results_full_domain_appears_helpguide.org,results_full_domain_rank_helpguide.org,results_full_domain_frac_huffingtonpost.com,results_full_domain_appears_huffingtonpost.com,results_full_domain_rank_huffingtonpost.com,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_frac_womenshealthmag.com,results_full_domain_appears_womenshealthmag.com,results_full_domain_rank_womenshealthmag.com,results_full_domain_frac_youtube.com,results_full_domain_appears_youtube.com,results_full_domain_rank_youtube.com,results_top_three_domain_frac_helpguide.org,results_top_three_domain_appears_helpguide.org,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_endocrineweb.com,results_full_domain_appears_endocrineweb.com,results_full_domain_rank_endocrineweb.com,results_top_domain_frac_mayoclinic.org,results_top_domain_appears_mayoclinic.org,results_top_three_domain_frac_womenshealthmag.com,results_top_three_domain_appears_womenshealthmag.com,results_full_domain_frac_health.com,results_full_domain_appears_health.com,results_full_domain_rank_health.com,results_full_domain_frac_prevention.com,results_full_domain_appears_prevention.com,results_full_domain_rank_prevention.com,results_top_three_domain_frac_emedicinehealth.com,results_top_three_domain_appears_emedicinehealth.com,results_top_domain_frac_emedicinehealth.com,results_top_domain_appears_emedicinehealth.com,results_full_domain_frac_draxe.com,results_full_domain_appears_draxe.com,results_full_domain_rank_draxe.com,results_full_domain_frac_sciencealert.com,results_full_domain_appears_sciencealert.com,results_full_domain_rank_sciencealert.com,results_top_three_domain_frac_huffingtonpost.com,results_top_three_domain_appears_huffingtonpost.com,results_top_domain_frac_helpguide.org,results_top_domain_appears_helpguide.org,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_domain_frac_health.com,results_top_three_domain_appears_health.com,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_three_domain_frac_medicalnewstoday.com,results_top_three_domain_appears_medicalnewstoday.com,results_top_domain_frac_medicalnewstoday.com,results_top_domain_appears_medicalnewstoday.com,results_top_three_domain_frac_sciencealert.com,results_top_three_domain_appears_sciencealert.com,results_top_domain_frac_sciencealert.com,results_top_domain_appears_sciencealert.com,results_top_domain_frac_healthline.com,results_top_domain_appears_healthline.com
count,400.0,400,400,400,400.0,400,400,400,400,400,400.0,400,400.0,400.0,400.0,400,400.0,400,400,400.0,400.0,400.0,400.0,266.0,266.0,266.0,220.0,220.0,220.0,223.0,223.0,223.0,60.0,60.0,60.0,200.0,200.0,200.0,168.0,168.0,168.0,60.0,60.0,60.0,180.0,180.0,180.0,400.0,400.0,200.0,200.0,60.0,60.0,400.0,400.0,120.0,120.0,400.0,400.0,40.0,40.0,20.0,20.0,60.0,60.0,60.0,88.0,88.0,88.0,80.0,80.0,40.0,40.0,40.0,93.0,93.0,93.0,80.0,80.0,80.0,60.0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,60.0,60.0,20.0,20.0,20.0,40.0,40.0,20.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,20.0,20.0,20.0,60.0,60.0,60.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,,1,1,1,,400,1,20,20,20,,1,,,,178,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-17 05:49:30.418114,localhost,31.733633,-84.491052,"Franklin, New Jersey",,med_sample_first_20,,,,0,,dropsy disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,400,400,400,,1,400,20,20,20,,400,,,,20,,20,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,600.5,,,,1.0,,,,,,0.0,,4.1,64691.15,0.5703824616294492,,13.1675,,,0.0,0.8565789473684197,0.9630352717458,1.0,0.14821143768512193,1.0,3.0839598997493733,0.08465200129638661,1.0,4.9772727272727275,0.1158785161027316,1.0,7.7757847533632285,0.10416666666666671,1.0,4.0,0.10303030303030307,1.0,6.1775,0.0814574314574316,1.0,4.779761904761905,0.13194444444444453,1.0,8.066666666666666,0.10633788869082984,1.0,7.872222222222222,-0.34063918611111094,-0.1458398728146854,0.4833333333333338,1.0,0.33333333333333326,1.0,-0.34922724999999927,-0.15092833333333344,1.0,1.0,-0.39865500000000226,-0.13730499999999973,0.49999999999999967,1.0,1.0,1.0,0.08021390374331541,1.0,6.766666666666667,0.08737947658402197,1.0,8.545454545454545,0.333333333333333,1.0,0.09791666666666665,1.0,2.5,0.10500162919517773,1.0,7.498207885304663,0.06262254901960787,1.0,4.925,0.06821895424836596,1.0,6.0,0.10776515151515147,1.0,7.75,0.4999999999999999,1.0,0.33333333333333326,1.0,0.18181818181818177,1.0,6.5,1.0,1.0,0.3333333333333332,1.0,0.07903743315508013,1.0,5.22,0.07759803921568614,1.0,7.8,0.6666666666666664,1.0,1.0,1.0,0.07638888888888887,1.0,7.766666666666667,0.11666666666666665,1.0,4.5,0.3333333333333332,1.0,1.0,1.0,0.1666666666666666,1.0,0.1666666666666666,1.0,0.25,1.0,0.6666666666666664,1.0,1.0,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0
std,115.61430130683084,,,,0.0,,,,,,0.0,,2.024907560005248,44559.025807121274,0.2098890827174034,,2.6753199981930837,,,0.0,0.919989210286463,0.05116450286481454,0.0,0.04807397541102985,0.0,1.4093315929358559,0.009692473341621263,0.0,2.5055977181663014,0.04458374044780829,0.0,3.173503220763909,0.04538494071485772,0.0,1.6467739391852365,0.03597708354747087,0.0,3.043609954936563,0.011213381636547594,0.0,2.117578538124827,0.049519030056409175,0.0,2.6094136406523583,0.02655014057556993,0.0,2.573566869305771,0.21937487038825162,0.20606022485810188,0.1897719693079259,0.0,5.597960807009036e-17,0.0,0.36393124371543395,0.21539203616324923,0.0,0.0,0.5065195609639367,0.20561054865764583,0.16878989451394447,0.0,0.0,0.0,0.015252920487963471,0.0,2.181328056573674,0.0038007207661031332,0.0,2.04494943258218,3.351682967344966e-16,0.0,0.0358678525842132,0.0,0.5063696835418333,0.05086042023519278,0.0,1.6267863877851454,0.0027931867399375154,0.0,2.309994794229434,0.010883433230112356,0.0,2.17847715431317,0.017494411261102995,0.0,1.7722938923964167,0.16878989451394444,0.0,5.597960807009036e-17,0.0,5.695323946259567e-17,0.0,0.0,0.0,0.0,1.1390647892519134e-16,0.0,0.016047812084272698,0.0,2.3380039833718467,0.015229344685356498,0.0,2.5741527977691274,2.278129578503827e-16,0.0,0.0,0.0,0.016923631130658066,0.0,3.4707819988607485,0.05063696835418335,0.0,1.5191090506254998,1.1390647892519134e-16,0.0,0.0,0.0,5.695323946259567e-17,0.0,5.695323946259567e-17,0.0,0.0,0.0,2.278129578503827e-16,0.0,0.0,0.0,1.1390647892519134e-16,0.0,0.0,0.0,0.0,0.0
min,401.0,,,,1.0,,,,,,0.0,,1.0,19328.0,0.11503811503799999,,10.0,,,0.0,0.0,0.7814992025518341,1.0,0.08333333333333333,1.0,1.5,0.058823529411764705,1.0,1.0,0.0625,1.0,2.0,0.0625,1.0,2.0,0.08333333333333333,1.0,1.0,0.0625,1.0,2.0,0.0625,1.0,4.5,0.08333333333333333,1.0,2.0,-0.8394666666666667,-0.714981818181818,0.16666666666666666,1.0,0.3333333333333333,1.0,-0.9678333333333334,-0.8015333333333333,1.0,1.0,-0.9643,-0.6705,0.3333333333333333,1.0,1.0,1.0,0.058823529411764705,1.0,5.0,0.08333333333333333,1.0,6.0,0.3333333333333333,1.0,0.0625,1.0,2.0,0.0625,1.0,5.666666666666667,0.058823529411764705,1.0,1.0,0.058823529411764705,1.0,3.0,0.08333333333333333,1.0,6.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.18181818181818182,1.0,6.5,1.0,1.0,0.3333333333333333,1.0,0.058823529411764705,1.0,2.0,0.058823529411764705,1.0,4.0,0.6666666666666666,1.0,1.0,1.0,0.0625,1.0,4.0,0.06666666666666667,1.0,3.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
25%,500.75,,,,1.0,,,,,,0.0,,2.0,20684.25,0.4933933992384999,,12.0,,,0.0,0.0,0.9210526315789473,1.0,0.1,1.0,2.0,0.08333333333333333,1.0,3.0,0.08333333333333333,1.0,5.0,0.0625,1.0,2.0,0.08333333333333333,1.0,3.0,0.08333333333333333,1.0,3.0,0.0625,1.0,4.5,0.09090909090909091,1.0,7.5,-0.45639,-0.31325852272727267,0.3333333333333333,1.0,0.3333333333333333,1.0,-0.5853916666666666,-0.3209666666666666,1.0,1.0,-0.83525,-0.30155,0.3333333333333333,1.0,1.0,1.0,0.058823529411764705,1.0,5.0,0.08333333333333333,1.0,7.0,0.3333333333333333,1.0,0.0625,1.0,2.0,0.08333333333333333,1.0,6.0,0.06158088235294118,1.0,4.75,0.058823529411764705,1.0,3.0,0.09090909090909091,1.0,6.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.18181818181818182,1.0,6.5,1.0,1.0,0.3333333333333333,1.0,0.0625,1.0,4.0,0.0625,1.0,6.0,0.6666666666666666,1.0,1.0,1.0,0.0625,1.0,4.0,0.06666666666666667,1.0,3.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
50%,600.5,,,,1.0,,,,,,0.0,,5.5,60892.5,0.6076964284819999,,12.0,,,0.0,0.5789473684210527,0.9976076555023924,1.0,0.16666666666666666,1.0,2.6666666666666665,0.08333333333333333,1.0,4.5,0.09090909090909091,1.0,8.0,0.08333333333333333,1.0,4.0,0.08333333333333333,1.0,7.0,0.08333333333333333,1.0,5.0,0.16666666666666666,1.0,9.0,0.09090909090909091,1.0,8.5,-0.3040555555555555,-0.06086856060606061,0.5,1.0,0.3333333333333333,1.0,-0.37315000000000004,0.0,1.0,1.0,-0.5106,0.0,0.5,1.0,1.0,1.0,0.09090909090909091,1.0,5.5,0.09090909090909091,1.0,9.0,0.3333333333333333,1.0,0.09791666666666667,1.0,2.5,0.08333333333333333,1.0,8.0,0.0625,1.0,6.0,0.0625,1.0,7.0,0.10795454545454546,1.0,7.75,0.5,1.0,0.3333333333333333,1.0,0.18181818181818182,1.0,6.5,1.0,1.0,0.3333333333333333,1.0,0.08333333333333333,1.0,5.0,0.08333333333333333,1.0,8.0,0.6666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,7.0,0.11666666666666667,1.0,4.5,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
75%,700.25,,,,1.0,,,,,,0.0,,6.0,105523.75,0.7455819102682502,,14.0,,,0.0,1.4736842105263157,1.0,1.0,0.18181818181818182,1.0,4.0,0.09090909090909091,1.0,8.0,0.16666666666666666,1.0,11.0,0.16666666666666666,1.0,6.0,0.09090909090909091,1.0,9.0,0.09090909090909091,1.0,5.0,0.16666666666666666,1.0,10.5,0.11764705882352941,1.0,9.0,-0.25378,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0,-0.1244,0.0,1.0,1.0,0.025675,0.0,0.6666666666666666,1.0,1.0,1.0,0.09090909090909091,1.0,9.25,0.09090909090909091,1.0,11.0,0.3333333333333333,1.0,0.13333333333333333,1.0,3.0,0.09090909090909091,1.0,9.0,0.06354166666666666,1.0,6.0,0.08333333333333333,1.0,8.0,0.125,1.0,9.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.18181818181818182,1.0,6.5,1.0,1.0,0.3333333333333333,1.0,0.09090909090909091,1.0,7.0,0.08333333333333333,1.0,10.0,0.6666666666666666,1.0,1.0,1.0,0.1,1.0,12.0,0.16666666666666666,1.0,6.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
