,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,13154.0,13154,13154,13154,13154.0,13154,13154,13154,13154,13154,13154.0,13154,13154.0,13154.0,13154.0,13154,13154.0,13154,13154,13154.0,13154.0,12142,11816,13154,13154,11928,13154.0,13154,1060,1017,701,100.0,0.0,243.0,224.0,701.0,13154.0,13154.0,13154,505,13154
unique,,1,1,1,,800,1,20,20,20,,3,,,,480,,40,1,,,1567,1550,988,418,887,,8,57,113,56,,0.0,,,,,,403,3,406
top,,successful,google,selenium,,2018-01-16 23:57:12.962893,localhost,40.565283,-74.911969,"Franklin, New Jersey",,med_sample_first_20,,,,0,,loan,,,,SafeAuto Insurance: Cheap Car Insurance | Auto Insurance Quote,"Free And Easy To Apply Online. ""Bad Credit Ok And No References.""",,b'',www.progressive.com/,,results," Rating: 9.3/10 - ?21,344 reviews",geico.com,"www.mayoclinic.org{""clt"":""n"",""ct"":3,""id"":""cObv66DV7KXSfM:"",""ml"":{""0"":{""bh"":160,""bw"":129}},""oh"":576,""ou"":""https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2016/06/17/14/27/d7_digestivesystem-6col.jpg"",""ow"":468,""pt"":""https://www.mayoclinic.org/-/media/kcms/gbs/patien..."",""rh"":""mayoclinic.org"",""rid"":""49Ba7VeMacOGcM"",""rmt"":0,""rt"":0,""ru"":""https://www.mayoclinic.org/diseases-conditions/indigestion/symptoms-causes/syc-20352211"",""th"":160,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcRa_Mk-gwxgTY41UVSVo_8BRWznToOOdPkUe_0c7KCMlplDklUNLkDXEn7F"",""tw"":129}Indigestion is often a sign of an underlying problem, such as gastroesophageal reflux disease (GERD), ulcers, or gallbladder disease, rather than a condition of its own. Also called dyspepsia, it is defined as a persistent or recurrent pain or discomfort in the upper abdomen.Sep 4, 2016Indigestion Symptoms, Causes, Diet, Treatments, & More - WebMDhttps://www.webmd.com/heartburn-gerd/indigestion-overview",,,,,,,,b'',tfo$,b''_nan
freq,,13154,13154,13154,,27,13154,677,677,677,,5267,,,,261,,533,13154,,,58,54,806,806,96,,8795,50,40,20,,,,,,,,806,445,806
mean,357.6281739394861,,,,1.0,,,,,,0.0,,4.073057625057017,65049.6399574274,0.5708627343715348,,17.823627793826972,,,0.0,6577.5,,,,,,4.788429375095028,,,,,1.0,,1.0,1.0,1.0,357.6281739394861,18.355861334955147,,,
std,229.12822139201415,,,,0.0,,,,,,0.0,,2.027275271305451,44536.33601842918,0.20902897710582974,,4.8785509886888105,,,0.0,3797.3770552843444,,,,,,3.402922690377058,,,,,0.0,,0.0,0.0,0.0,229.12822139201415,11.455529906750558,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,19328.0,0.11503811503799999,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,160.0,,,,1.0,,,,,,0.0,,2.0,20732.0,0.407993539429,,13.0,,,0.0,3289.25,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,160.0,8.0,,,
50%,325.0,,,,1.0,,,,,,0.0,,5.0,100667.0,0.621140543277,,18.0,,,0.0,6577.5,,,,,,4.0,,,,,1.0,,1.0,1.0,1.0,325.0,17.0,,,
75%,555.0,,,,1.0,,,,,,0.0,,6.0,105763.0,0.7577931394290001,,21.0,,,0.0,9865.75,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,555.0,28.0,,,
max,800.0,,,,1.0,,,,,,0.0,,6.0,123453.0,0.864731795802,,27.0,,,0.0,13154.0,,,,,,14.0,,,,,1.0,,1.0,1.0,1.0,800.0,40.0,,,
