,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.26,**results_full_domain_appears_MapsLocations,100,100,0.7,0.57,0.83,1.46,200,low-income,high-income,4.8173962187192315e-05,high-income
1,0.03,results_full_domain_appears_wikipedia.org,100,100,0.285,0.3,0.27,1.11,200,low-income,high-income,0.6404210210258102,low-income
2,0.04,results_full_domain_appears_facebook.com,100,100,0.18,0.2,0.16,1.25,200,low-income,high-income,0.46411887116792394,low-income
3,0.0,results_full_domain_appears_UserTweetCarousel,100,100,0.4,0.4,0.4,1.0,200,low-income,high-income,1.0,
4,0.04,*results_top_three_domain_appears_safeauto.com,100,100,0.02,0.04,0.0,inf,200,low-income,high-income,0.04493472521263044,low-income
5,0.23,**results_top_three_domain_appears_MapsLocations,100,100,0.315,0.2,0.43,2.15,200,low-income,high-income,0.00041275439202999786,high-income
6,0.08,*results_top_three_domain_appears_nerdwallet.com,100,100,0.06,0.1,0.02,5.0,200,low-income,high-income,0.017506387016224142,low-income
7,0.01,results_top_three_domain_appears_wikipedia.org,100,100,0.015,0.02,0.01,2.0,200,low-income,high-income,0.5631136383346664,low-income
8,0.0,results_top_three_domain_appears_UserTweetCarousel,100,100,0.4,0.4,0.4,1.0,200,low-income,high-income,1.0,
9,0.06,*results_top_domain_appears_NewsCarousel,100,100,0.03,0.06,0.0,inf,200,low-income,high-income,0.013556758919315062,low-income
