,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.02,results_full_domain_appears_farmers.com,100,100,0.3,0.31,0.29,1.07,200,GOP,DEM,0.7590650968120142,GOP
1,0.02,results_top_three_domain_appears_farmers.com,100,100,0.09,0.1,0.08,1.25,200,GOP,DEM,0.6232771703478552,GOP
2,0.0,results_full_domain_appears_google.com,100,100,0.37,0.37,0.37,1.0,200,GOP,DEM,1.0,
3,0.15,**results_top_three_domain_appears_google.com,100,100,0.115,0.19,0.04,4.75,200,GOP,DEM,0.0008597892574522533,GOP
4,0.04,results_full_domain_appears_geico.com,100,100,0.59,0.61,0.57,1.07,200,GOP,DEM,0.5675183771476963,GOP
5,0.08,results_top_three_domain_appears_geico.com,100,100,0.4,0.44,0.36,1.22,200,GOP,DEM,0.25039965384202867,GOP
6,0.04,results_top_domain_appears_geico.com,100,100,0.22,0.2,0.24,1.2,200,GOP,DEM,0.49720142382768706,DEM
7,0.01,results_full_domain_appears_esurance.com,100,100,0.395,0.39,0.4,1.03,200,GOP,DEM,0.8857027186013043,DEM
8,0.0,results_top_three_domain_appears_esurance.com,100,100,0.04,0.04,0.04,1.0,200,GOP,DEM,1.0,
9,0.0,results_full_domain_appears_UserTweetCarousel,100,100,0.2,0.2,0.2,1.0,200,GOP,DEM,1.0,
10,0.0,results_top_three_domain_appears_UserTweetCarousel,100,100,0.2,0.2,0.2,1.0,200,GOP,DEM,1.0,
11,0.0,results_full_domain_appears_healthcare.gov,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
12,0.0,results_top_three_domain_appears_healthcare.gov,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
13,0.02,results_top_domain_appears_healthcare.gov,100,100,0.08,0.09,0.07,1.29,200,GOP,DEM,0.6043299666699842,GOP
14,0.0,results_full_domain_appears_wikipedia.org,100,100,0.3,0.3,0.3,1.0,200,GOP,DEM,1.0,
15,0.07,*results_top_three_domain_appears_wikipedia.org,100,100,0.055,0.09,0.02,4.5,200,GOP,DEM,0.030421008013510893,GOP
16,0.03,results_full_domain_appears_apple.com,100,100,0.185,0.2,0.17,1.18,200,GOP,DEM,0.587069194104645,GOP
17,0.02,results_full_domain_appears_libertymutual.com,100,100,0.47,0.46,0.48,1.04,200,GOP,DEM,0.7782460930528561,DEM
18,0.01,results_top_three_domain_appears_libertymutual.com,100,100,0.015,0.01,0.02,2.0,200,GOP,DEM,0.5631136383346664,DEM
