,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.021,results_full_domain_appears_nytimes.com,120,80,0.225,0.217,0.238,1.1,200,rural,urban,0.7330540719963741,urban
1,0.004,results_full_domain_appears_wellsfargo.com,120,80,0.385,0.383,0.388,1.01,200,rural,urban,0.9530379114993826,urban
2,0.004,results_top_three_domain_appears_wellsfargo.com,120,80,0.19,0.192,0.188,1.02,200,rural,urban,0.94164532981962,rural
3,0.058,results_top_domain_appears_wellsfargo.com,120,80,0.04,0.017,0.075,4.5,200,rural,urban,0.07008614226447517,urban
4,0.104,results_full_domain_appears_bankrate.com,120,80,0.325,0.367,0.262,1.4,200,rural,urban,0.11817382459596205,rural
5,0.071,*results_top_three_domain_appears_bankrate.com,120,80,0.055,0.083,0.012,6.67,200,rural,urban,0.013113605659767817,rural
6,0.0,results_full_domain_appears_theatlantic.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
7,0.0,results_full_domain_appears_opploans.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
8,0.038,results_top_three_domain_appears_opploans.com,120,80,0.085,0.1,0.062,1.6,200,rural,urban,0.3338258969225273,rural
9,0.0,results_full_domain_appears_avant.com,120,80,0.3,0.3,0.3,1.0,200,rural,urban,1.0,
10,0.0,results_full_domain_appears_speedycash.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
11,0.037,results_top_three_domain_appears_speedycash.com,120,80,0.135,0.15,0.112,1.33,200,rural,urban,0.4387522015107551,rural
12,0.0,results_top_domain_appears_speedycash.com,120,80,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
13,0.0,results_full_domain_appears_citizensbank.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
14,0.062,results_top_three_domain_appears_citizensbank.com,120,80,0.05,0.025,0.088,3.5,200,rural,urban,0.07574375708999853,urban
15,0.0,results_full_domain_appears_creditloan.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
16,0.0,results_top_three_domain_appears_creditloan.com,120,80,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
17,0.025,results_top_domain_appears_creditloan.com,120,80,0.09,0.1,0.075,1.33,200,rural,urban,0.537095488817722,rural
18,0.0,results_full_domain_appears_nerdwallet.com,120,80,0.3,0.3,0.3,1.0,200,rural,urban,1.0,
19,0.0,results_full_domain_appears_lendingclub.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
20,0.0,results_top_three_domain_appears_lendingclub.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
21,0.012,results_top_domain_appears_lendingclub.com,120,80,0.03,0.025,0.038,1.5,200,rural,urban,0.6277435984863657,urban
22,0.0,results_full_domain_appears_lendingtree.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
23,0.0,results_top_three_domain_appears_lendingtree.com,120,80,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
24,0.0,results_top_domain_appears_lendingtree.com,120,80,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
25,0.0,results_full_domain_appears_creditkarma.com,120,80,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
26,0.067,results_top_three_domain_appears_creditkarma.com,120,80,0.085,0.058,0.125,2.14,200,rural,urban,0.1231724289145614,urban
27,0.479,**results_full_domain_appears_MapsLocations,120,80,0.35,0.158,0.638,4.03,200,rural,urban,5.912894555885852e-12,urban
28,0.242,**results_top_three_domain_appears_MapsLocations,120,80,0.205,0.108,0.35,3.23,200,rural,urban,0.00011792356715440364,urban
29,0.204,**results_top_domain_appears_MapsLocations,120,80,0.165,0.083,0.288,3.45,200,rural,urban,0.00048326509483530083,urban
