,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.479,**results_full_domain_appears_MapsLocations,120,80,0.35,0.158,0.638,4.03,200,rural,urban,5.912894555885852e-12,urban
1,0.44,**results_full_domain_appears_MapsLocations,100,100,0.35,0.13,0.57,4.38,200,GOP,DEM,9.002603093720353e-12,DEM
2,0.008,results_full_domain_appears_wikipedia.org,120,80,0.255,0.258,0.25,1.03,200,rural,urban,0.8951126983121107,rural
3,0.019,results_full_domain_appears_wikipedia.org,90,110,0.255,0.244,0.264,1.08,200,low-income,high-income,0.7576138274398584,high-income
4,0.01,results_full_domain_appears_wikipedia.org,100,100,0.255,0.25,0.26,1.04,200,GOP,DEM,0.8719197470645937,DEM
5,0.071,*results_top_three_domain_appears_bankrate.com,120,80,0.055,0.083,0.012,6.67,200,rural,urban,0.013113605659767817,rural
6,0.242,**results_top_three_domain_appears_MapsLocations,120,80,0.205,0.108,0.35,3.23,200,rural,urban,0.00011792356715440364,urban
7,0.09,*results_top_three_domain_appears_bankrate.com,100,100,0.055,0.1,0.01,10.0,200,GOP,DEM,0.005404011728395354,GOP
8,0.08,*results_top_three_domain_appears_citizensbank.com,100,100,0.05,0.01,0.09,9.0,200,GOP,DEM,0.009709356067740446,DEM
9,0.23,**results_top_three_domain_appears_MapsLocations,100,100,0.205,0.09,0.32,3.56,200,GOP,DEM,4.6970828129752814e-05,DEM
10,0.0,results_top_three_domain_appears_wikipedia.org,120,80,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
11,0.0,results_top_three_domain_appears_wikipedia.org,90,110,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
12,0.0,results_top_three_domain_appears_wikipedia.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
13,0.204,**results_top_domain_appears_MapsLocations,120,80,0.165,0.083,0.288,3.45,200,rural,urban,0.00048326509483530083,urban
14,0.08,*results_top_domain_appears_wellsfargo.com,100,100,0.04,0.0,0.08,inf,200,GOP,DEM,0.004158024036355915,DEM
15,0.21,**results_top_domain_appears_MapsLocations,100,100,0.165,0.06,0.27,4.5,200,GOP,DEM,5.527821672366566e-05,DEM
