,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.1,results_full_domain_appears_MapsLocations,10,10,0.95,0.9,1.0,1.11,20,rural,urban,0.34343639613791366,loan,urban
1,0.6,*results_full_domain_appears_MapsLocations,10,10,0.6,0.3,0.9,3.0,20,rural,urban,0.00481102818085497,progressive insurance,urban
2,0.5,*results_full_domain_appears_MapsLocations,10,10,0.75,0.5,1.0,2.0,20,rural,urban,0.014956363910414203,home loans,urban
3,0.0,results_full_domain_appears_MapsLocations,10,10,0.4,0.4,0.4,1.0,20,rural,urban,1.0,geico,
4,0.3,results_full_domain_appears_MapsLocations,10,10,0.75,0.6,0.9,1.5,20,rural,urban,0.13814824935619235,life insurance,urban
5,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,auto insurance,
6,0.4,*results_full_domain_appears_MapsLocations,10,10,0.2,0.0,0.4,inf,20,rural,urban,0.03678749787978613,geico insurance,urban
7,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,payday loans,
8,0.7,**results_full_domain_appears_MapsLocations,10,10,0.45,0.1,0.8,8.0,20,rural,urban,0.000623745701199474,progressive,urban
9,0.3,results_full_domain_appears_MapsLocations,10,10,0.15,0.3,0.0,inf,20,rural,urban,0.0811261888458405,quicken loans,rural
10,0.1,results_full_domain_appears_MapsLocations,10,10,0.95,0.9,1.0,1.11,20,rural,urban,0.34343639613791366,bank loans,urban
11,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,insurance companies,
12,0.1,results_full_domain_appears_MapsLocations,10,10,0.05,0.0,0.1,inf,20,rural,urban,0.34343639613791355,hairloss,urban
13,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,home insurance,
14,0.7,*results_full_domain_appears_MapsLocations,10,10,0.35,0.0,0.7,inf,20,rural,urban,0.0013229505842674947,loans bad credit,urban
15,0.5,*results_full_domain_appears_MapsLocations,10,10,0.75,0.5,1.0,2.0,20,rural,urban,0.014956363910414203,personal loans,urban
16,0.0,results_full_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,car insurance,
17,0.2,results_full_domain_appears_MapsLocations,10,10,0.1,0.0,0.2,inf,20,rural,urban,0.16785065605707492,health insurance,urban
18,0.2,results_full_domain_appears_yelp.com,10,10,0.1,0.0,0.2,inf,20,rural,urban,0.16785065605707492,progressive insurance,urban
19,0.2,results_full_domain_appears_yelp.com,10,10,0.1,0.0,0.2,inf,20,rural,urban,0.16785065605707492,geico,urban
20,0.2,results_full_domain_appears_yelp.com,10,10,0.1,0.0,0.2,inf,20,rural,urban,0.16785065605707492,geico insurance,urban
21,0.2,results_full_domain_appears_yelp.com,10,10,0.1,0.0,0.2,inf,20,rural,urban,0.16785065605707492,payday loans,urban
22,0.1,results_full_domain_appears_yelp.com,10,10,0.05,0.0,0.1,inf,20,rural,urban,0.34343639613791355,progressive,urban
