,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.4,results_top_three_domain_appears_MapsLocations,10,10,0.3,0.1,0.5,5.0,20,rural,urban,0.05773189678497689,progressive,urban
1,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.95,0.9,1.0,1.11,20,rural,urban,0.34343639613791366,payday loans,urban
2,0.7,*results_top_three_domain_appears_MapsLocations,10,10,0.35,0.0,0.7,inf,20,rural,urban,0.0013229505842674947,progressive insurance,urban
3,0.8,**results_top_three_domain_appears_MapsLocations,10,10,0.5,0.1,0.9,9.0,20,rural,urban,2.2928871994400028e-05,car insurance,urban
4,0.3,results_top_three_domain_appears_MapsLocations,10,10,0.15,0.0,0.3,inf,20,rural,urban,0.0811261888458405,geico insurance,urban
5,0.9,**results_top_three_domain_appears_MapsLocations,10,10,0.45,0.0,0.9,inf,20,rural,urban,8.538051223166285e-06,personal loans,urban
6,0.3,results_top_three_domain_appears_MapsLocations,10,10,0.15,0.0,0.3,inf,20,rural,urban,0.0811261888458405,loans bad credit,urban
7,0.0,results_top_three_domain_appears_MapsLocations,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,insurance companies,
8,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.05,0.0,0.1,inf,20,rural,urban,0.34343639613791355,home insurance,urban
9,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.9,0.8,1.0,1.25,20,rural,urban,0.16785065605707503,loan,urban
10,0.3,results_top_three_domain_appears_MapsLocations,10,10,0.45,0.3,0.6,2.0,20,rural,urban,0.19646751603492393,auto insurance,urban
11,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.05,0.0,0.1,inf,20,rural,urban,0.34343639613791355,bank loans,urban
12,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.15,0.1,0.2,2.0,20,rural,urban,0.5565650165675332,geico,urban
