,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.03,results_full_domain_appears_wikipedia.org,200,200,0.425,0.41,0.44,1.07,400,rural,urban,0.5451084346429459,urban
1,0.0,results_top_three_domain_appears_wikipedia.org,200,200,0.15,0.15,0.15,1.0,400,rural,urban,1.0,
2,0.035,results_full_domain_appears_webmd.com,200,200,0.6725,0.69,0.655,1.05,400,rural,urban,0.45704971932656635,rural
3,0.0,results_top_three_domain_appears_webmd.com,200,200,0.5,0.5,0.5,1.0,400,rural,urban,1.0,
4,0.0,results_top_domain_appears_webmd.com,200,200,0.3,0.3,0.3,1.0,400,rural,urban,1.0,
5,0.0,results_full_domain_appears_prevention.com,200,200,0.25,0.25,0.25,1.0,400,rural,urban,1.0,
6,0.0,results_full_domain_appears_goodhousekeeping.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
7,0.0,results_top_three_domain_appears_goodhousekeeping.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
8,0.0,results_top_domain_appears_goodhousekeeping.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
9,0.005,results_full_domain_appears_medicinenet.com,200,200,0.5725,0.575,0.57,1.01,400,rural,urban,0.9197469558801187,rural
10,0.0,results_top_three_domain_appears_medicinenet.com,200,200,0.15,0.15,0.15,1.0,400,rural,urban,1.0,
11,0.0,results_top_domain_appears_medicinenet.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
12,0.0,results_full_domain_appears_health.com,200,200,0.25,0.25,0.25,1.0,400,rural,urban,1.0,
13,0.0,results_top_three_domain_appears_health.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
14,0.0,results_full_domain_appears_mensfitness.com,200,200,0.15,0.15,0.15,1.0,400,rural,urban,1.0,
15,0.0,results_full_domain_appears_helpguide.org,200,200,0.1,0.1,0.1,1.0,400,rural,urban,1.0,
16,0.0,results_top_three_domain_appears_helpguide.org,200,200,0.1,0.1,0.1,1.0,400,rural,urban,1.0,
17,0.0,results_top_domain_appears_helpguide.org,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
18,0.0,results_full_domain_appears_emedicinehealth.com,200,200,0.15,0.15,0.15,1.0,400,rural,urban,1.0,
19,0.0,results_top_three_domain_appears_emedicinehealth.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
20,0.0,results_top_domain_appears_emedicinehealth.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
21,0.0,results_full_domain_appears_mayoclinic.org,200,200,0.5,0.5,0.5,1.0,400,rural,urban,1.0,
22,0.0,results_top_three_domain_appears_mayoclinic.org,200,200,0.15,0.15,0.15,1.0,400,rural,urban,1.0,
23,0.0,results_top_domain_appears_mayoclinic.org,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
24,0.0,results_full_domain_appears_draxe.com,200,200,0.15,0.15,0.15,1.0,400,rural,urban,1.0,
25,0.0,results_full_domain_appears_womenshealthmag.com,200,200,0.12,0.12,0.12,1.0,400,rural,urban,1.0,
26,0.0,results_top_three_domain_appears_womenshealthmag.com,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
27,0.0,results_full_domain_appears_stoptheclot.org,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
28,0.0,results_top_three_domain_appears_stoptheclot.org,200,200,0.05,0.05,0.05,1.0,400,rural,urban,1.0,
