,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.16,*results_full_domain_appears_MapsLocations,100,100,0.49,0.41,0.57,1.39,200,rural,urban,0.023597702209744012,urban
1,0.06,*results_full_domain_appears_youtube.com,100,100,0.03,0.0,0.06,inf,200,rural,urban,0.013556758919315062,urban
2,0.01,results_full_domain_appears_wikipedia.org,100,100,0.215,0.21,0.22,1.05,200,rural,urban,0.8641866051422665,urban
3,0.02,results_full_domain_appears_yelp.com,100,100,0.01,0.0,0.02,inf,200,rural,urban,0.15833990565972564,urban
4,0.04,results_full_domain_appears_twitter.com,100,100,0.18,0.2,0.16,1.25,200,rural,urban,0.46411887116792394,rural
5,0.04,results_full_domain_appears_UserTweetCarousel,100,100,0.08,0.1,0.06,1.67,200,rural,urban,0.29959310787243704,rural
6,0.06,*results_full_domain_appears_youtube.com,100,100,0.03,0.0,0.06,inf,200,rural,urban,0.013556758919315062,urban
7,0.16,*results_top_three_domain_appears_MapsLocations,100,100,0.25,0.17,0.33,1.94,200,rural,urban,0.008851396430777612,urban
8,0.09,*results_top_three_domain_appears_rocketloans.com,100,100,0.055,0.1,0.01,10.0,200,rural,urban,0.005404011728395354,rural
9,0.07,*results_top_three_domain_appears_UserTweetCarousel,100,100,0.035,0.07,0.0,inf,200,rural,urban,0.007502567538609626,rural
10,0.01,results_top_three_domain_appears_wikipedia.org,100,100,0.125,0.12,0.13,1.08,200,rural,urban,0.8317320773348456,urban
11,0.07,results_top_three_domain_appears_twitter.com,100,100,0.135,0.17,0.1,1.7,200,rural,urban,0.1490457948958368,rural
12,0.07,*results_top_three_domain_appears_UserTweetCarousel,100,100,0.035,0.07,0.0,inf,200,rural,urban,0.007502567538609626,rural
