,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,query,winner
0,0.233,*results_top_three_domain_frac_NewsCarousel,10,10,0.21666666666666665,0.333,0.1,3.33,,20,low-income,high-income,0.0013229505842674947,Honda,low-income
1,0.167,*results_top_three_domain_frac_NewsCarousel,10,10,0.15000000000000002,0.233,0.067,3.5,,20,low-income,high-income,0.024143272996065564,minimum wage,low-income
2,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,michael flynn,
3,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,US Senate,
4,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,bitcoin price,
5,0.3,**results_top_three_domain_frac_NewsCarousel,10,10,0.15,0.3,0.0,inf,,20,low-income,high-income,8.538051223166285e-06,Pizza Hut,low-income
6,0.233,*results_top_three_domain_frac_NewsCarousel,10,10,0.21666666666666665,0.333,0.1,3.33,,20,low-income,high-income,0.0013229505842674947,Toyota,low-income
7,0.333,**results_top_three_domain_frac_NewsCarousel,10,10,0.16666666666666666,0.333,0.0,inf,,20,low-income,high-income,2.548548710034255e-143,Domino's Pizza,low-income
8,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,medical marijuana,
9,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,matt lauer,
10,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Amazon,
11,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Hillary Clinton,
12,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,college football playoff,
13,0.1,results_top_three_domain_frac_NewsCarousel,10,10,0.28333333333333327,0.333,0.233,1.43,,20,low-income,high-income,0.08112618884584036,Chase Bank,low-income
14,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,eagles,
15,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Barack Obama,
16,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,ryan shazier,
17,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,gun control,
18,0.067,results_top_three_domain_frac_NewsCarousel,10,10,0.09999999999999999,0.133,0.067,2.0,,20,low-income,high-income,0.35584114604163897,Chevrolet,low-income
19,,results_top_three_domain_frac_NewsCarousel,10,10,0.29999999999999993,0.3,0.3,,1.0,20,low-income,high-income,,Walmart,
20,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Donald Trump,
21,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,death penalty,
22,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,al franken,
23,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,US Supreme Court,
24,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,illegal immigration,
25,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Bank of America,
26,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,abortion,
27,0.267,**results_top_three_domain_frac_NewsCarousel,10,10,0.16666666666666666,0.3,0.033,9.0,,20,low-income,high-income,2.292887199439995e-05,Target Corporation,low-income
28,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,McDonald's,
29,,results_top_three_domain_frac_NewsCarousel,10,10,0.33333333333333326,0.333,0.333,,1.0,20,low-income,high-income,,Wells Fargo,
30,0.033,results_top_three_domain_frac_MapsLocations,10,10,0.3166666666666666,0.333,0.3,1.11,,20,low-income,high-income,0.3434363961379127,Honda,low-income
