,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.018,results_full_domain_appears_washingtonpost.com,380,380,0.18552631578947368,0.176,0.195,1.1,760,low-income,high-income,0.5142582050519173,high-income
1,0.0,results_top_three_domain_appears_washingtonpost.com,380,380,0.07894736842105263,0.079,0.079,1.0,760,low-income,high-income,1.0,
2,0.0,results_top_domain_appears_washingtonpost.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,low-income,high-income,1.0,
3,0.068,*results_full_domain_appears_google.com,380,380,0.11842105263157894,0.153,0.084,1.81,760,low-income,high-income,0.0034807897812747495,low-income
4,0.0,results_full_domain_appears_dominos.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
5,0.0,results_top_three_domain_appears_dominos.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
6,0.0,results_top_domain_appears_dominos.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
7,0.005,results_full_domain_appears_procon.org,380,380,0.18157894736842106,0.184,0.179,1.03,760,low-income,high-income,0.85096695140849,low-income
8,0.018,results_top_three_domain_appears_procon.org,380,380,0.09078947368421053,0.1,0.082,1.23,760,low-income,high-income,0.37748381406534603,low-income
9,0.0,results_top_domain_appears_procon.org,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
10,0.058,results_full_domain_appears_facebook.com,380,380,0.2710526315789474,0.3,0.242,1.24,760,low-income,high-income,0.07277249335746452,low-income
11,0.024,*results_top_three_domain_appears_facebook.com,380,380,0.011842105263157895,0.024,0.0,inf,760,low-income,high-income,0.00259500479866564,low-income
12,0.0,results_full_domain_appears_people.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
13,0.0,results_full_domain_appears_foxnews.com,380,380,0.13157894736842105,0.132,0.132,1.0,760,low-income,high-income,1.0,
14,0.0,results_top_three_domain_appears_foxnews.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,low-income,high-income,1.0,
15,0.0,results_top_domain_appears_foxnews.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,low-income,high-income,1.0,
16,0.0,results_full_domain_appears_politico.com,380,380,0.07894736842105263,0.079,0.079,1.0,760,low-income,high-income,1.0,
17,0.0,results_top_three_domain_appears_politico.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
18,0.0,results_top_domain_appears_politico.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
19,0.011,results_full_domain_appears_nytimes.com,380,380,0.4789473684210526,0.484,0.474,1.02,760,low-income,high-income,0.7718330296257612,low-income
20,0.0,results_top_three_domain_appears_nytimes.com,380,380,0.07894736842105263,0.079,0.079,1.0,760,low-income,high-income,1.0,
21,0.0,results_top_domain_appears_nytimes.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
22,0.005,results_full_domain_appears_twitter.com,380,380,0.5078947368421053,0.511,0.505,1.01,760,low-income,high-income,0.8848091786682162,low-income
23,0.061,results_top_three_domain_appears_twitter.com,380,380,0.34868421052631576,0.318,0.379,1.19,760,low-income,high-income,0.08019252024596611,high-income
24,0.008,results_full_domain_appears_latimes.com,380,380,0.12236842105263158,0.126,0.118,1.07,760,low-income,high-income,0.7402435912460898,low-income
25,0.0,results_top_three_domain_appears_latimes.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,low-income,high-income,1.0,
26,0.003,results_top_domain_appears_latimes.com,380,380,0.025,0.024,0.026,1.11,760,low-income,high-income,0.8165692158111982,high-income
27,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.7934210526315789,0.832,0.755,1.1,760,low-income,high-income,0.009329751893491688,low-income
28,0.032,results_top_three_domain_appears_wikipedia.org,380,380,0.3105263157894737,0.326,0.295,1.11,760,low-income,high-income,0.3474957682681268,low-income
29,0.005,results_top_domain_appears_wikipedia.org,380,380,0.07894736842105263,0.082,0.076,1.07,760,low-income,high-income,0.788237080453269,low-income
30,0.005,results_full_domain_appears_UserTweetCarousel,380,380,0.2394736842105263,0.237,0.242,1.02,760,low-income,high-income,0.8652325433482548,high-income
31,0.066,*results_top_three_domain_appears_UserTweetCarousel,380,380,0.13026315789473683,0.097,0.163,1.68,760,low-income,high-income,0.007020529120221622,high-income
32,0.074,**results_full_domain_appears_yelp.com,380,380,0.04473684210526316,0.008,0.082,10.33,760,low-income,high-income,8.745370341660648e-07,high-income
33,0.0,results_top_three_domain_appears_yelp.com,380,380,0.002631578947368421,0.003,0.003,1.0,760,low-income,high-income,1.0,
34,0.0,results_full_domain_appears_espn.com,380,380,0.07894736842105263,0.079,0.079,1.0,760,low-income,high-income,1.0,
35,0.0,results_top_three_domain_appears_espn.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,low-income,high-income,1.0,
36,0.0,results_full_domain_appears_plannedparenthood.org,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
37,0.0,results_top_three_domain_appears_plannedparenthood.org,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
38,0.0,results_top_domain_appears_plannedparenthood.org,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
39,0.0,results_full_domain_appears_linkedin.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
40,0.0,results_full_domain_appears_target.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,low-income,high-income,1.0,
41,0.003,results_top_three_domain_appears_target.com,380,380,0.05131578947368421,0.053,0.05,1.05,760,low-income,high-income,0.8696266527968194,low-income
42,0.005,results_top_domain_appears_target.com,380,380,0.031578947368421054,0.034,0.029,1.18,760,low-income,high-income,0.67873445875712,low-income
