,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_yellowpages.com,380,380,0.001,0.006,4.29,high-income
1,*results_full_domain_frac_jpmorganchase.com,380,380,0.004,0.0,inf,low-income
2,*results_full_domain_frac_pagechevrolet.com,380,380,0.0,0.001,inf,high-income
3,*results_full_domain_frac_a-z-animals.com,380,380,0.001,0.0,inf,low-income
4,*results_full_domain_frac_norml.org,380,380,0.001,0.0,inf,low-income
5,*results_full_domain_frac_academy.com,380,380,0.002,0.0,inf,low-income
6,*results_full_domain_frac_hoursguide.com,380,380,0.0,0.004,inf,high-income
7,**results_full_domain_frac_yelp.com,380,380,0.001,0.012,12.04,high-income
8,*results_full_domain_frac_mapquest.com,380,380,0.0,0.002,inf,high-income
9,*results_full_domain_frac_edmunds.com,380,380,0.0,0.002,6.27,high-income
10,*results_full_domain_frac_nj.com,380,380,0.0,0.001,inf,high-income
11,*results_full_domain_frac_bbc.com,380,380,0.001,0.0,inf,low-income
12,*results_full_domain_frac_pro-football-reference.com,380,380,0.0,0.002,inf,high-income
13,*results_full_domain_frac_cbssports.com,380,380,0.001,0.0,inf,low-income
14,*results_full_domain_frac_instagram.com,380,380,0.004,0.002,2.18,low-income
15,*results_full_domain_frac_allmenus.com,380,380,0.0,0.003,11.18,high-income
16,*results_full_domain_frac_amnestyusa.org,380,380,0.0,0.001,inf,high-income
17,*results_full_domain_frac_thenation.com,380,380,0.0,0.001,inf,high-income
18,*results_full_domain_frac_dc.gov,380,380,0.0,0.001,inf,high-income
19,**results_full_domain_frac_wikipedia.org,380,380,0.094,0.081,1.17,low-income
20,*results_full_domain_frac_dictionary.com,380,380,0.0,0.001,inf,high-income
21,*results_full_domain_frac_facebook.com,380,380,0.035,0.025,1.42,low-income
22,*results_full_domain_frac_google.com,380,380,0.018,0.01,1.7,low-income
23,*results_full_domain_frac_autoblog.com,380,380,0.002,0.0,inf,low-income
24,*results_full_domain_frac_gm.com,380,380,0.003,0.0,inf,low-income
25,*results_full_domain_frac_dominos.com,380,380,0.004,0.015,3.46,high-income
26,*results_full_domain_frac_tn.gov,380,380,0.002,0.0,inf,low-income
27,*top_ads_full_domain_frac_pohankachevrolet.com,173,145,0.0,0.011,inf,high-income
28,*top_ads_full_domain_frac_allieded.org,173,145,0.013,0.0,inf,low-income
29,*top_ads_full_domain_frac_centralatlantic.buyatoyota.com,173,145,0.0,0.013,inf,high-income
30,*top_ads_full_domain_frac_setbuyatoyota.com,173,145,0.009,0.0,inf,low-income
31,*top_ads_full_domain_frac_autosite.com,173,145,0.014,0.002,8.38,low-income
32,*top_ads_full_domain_frac_caron.org,173,145,0.035,0.0,inf,low-income
33,*top_ads_full_domain_frac_heartlandalliance.org,173,145,0.012,0.0,inf,low-income
34,*top_ads_full_domain_frac_latinainstitute.org,173,145,0.0,0.009,inf,high-income
35,*top_ads_full_domain_frac_retroreport.org,173,145,0.006,0.0,inf,low-income
36,*top_ads_full_domain_frac_fairfaxhonda.com,173,145,0.0,0.007,inf,high-income
37,*top_ads_full_domain_frac_hondaoftysonscorner.com,173,145,0.0,0.01,inf,high-income
38,*top_ads_full_domain_frac_sportchevrolet.com,173,145,0.0,0.014,inf,high-income
39,*top_ads_full_domain_frac_dancummins.com,173,145,0.007,0.0,inf,low-income
