,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.058,results_full_domain_appears_facebook.com,380,380,0.2710526315789474,0.3,0.242,1.24,760,low-income,high-income,0.07277249335746452,low-income
1,0.005,results_full_domain_appears_twitter.com,380,380,0.5078947368421053,0.511,0.505,1.01,760,low-income,high-income,0.8848091786682162,low-income
2,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.7934210526315789,0.832,0.755,1.1,760,low-income,high-income,0.009329751893491688,low-income
3,0.005,results_full_domain_appears_UserTweetCarousel,380,380,0.2394736842105263,0.237,0.242,1.02,760,low-income,high-income,0.8652325433482548,high-income
4,0.074,**results_full_domain_appears_yelp.com,380,380,0.04473684210526316,0.008,0.082,10.33,760,low-income,high-income,8.745370341660648e-07,high-income
5,0.0,results_full_domain_appears_linkedin.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,low-income,high-income,1.0,
6,0.003,results_full_domain_appears_instagram.com,380,380,0.02763157894736842,0.029,0.026,1.1,760,low-income,high-income,0.8251423896469132,low-income
7,0.008,results_full_domain_appears_tripadvisor.com,380,380,0.006578947368421052,0.003,0.011,4.0,760,low-income,high-income,0.17887783383993475,high-income
8,0.008,results_full_domain_appears_SearchTweetCarousel,380,380,0.1013157894736842,0.105,0.097,1.08,760,low-income,high-income,0.7188020047643129,low-income
9,0.018,results_full_domain_appears_youtube.com,380,380,0.06447368421052632,0.074,0.055,1.33,760,low-income,high-income,0.3018222895469277,low-income
10,0.0,knowledge_panel_full_domain_appears_wikipedia.org,321,321,1.0,1.0,1.0,1.0,642,low-income,high-income,,
