,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.009,*results_full_domain_frac_google.com,418,342,0.013622977899293688,0.017,0.009,1.96,760,rural,urban,0.0016346907169244793,rural
1,0.007,*results_full_domain_frac_facebook.com,418,342,0.027067128777655096,0.03,0.023,1.3,760,rural,urban,0.030600972315848515,rural
2,0.009,*results_full_domain_frac_wikipedia.org,418,342,0.07938061938061937,0.083,0.074,1.12,760,rural,urban,0.009479200218987799,rural
3,0.011,**results_full_domain_frac_yelp.com,418,342,0.0067802080959975695,0.002,0.013,6.68,760,rural,urban,0.00012631985837676825,urban
4,0.01,*results_full_domain_frac_dominos.com,380,380,0.009537717399559505,0.005,0.014,3.1,760,low-income,high-income,0.04502541284385066,high-income
5,0.011,**results_full_domain_frac_google.com,380,380,0.013622977899293688,0.019,0.008,2.3,760,low-income,high-income,0.00014805999262703984,low-income
6,0.008,*results_full_domain_frac_facebook.com,380,380,0.027067128777655096,0.031,0.023,1.36,760,low-income,high-income,0.010980866263713893,low-income
7,0.01,*results_full_domain_frac_wikipedia.org,380,380,0.07938061938061938,0.084,0.074,1.14,760,low-income,high-income,0.003379740961155218,low-income
8,0.011,**results_full_domain_frac_yelp.com,380,380,0.00678020809599757,0.001,0.012,11.75,760,low-income,high-income,9.88922288154277e-06,high-income
9,0.001,results_full_domain_frac_youtube.com,418,342,0.006790577843209422,0.007,0.006,1.12,760,rural,urban,0.7070826342930746,rural
10,0.001,results_full_domain_frac_twitter.com,418,342,0.01806906178616705,0.018,0.018,1.04,760,rural,urban,0.7967864222067047,rural
11,0.001,results_full_domain_frac_UserTweetCarousel,418,342,0.02367413653597864,0.024,0.023,1.06,760,rural,urban,0.6349352632791836,rural
12,0.007,*results_full_domain_frac_facebook.com,418,342,0.027067128777655096,0.03,0.023,1.3,760,rural,urban,0.030600972315848515,rural
13,0.009,*results_full_domain_frac_wikipedia.org,418,342,0.07938061938061937,0.083,0.074,1.12,760,rural,urban,0.009479200218987799,rural
14,0.001,results_full_domain_frac_SearchTweetCarousel,418,342,0.008005590900327743,0.008,0.008,1.09,760,rural,urban,0.6933062973219912,rural
15,0.002,results_full_domain_frac_youtube.com,380,380,0.006790577843209422,0.008,0.006,1.29,760,low-income,high-income,0.4045759181341062,low-income
16,0.001,results_full_domain_frac_twitter.com,380,380,0.018069061786167052,0.018,0.018,1.04,760,low-income,high-income,0.7787691101275812,low-income
17,0.002,results_full_domain_frac_UserTweetCarousel,380,380,0.023674136535978642,0.024,0.023,1.07,760,low-income,high-income,0.6162566775959342,low-income
18,0.008,*results_full_domain_frac_facebook.com,380,380,0.027067128777655096,0.031,0.023,1.36,760,low-income,high-income,0.010980866263713893,low-income
19,0.01,*results_full_domain_frac_wikipedia.org,380,380,0.07938061938061938,0.084,0.074,1.14,760,low-income,high-income,0.003379740961155218,low-income
20,0.001,results_full_domain_frac_SearchTweetCarousel,380,380,0.008005590900327743,0.008,0.008,1.08,760,low-income,high-income,0.7202134784384756,low-income
21,0.002,results_full_domain_frac_youtube.com,190,570,0.006790577843209422,0.008,0.006,1.27,760,GOP,DEM,0.5051493519587569,GOP
22,0.0,results_full_domain_frac_twitter.com,190,570,0.018069061786167052,0.018,0.018,1.02,760,GOP,DEM,0.9225126193563861,GOP
23,0.001,results_full_domain_frac_UserTweetCarousel,190,570,0.023674136535978642,0.024,0.024,1.03,760,GOP,DEM,0.8597127778871286,GOP
24,0.002,results_full_domain_frac_facebook.com,190,570,0.027067128777655096,0.028,0.027,1.06,760,GOP,DEM,0.672972007672803,GOP
25,0.003,results_full_domain_frac_wikipedia.org,190,570,0.07938061938061937,0.082,0.079,1.04,760,GOP,DEM,0.43695063060303097,GOP
26,0.0,results_full_domain_frac_SearchTweetCarousel,190,570,0.008005590900327743,0.008,0.008,1.02,760,GOP,DEM,0.9513591450561169,DEM
27,0.02,*results_top_three_domain_frac_UserTweetCarousel,418,342,0.04342105263157895,0.034,0.055,1.59,760,rural,urban,0.014990321280997657,urban
28,0.007,*results_top_three_domain_frac_facebook.com,418,342,0.003947368421052632,0.007,0.0,inf,760,rural,urban,0.002604515986947954,rural
29,0.032,*results_top_three_domain_frac_NewsCarousel,418,342,0.22543859649122805,0.24,0.208,1.16,760,rural,urban,0.004619830936198131,rural
30,0.031,*results_top_three_domain_frac_MapsLocations,418,342,0.08245614035087719,0.069,0.099,1.45,760,rural,urban,0.0036493983669302105,urban
31,0.022,*results_top_three_domain_frac_UserTweetCarousel,380,380,0.04342105263157895,0.032,0.054,1.68,760,low-income,high-income,0.0070205291202216314,high-income
32,0.008,*results_top_three_domain_frac_facebook.com,380,380,0.003947368421052632,0.008,0.0,inf,760,low-income,high-income,0.0025950047986656303,low-income
33,0.033,*results_top_three_domain_frac_NewsCarousel,380,380,0.22543859649122805,0.242,0.209,1.16,760,low-income,high-income,0.0031818889103003402,low-income
34,0.026,*results_top_three_domain_frac_MapsLocations,380,380,0.08245614035087719,0.069,0.096,1.38,760,low-income,high-income,0.011632358933351777,high-income
35,0.0,results_top_three_domain_frac_youtube.com,418,342,0.0,0.0,0.0,,760,rural,urban,,
36,0.0,results_top_three_domain_frac_twitter.com,418,342,0.047807017543859645,0.048,0.048,1.0,760,rural,urban,0.9917145044706133,rural
37,0.02,*results_top_three_domain_frac_UserTweetCarousel,418,342,0.04342105263157895,0.034,0.055,1.59,760,rural,urban,0.014990321280997657,urban
38,0.007,*results_top_three_domain_frac_facebook.com,418,342,0.003947368421052632,0.007,0.0,inf,760,rural,urban,0.002604515986947954,rural
39,0.009,results_top_three_domain_frac_wikipedia.org,418,342,0.11228070175438595,0.116,0.107,1.09,760,rural,urban,0.4704308760678263,rural
40,0.003,results_top_three_domain_frac_SearchTweetCarousel,418,342,0.0337719298245614,0.035,0.032,1.09,760,rural,urban,0.6894565646037514,rural
41,0.0,results_top_three_domain_frac_youtube.com,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
42,0.001,results_top_three_domain_frac_twitter.com,380,380,0.047807017543859645,0.047,0.048,1.02,760,low-income,high-income,0.9177081065884639,high-income
43,0.022,*results_top_three_domain_frac_UserTweetCarousel,380,380,0.04342105263157895,0.032,0.054,1.68,760,low-income,high-income,0.0070205291202216314,high-income
44,0.008,*results_top_three_domain_frac_facebook.com,380,380,0.003947368421052632,0.008,0.0,inf,760,low-income,high-income,0.0025950047986656303,low-income
45,0.011,results_top_three_domain_frac_wikipedia.org,380,380,0.11228070175438595,0.118,0.107,1.1,760,low-income,high-income,0.4080338294829614,low-income
46,0.003,results_top_three_domain_frac_SearchTweetCarousel,380,380,0.0337719298245614,0.035,0.032,1.08,760,low-income,high-income,0.7188020047643124,low-income
47,0.0,results_top_three_domain_frac_youtube.com,190,570,0.0,0.0,0.0,,760,GOP,DEM,,
48,0.001,results_top_three_domain_frac_twitter.com,190,570,0.047807017543859645,0.047,0.048,1.01,760,GOP,DEM,0.9523737394056614,DEM
49,0.004,results_top_three_domain_frac_UserTweetCarousel,190,570,0.04342105263157894,0.04,0.044,1.1,760,GOP,DEM,0.6575401243485786,DEM
50,0.001,results_top_three_domain_frac_facebook.com,190,570,0.003947368421052632,0.004,0.004,1.17,760,GOP,DEM,0.8410668774757746,DEM
51,0.0,results_top_three_domain_frac_wikipedia.org,190,570,0.11228070175438594,0.112,0.112,1.0,760,GOP,DEM,1.0,
52,0.001,results_top_three_domain_frac_SearchTweetCarousel,190,570,0.0337719298245614,0.033,0.034,1.02,760,GOP,DEM,0.9446176501095116,DEM
53,0.0,results_top_domain_frac_youtube.com,418,342,0.0,0.0,0.0,,760,rural,urban,,
54,0.0,results_top_domain_frac_twitter.com,418,342,0.0,0.0,0.0,,760,rural,urban,,
55,0.0,results_top_domain_frac_UserTweetCarousel,418,342,0.0,0.0,0.0,,760,rural,urban,,
56,0.0,results_top_domain_frac_facebook.com,418,342,0.0,0.0,0.0,,760,rural,urban,,
