,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.242,**results_top_three_domain_frac_UserTweetCarousel,11,9,0.2,0.091,0.333,3.67,20,rural,urban,0.00042278119360601886,Pizza Hut,urban
1,0.0,*results_top_three_domain_frac_UserTweetCarousel,11,9,0.33333333333333326,0.333,0.333,1.0,20,rural,urban,0.01011955973543371,Donald Trump,rural
2,0.199,*results_top_three_domain_frac_UserTweetCarousel,11,9,0.18333333333333332,0.273,0.074,3.68,20,rural,urban,0.006391314481386077,Walmart,rural
3,0.303,**results_top_three_domain_frac_UserTweetCarousel,11,9,0.16666666666666669,0.03,0.333,11.0,20,rural,urban,1.5895531755964127e-06,Honda,urban
4,0.0,*results_top_three_domain_frac_UserTweetCarousel,11,9,0.33333333333333326,0.333,0.333,1.0,20,rural,urban,0.01011955973543371,Amazon,rural
5,0.152,*results_top_three_domain_frac_UserTweetCarousel,11,9,0.24999999999999994,0.182,0.333,1.83,20,rural,urban,0.016197070786617862,Domino's Pizza,urban
6,0.273,**results_top_three_domain_frac_UserTweetCarousel,11,9,0.18333333333333335,0.061,0.333,5.5,20,rural,urban,5.310182118962637e-05,Toyota,urban
7,0.242,**results_top_three_domain_frac_facebook.com,11,9,0.13333333333333333,0.242,0.0,inf,20,rural,urban,0.00042278119360601854,Bank of America,rural
8,0.03,results_top_three_domain_frac_facebook.com,11,9,0.016666666666666666,0.03,0.0,inf,20,rural,urban,0.3408931323020601,Domino's Pizza,rural
9,0.0,*results_top_three_domain_frac_NewsCarousel,11,9,0.33333333333333326,0.333,0.333,1.0,20,rural,urban,0.01011955973543371,al franken,rural
10,0.0,*results_top_three_domain_frac_NewsCarousel,11,9,0.33333333333333326,0.333,0.333,1.0,20,rural,urban,0.01011955973543371,michael flynn,rural
11,0.273,**results_top_three_domain_frac_NewsCarousel,11,9,0.15,0.273,0.0,inf,20,rural,urban,5.310182118962637e-05,Pizza Hut,rural
