,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.017,results_full_domain_appears_nytimes.com,180,180,0.36944444444444446,0.378,0.361,1.05,360,low-income,high-income,0.7440632047855785,low-income
1,0.006,results_full_domain_appears_twitter.com,180,180,0.6694444444444444,0.672,0.667,1.01,360,low-income,high-income,0.9111006631602466,low-income
2,0.139,*results_top_three_domain_appears_twitter.com,180,180,0.4638888888888889,0.394,0.533,1.35,360,low-income,high-income,0.008148858112492859,high-income
3,0.122,*results_full_domain_appears_wikipedia.org,180,180,0.7666666666666667,0.828,0.706,1.17,360,low-income,high-income,0.006036847434910191,low-income
4,0.061,results_top_three_domain_appears_wikipedia.org,180,180,0.20833333333333334,0.239,0.178,1.34,360,low-income,high-income,0.15428207545626826,low-income
5,0.022,results_full_domain_appears_people also ask,180,180,0.19444444444444445,0.206,0.183,1.12,360,low-income,high-income,0.5954691231218752,low-income
6,0.0,results_full_domain_appears_senate.gov,180,180,0.05555555555555555,0.056,0.056,1.0,360,low-income,high-income,1.0,
7,0.0,results_top_three_domain_appears_senate.gov,180,180,0.05555555555555555,0.056,0.056,1.0,360,low-income,high-income,1.0,
8,0.0,results_top_domain_appears_senate.gov,180,180,0.05555555555555555,0.056,0.056,1.0,360,low-income,high-income,1.0,
9,0.0,results_full_domain_appears_dominos.com,180,180,0.05555555555555555,0.056,0.056,1.0,360,low-income,high-income,1.0,
10,0.0,results_top_three_domain_appears_dominos.com,180,180,0.05555555555555555,0.056,0.056,1.0,360,low-income,high-income,1.0,
11,0.0,results_top_domain_appears_dominos.com,180,180,0.05555555555555555,0.056,0.056,1.0,360,low-income,high-income,1.0,
12,0.0,results_full_domain_appears_vanityfair.com,180,180,0.16666666666666666,0.167,0.167,1.0,360,low-income,high-income,1.0,
13,0.011,results_full_domain_appears_cnbc.com,180,180,0.23333333333333334,0.228,0.239,1.05,360,low-income,high-income,0.8038509925156231,high-income
