,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.023,**results_full_domain_frac_yelp.com,198,162,0.01431377264710598,0.004,0.027,6.68,360,rural,urban,8.90211227836338e-05,urban
1,0.007,*results_full_domain_frac_NewsCarousel,198,162,0.0956435154351821,0.099,0.092,1.07,360,rural,urban,0.035056585500707386,rural
2,0.014,*results_full_domain_frac_facebook.com,198,162,0.056943303609970276,0.063,0.049,1.3,360,rural,urban,0.006970565006581402,rural
3,0.016,*results_full_domain_frac_google.com,198,162,0.024592953342953344,0.032,0.016,2.03,360,rural,urban,0.001700145659068294,rural
4,0.015,*results_full_domain_frac_wikipedia.org,198,162,0.0831125356125356,0.09,0.075,1.2,360,rural,urban,0.005470946288233962,rural
5,0.021,*results_full_domain_frac_dominos.com,180,180,0.020135181176847844,0.01,0.03,3.1,360,low-income,high-income,0.04294384900035094,high-income
6,0.024,**results_full_domain_frac_yelp.com,180,180,0.014313772647105982,0.002,0.026,11.75,360,low-income,high-income,6.419096143554647e-06,high-income
7,0.007,*results_full_domain_frac_NewsCarousel,180,180,0.09564351543518208,0.099,0.092,1.07,360,low-income,high-income,0.02863221936283049,low-income
8,0.017,*results_full_domain_frac_facebook.com,180,180,0.05694330360997027,0.066,0.048,1.36,360,low-income,high-income,0.001344892921851028,low-income
9,0.02,**results_full_domain_frac_google.com,180,180,0.024592953342953344,0.035,0.015,2.36,360,low-income,high-income,0.00020068290081898694,low-income
10,0.017,*results_full_domain_frac_wikipedia.org,180,180,0.0831125356125356,0.092,0.075,1.23,360,low-income,high-income,0.0015380206800024243,low-income
