,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.051,results_full_domain_appears_google.com,11,9,0.75,0.727,0.778,1.07,20,rural,urban,0.8069320548470009,Walmart,urban
1,0.04,results_full_domain_appears_google.com,11,9,0.8,0.818,0.778,1.05,20,rural,urban,0.8350512693169349,Pizza Hut,rural
2,0.121,results_full_domain_appears_google.com,11,9,0.4,0.455,0.333,1.36,20,rural,urban,0.603685537938679,Wells Fargo,rural
3,0.727,**results_full_domain_appears_google.com,11,9,0.4,0.727,0.0,inf,20,rural,urban,0.00042278119360601854,McDonald's,rural
4,0.091,results_full_domain_appears_google.com,11,9,0.95,0.909,1.0,1.1,20,rural,urban,0.34089313230206,Bank of America,urban
5,0.091,results_full_domain_appears_google.com,11,9,0.05,0.091,0.0,inf,20,rural,urban,0.34089313230206,Chase Bank,rural
6,0.727,**results_full_domain_appears_google.com,11,9,0.4,0.727,0.0,inf,20,rural,urban,0.00042278119360601854,Domino's Pizza,rural
7,0.071,results_full_domain_appears_yelp.com,11,9,0.15,0.182,0.111,1.64,20,rural,urban,0.673334373791784,Walmart,rural
8,0.818,**results_full_domain_appears_yelp.com,11,9,0.55,0.182,1.0,5.5,20,rural,urban,5.310182118962637e-05,Pizza Hut,urban
9,0.818,**results_full_domain_appears_yelp.com,11,9,0.55,0.182,1.0,5.5,20,rural,urban,5.310182118962637e-05,McDonald's,urban
10,0.333,results_full_domain_appears_yelp.com,11,9,0.15,0.0,0.333,inf,20,rural,urban,0.08051623795726257,Chase Bank,urban
11,0.465,*results_full_domain_appears_yelp.com,11,9,0.3,0.091,0.556,6.11,20,rural,urban,0.03652621228749207,Domino's Pizza,urban
12,0.444,*results_full_domain_appears_MapsLocations,11,9,0.2,0.0,0.444,inf,20,rural,urban,0.03526520347508,Barack Obama,urban
13,0.111,results_full_domain_appears_MapsLocations,11,9,0.05,0.0,0.111,inf,20,rural,urban,0.34659350708733416,Donald Trump,urban
14,0.242,results_full_domain_appears_MapsLocations,11,9,0.8,0.909,0.667,1.36,20,rural,urban,0.2246945125011164,Toyota,rural
15,0.04,results_full_domain_appears_MapsLocations,11,9,0.8,0.818,0.778,1.05,20,rural,urban,0.8350512693169349,Chevrolet,rural
16,0.232,results_full_domain_appears_MapsLocations,11,9,0.65,0.545,0.778,1.43,20,rural,urban,0.2950544609847601,Target Corporation,urban
17,0.02,results_full_domain_appears_MapsLocations,11,9,0.9,0.909,0.889,1.02,20,rural,urban,0.8898042142820455,Honda,rural
18,0.071,results_full_domain_appears_MapsLocations,11,9,0.85,0.818,0.889,1.09,20,rural,urban,0.6733343737917844,Walmart,urban
19,0.182,results_full_domain_appears_MapsLocations,11,9,0.9,0.818,1.0,1.22,20,rural,urban,0.16688959581639715,Pizza Hut,urban
20,0.222,results_full_domain_appears_MapsLocations,11,9,0.1,0.0,0.222,inf,20,rural,urban,0.16902020301916998,US Senate,urban
21,0.0,results_full_domain_appears_MapsLocations,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,Wells Fargo,
22,0.273,results_full_domain_appears_MapsLocations,11,9,0.85,0.727,1.0,1.38,20,rural,urban,0.08155339870160568,McDonald's,urban
23,0.101,results_full_domain_appears_MapsLocations,11,9,0.5,0.455,0.556,1.22,20,rural,urban,0.673863369542387,United States Department of Veterans Affairs,urban
24,0.636,*results_full_domain_appears_MapsLocations,11,9,0.65,0.364,1.0,2.75,20,rural,urban,0.0018778361349120214,Bank of America,urban
25,0.121,results_full_domain_appears_MapsLocations,11,9,0.6,0.545,0.667,1.22,20,rural,urban,0.603685537938679,Chase Bank,urban
26,0.04,results_full_domain_appears_MapsLocations,11,9,0.8,0.818,0.778,1.05,20,rural,urban,0.8350512693169349,Domino's Pizza,rural
27,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,Barack Obama,
28,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,Donald Trump,
29,0.465,*results_full_domain_appears_wikipedia.org,11,9,0.7,0.909,0.444,2.05,20,rural,urban,0.03652621228749207,Toyota,rural
30,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,Chevrolet,
31,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,Hillary Clinton,
32,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,Target Corporation,
33,0.444,*results_full_domain_appears_wikipedia.org,11,9,0.8,1.0,0.556,1.8,20,rural,urban,0.03526520347508,Honda,rural
34,0.444,*results_full_domain_appears_wikipedia.org,11,9,0.2,0.0,0.444,inf,20,rural,urban,0.03526520347508,Walmart,urban
35,0.232,results_full_domain_appears_wikipedia.org,11,9,0.35,0.455,0.222,2.05,20,rural,urban,0.2950544609847601,Pizza Hut,rural
36,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,US Supreme Court,
37,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,US Senate,
38,0.02,results_full_domain_appears_wikipedia.org,11,9,0.9,0.909,0.889,1.02,20,rural,urban,0.8898042142820455,Wells Fargo,rural
39,0.465,*results_full_domain_appears_wikipedia.org,11,9,0.7,0.909,0.444,2.05,20,rural,urban,0.03652621228749207,McDonald's,rural
40,0.0,results_full_domain_appears_wikipedia.org,11,9,1.0,1.0,1.0,1.0,20,rural,urban,,United States Department of Veterans Affairs,
41,0.091,results_full_domain_appears_wikipedia.org,11,9,0.95,0.909,1.0,1.1,20,rural,urban,0.34089313230206,Bank of America,urban
42,0.222,results_full_domain_appears_wikipedia.org,11,9,0.9,1.0,0.778,1.29,20,rural,urban,0.16902020301916998,Chase Bank,rural
43,0.545,*results_full_domain_appears_wikipedia.org,11,9,0.3,0.545,0.0,inf,20,rural,urban,0.006080847927088538,Domino's Pizza,rural
44,0.1,results_full_domain_appears_google.com,10,10,0.75,0.8,0.7,1.14,20,low-income,high-income,0.6279443565915093,Walmart,low-income
45,0.0,results_full_domain_appears_google.com,10,10,0.8,0.8,0.8,1.0,20,low-income,high-income,1.0,Pizza Hut,
46,0.2,results_full_domain_appears_google.com,10,10,0.4,0.5,0.3,1.67,20,low-income,high-income,0.38809613338586924,Wells Fargo,low-income
47,0.8,**results_full_domain_appears_google.com,10,10,0.4,0.8,0.0,inf,20,low-income,high-income,0.0002024993220676408,McDonald's,low-income
48,0.1,results_full_domain_appears_google.com,10,10,0.95,1.0,0.9,1.11,20,low-income,high-income,0.34343639613791366,Bank of America,low-income
49,0.1,results_full_domain_appears_google.com,10,10,0.05,0.1,0.0,inf,20,low-income,high-income,0.34343639613791355,Chase Bank,low-income
50,0.8,**results_full_domain_appears_google.com,10,10,0.4,0.8,0.0,inf,20,low-income,high-income,0.0002024993220676408,Domino's Pizza,low-income
51,0.1,results_full_domain_appears_yelp.com,10,10,0.15,0.1,0.2,2.0,20,low-income,high-income,0.5565650165675332,Walmart,high-income
