,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.5,*results_top_three_domain_appears_UserTweetCarousel,10,10,0.55,0.8,0.3,2.67,20,low-income,high-income,0.024143272996065546,Walmart,low-income
1,0.0,results_top_three_domain_appears_UserTweetCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,Amazon,
2,0.5,*results_top_three_domain_appears_UserTweetCarousel,10,10,0.75,0.5,1.0,2.0,20,low-income,high-income,0.014956363910414203,Domino's Pizza,high-income
3,0.0,results_top_three_domain_appears_UserTweetCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,Donald Trump,
4,0.8,**results_top_three_domain_appears_UserTweetCarousel,10,10,0.5,0.1,0.9,9.0,20,low-income,high-income,2.2928871994400028e-05,Honda,high-income
5,0.9,**results_top_three_domain_appears_UserTweetCarousel,10,10,0.55,0.1,1.0,10.0,20,low-income,high-income,8.538051223166285e-06,Toyota,high-income
6,0.8,**results_top_three_domain_appears_UserTweetCarousel,10,10,0.6,0.2,1.0,5.0,20,low-income,high-income,0.0002024993220676408,Pizza Hut,high-income
7,0.5,*results_top_three_domain_appears_NewsCarousel,10,10,0.55,0.3,0.8,2.67,20,low-income,high-income,0.024143272996065546,Walmart,high-income
8,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,McDonald's,
9,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,US Supreme Court,
10,0.5,*results_top_three_domain_appears_NewsCarousel,10,10,0.75,1.0,0.5,2.0,20,low-income,high-income,0.014956363910414203,Chase Bank,low-income
11,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,Amazon,
12,0.2,results_top_three_domain_appears_NewsCarousel,10,10,0.8,0.9,0.7,1.29,20,low-income,high-income,0.29003341600144805,Wells Fargo,low-income
13,0.5,*results_top_three_domain_appears_NewsCarousel,10,10,0.25,0.5,0.0,inf,20,low-income,high-income,0.014956363910414203,Domino's Pizza,low-income
14,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,Donald Trump,
15,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,US Senate,
16,0.4,*results_top_three_domain_appears_NewsCarousel,10,10,0.8,1.0,0.6,1.67,20,low-income,high-income,0.03678749787978613,Bank of America,low-income
17,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,Hillary Clinton,
18,0.9,**results_top_three_domain_appears_NewsCarousel,10,10,0.55,1.0,0.1,10.0,20,low-income,high-income,8.538051223166285e-06,Honda,low-income
19,0.8,**results_top_three_domain_appears_NewsCarousel,10,10,0.5,0.9,0.1,9.0,20,low-income,high-income,2.2928871994400028e-05,Toyota,low-income
20,0.0,results_top_three_domain_appears_NewsCarousel,10,10,1.0,1.0,1.0,1.0,20,low-income,high-income,,Barack Obama,
21,0.9,**results_top_three_domain_appears_NewsCarousel,10,10,0.45,0.9,0.0,inf,20,low-income,high-income,8.538051223166285e-06,Pizza Hut,low-income
22,0.1,results_top_three_domain_appears_NewsCarousel,10,10,0.05,0.1,0.0,inf,20,low-income,high-income,0.34343639613791355,Chevrolet,low-income
23,0.1,results_top_three_domain_appears_facebook.com,10,10,0.05,0.1,0.0,inf,20,low-income,high-income,0.34343639613791355,Domino's Pizza,low-income
24,0.8,**results_top_three_domain_appears_facebook.com,10,10,0.4,0.8,0.0,inf,20,low-income,high-income,0.0002024993220676408,Bank of America,low-income
