,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_domain_frac_google.com,results_full_domain_appears_google.com,results_full_domain_rank_google.com,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_yelp.com,results_full_domain_appears_yelp.com,results_full_domain_rank_yelp.com,results_top_three_domain_frac_yelp.com,results_top_three_domain_appears_yelp.com,results_full_domain_frac_dominos.com,results_full_domain_appears_dominos.com,results_full_domain_rank_dominos.com,results_full_domain_frac_cnbc.com,results_full_domain_appears_cnbc.com,results_full_domain_rank_cnbc.com,results_top_three_domain_frac_dominos.com,results_top_three_domain_appears_dominos.com,results_top_domain_frac_dominos.com,results_top_domain_appears_dominos.com,results_top_three_domain_frac_cnbc.com,results_top_three_domain_appears_cnbc.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_full_domain_frac_people also ask,results_full_domain_appears_people also ask,results_full_domain_rank_people also ask,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_frac_bloomberg.com,results_full_domain_appears_bloomberg.com,results_full_domain_rank_bloomberg.com,results_full_domain_frac_target.com,results_full_domain_appears_target.com,results_full_domain_rank_target.com,results_top_three_domain_frac_target.com,results_top_three_domain_appears_target.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_target.com,results_top_domain_appears_target.com,results_full_domain_frac_latimes.com,results_full_domain_appears_latimes.com,results_full_domain_rank_latimes.com,results_full_domain_frac_vanityfair.com,results_full_domain_appears_vanityfair.com,results_full_domain_rank_vanityfair.com,results_top_three_domain_frac_bloomberg.com,results_top_three_domain_appears_bloomberg.com,results_full_domain_frac_politico.com,results_full_domain_appears_politico.com,results_full_domain_rank_politico.com,results_top_three_domain_frac_politico.com,results_top_three_domain_appears_politico.com,results_top_domain_frac_politico.com,results_top_domain_appears_politico.com,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_full_domain_frac_senate.gov,results_full_domain_appears_senate.gov,results_full_domain_rank_senate.gov,results_top_three_domain_frac_senate.gov,results_top_three_domain_appears_senate.gov,results_top_domain_frac_senate.gov,results_top_domain_appears_senate.gov,results_full_domain_frac_supremecourt.gov,results_full_domain_appears_supremecourt.gov,results_full_domain_rank_supremecourt.gov,results_top_three_domain_frac_supremecourt.gov,results_top_three_domain_appears_supremecourt.gov,results_top_domain_frac_supremecourt.gov,results_top_domain_appears_supremecourt.gov
count,360.0,360,360,360,360.0,360,360,360,360,360,360.0,360,360.0,360.0,360.0,360,360.0,360,360,360.0,360.0,360.0,360.0,340.0,340.0,340.0,193.0,193.0,193.0,241.0,241.0,241.0,140.0,140.0,140.0,75.0,75.0,75.0,205.0,205.0,205.0,276.0,276.0,276.0,360.0,360.0,234.0,234.0,176.0,176.0,360.0,360.0,360.0,360.0,167.0,167.0,99.0,99.0,34.0,34.0,34.0,2.0,2.0,20.0,20.0,20.0,84.0,84.0,84.0,20.0,20.0,20.0,20.0,25.0,25.0,9.0,9.0,70.0,70.0,70.0,55.0,55.0,55.0,133.0,133.0,133.0,107.0,107.0,107.0,20.0,20.0,20.0,20.0,20.0,75.0,75.0,20.0,20.0,33.0,33.0,33.0,60.0,60.0,60.0,15.0,15.0,60.0,60.0,60.0,20.0,20.0,20.0,20.0,60.0,60.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,,1,1,1,,360,1,20,20,20,,1,,,,249,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-03 10:04:20.532741,localhost,35.870047,-83.691628,"Franklin, New Jersey",,popular,,,,"About 225,000,000 results (0.65 seconds) ",,Domino's Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,360,360,360,,1,360,18,18,18,,360,,,,5,,20,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,580.5,,,,1.0,,,,,,0.0,,4.1,64691.15,0.5703824616294493,,18.183333333333334,,,0.0,3.489766081871344,0.7076874897028258,1.0,0.0704032257807755,1.0,3.123529411764706,0.07549215679579492,1.0,2.715025906735751,0.15367708463731838,1.0,3.120331950207469,0.06355371197061815,1.0,3.085714285714286,0.08091930944872112,1.0,6.573333333333333,0.06756951858665963,1.0,6.478048780487805,0.08105841346351497,1.0,4.77536231884058,0.33431263793690863,0.07277903493265994,0.15147198480531807,1.0,0.20928030303030337,1.0,0.4130118518518518,0.10090101851851843,0.34425944444444484,0.1150888888888887,0.37458416500332625,1.0,0.14141414141414113,1.0,0.10466524536593742,1.0,5.632352941176471,0.16666666666666666,1.0,0.22035700818789056,1.0,3.138571428571429,0.061033442841824014,1.0,5.440476190476191,0.19166666666666665,1.0,1.0,1.0,0.12222222222222225,1.0,0.16666666666666666,1.0,0.06072128851540618,1.0,12.314285714285715,0.07002406684224874,1.0,8.727272727272727,0.07239360120392031,1.0,8.823308270676693,0.08416193482163786,1.0,7.383177570093458,0.20831168831168828,1.0,2.0375,0.6666666666666664,1.0,0.22444444444444447,1.0,1.0,1.0,0.09268496654860295,1.0,10.045454545454545,0.06501358899385211,1.0,8.616666666666667,0.16666666666666663,1.0,0.0847404970760233,1.0,8.1,0.11111111111111113,1.0,0.25,1.0,0.25,1.0,0.12541666666666668,1.0,2.0,0.3333333333333332,1.0,1.0,1.0,0.18846590909090916,1.0,2.4999999999999996,0.31666666666666654,1.0,1.0,1.0
std,104.06728592598157,,,,0.0,,,,,,0.0,,2.0251895609202024,44565.23136746151,0.20991831314477405,,3.728942735893997,,,0.0,2.240913426012883,0.2128721498968733,0.0,0.012476401429150191,0.0,2.0758562683673514,0.015686526564898697,0.0,1.5734225315747228,0.058544308314470814,0.0,0.7122744480535091,0.0055945478830999205,0.0,0.704412753896467,0.030374111468045365,0.0,1.637180613237391,0.010544930668075634,0.0,1.8272866677771862,0.024818928127977563,0.0,1.9003085527146408,0.18832699410377646,0.1560216453400669,0.024817387014803793,0.0,0.0729147340498369,0.0,0.24070514314770217,0.18634206339114645,0.35531420991244755,0.22727885977151607,0.11472763468214972,0.0,0.027803533720054372,0.0,0.06168074892090545,0.0,1.553631247586098,0.0,0.0,0.13740853090396377,0.0,1.7896008832027444,0.007191053886625374,0.0,2.325091994429209,0.06105792475542054,0.0,0.0,0.0,0.022680460581325716,0.0,0.0,0.0,0.005275258277834635,0.0,1.0973334893046334,0.006314190283840525,0.0,1.830346510955876,0.023517819371244142,0.0,1.249538534095149,0.017636116260832405,0.0,2.5463435116834003,0.0390165928835917,0.0,0.8242819841981772,2.278129578503827e-16,0.0,0.09684719603261299,0.0,0.0,0.0,0.029424738296354825,0.0,2.1226591384821583,0.009031435580613638,0.0,0.9758380434301838,2.872975021810196e-17,0.0,0.03151312210039056,0.0,2.4195531174445404,2.8476619731297836e-17,0.0,0.0,0.0,0.0,0.0,0.0018633899812498247,0.0,0.0,1.1390647892519134e-16,0.0,0.0,0.0,0.033479921579624664,0.0,0.5129891760425769,0.0512989176042577,0.0,0.0,0.0
min,401.0,,,,1.0,,,,,,0.0,,1.0,19328.0,0.11503811503799999,,8.0,,,0.0,0.0,0.17990196078431367,1.0,0.05263157894736842,1.0,1.0,0.05263157894736842,1.0,2.0,0.0625,1.0,2.0,0.05263157894736842,1.0,2.0,0.058823529411764705,1.0,4.0,0.05263157894736842,1.0,3.0,0.05263157894736842,1.0,2.0,-0.014180000000000009,-0.1281,0.1111111111111111,1.0,0.16666666666666666,1.0,-0.16603333333333334,-0.0587,-0.2732,0.0,0.16666666666666666,1.0,0.1111111111111111,1.0,0.058823529411764705,1.0,2.0,0.16666666666666666,1.0,0.07142857142857142,1.0,1.0,0.05263157894736842,1.0,2.0,0.16666666666666666,1.0,1.0,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,9.0,0.0625,1.0,7.0,0.05263157894736842,1.0,6.0,0.058823529411764705,1.0,2.0,0.18181818181818182,1.0,1.5,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,1.0,0.0625,1.0,5.0,0.05263157894736842,1.0,6.0,0.16666666666666666,1.0,0.05263157894736842,1.0,4.5,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.125,1.0,2.0,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.16666666666666666,1.0,1.0,1.0
25%,490.75,,,,1.0,,,,,,0.0,,2.0,20684.25,0.4933933992384999,,16.0,,,0.0,1.736842105263158,0.562410196872271,1.0,0.0625,1.0,2.0,0.0625,1.0,2.0,0.07692307692307693,1.0,3.0,0.058823529411764705,1.0,3.0,0.0625,1.0,5.0,0.0625,1.0,5.0,0.0625,1.0,3.0,0.22185378787878787,-0.012533333333333332,0.1111111111111111,1.0,0.16666666666666666,1.0,0.25453333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.1111111111111111,1.0,0.0625,1.0,5.0,0.16666666666666666,1.0,0.07554945054945056,1.0,1.0,0.05555555555555555,1.0,3.0,0.16666666666666666,1.0,1.0,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,12.0,0.06666666666666667,1.0,7.0,0.0625,1.0,8.0,0.07692307692307693,1.0,6.0,0.18181818181818182,1.0,1.5,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,9.0,0.05555555555555555,1.0,8.0,0.16666666666666666,1.0,0.05263157894736842,1.0,5.375,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.125,1.0,2.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,0.3333333333333333,1.0,1.0,1.0
50%,580.5,,,,1.0,,,,,,0.0,,5.5,60892.5,0.6076964284819999,,17.5,,,0.0,3.3421052631578947,0.7359159115738065,1.0,0.06666666666666667,1.0,2.0,0.07142857142857142,1.0,2.0,0.17647058823529413,1.0,3.0,0.0625,1.0,3.0,0.07142857142857142,1.0,6.5,0.06666666666666667,1.0,6.0,0.07692307692307693,1.0,5.0,0.30861,0.026673295454545456,0.16666666666666666,1.0,0.16666666666666666,1.0,0.4256,0.0,0.39185,0.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.08333333333333333,1.0,5.25,0.16666666666666666,1.0,0.19642857142857142,1.0,2.875,0.0625,1.0,6.0,0.16666666666666666,1.0,1.0,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.0625,1.0,13.0,0.06666666666666667,1.0,8.0,0.0625,1.0,8.5,0.07692307692307693,1.0,8.0,0.2,1.0,1.5,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.07142857142857142,1.0,10.5,0.0625,1.0,8.0,0.16666666666666666,1.0,0.07692307692307693,1.0,8.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.125,1.0,2.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,0.3333333333333333,1.0,1.0,1.0
75%,670.25,,,,1.0,,,,,,0.0,,6.0,105523.75,0.7455819102682502,,21.0,,,0.0,5.2105263157894735,0.883357651120809,1.0,0.07692307692307693,1.0,4.0,0.07692307692307693,1.0,3.0,0.2,1.0,4.0,0.06666666666666667,1.0,4.0,0.07692307692307693,1.0,7.5,0.07692307692307693,1.0,7.0,0.09090909090909091,1.0,6.0,0.47326,0.12019999999999999,0.16666666666666666,1.0,0.3333333333333333,1.0,0.5888666666666666,0.14049999999999999,0.6808,0.0,0.5,1.0,0.16666666666666666,1.0,0.11764705882352941,1.0,6.5,0.16666666666666666,1.0,0.3125,1.0,4.6,0.06666666666666667,1.0,7.0,0.16666666666666666,1.0,1.0,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.0625,1.0,13.0,0.07692307692307693,1.0,11.0,0.06666666666666667,1.0,9.0,0.09090909090909091,1.0,9.0,0.2,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,0.125,1.0,11.0,0.07692307692307693,1.0,10.0,0.16666666666666666,1.0,0.1111111111111111,1.0,11.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.125,1.0,2.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,0.3333333333333333,1.0,1.0,1.0
