,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_three_domain_frac_twitter.com,198,162,0.06388888888888888,0.064,0.064,1.0,360,rural,urban,0.9892998834597897,rural
1,0.0,results_top_three_domain_frac_instagram.com,198,162,0.0,0.0,0.0,,360,rural,urban,,
2,0.015,*results_top_three_domain_frac_facebook.com,198,162,0.008333333333333333,0.015,0.0,inf,360,rural,urban,0.0024990309277761395,rural
3,0.043,*results_top_three_domain_frac_UserTweetCarousel,198,162,0.09166666666666666,0.072,0.115,1.59,360,rural,urban,0.00733453928180042,urban
4,0.018,results_top_three_domain_frac_wikipedia.org,198,162,0.06944444444444443,0.077,0.06,1.3,360,rural,urban,0.21203119184431732,rural
5,0.002,results_top_three_domain_frac_twitter.com,180,180,0.06388888888888888,0.063,0.065,1.03,360,low-income,high-income,0.8938486849634231,high-income
6,0.0,results_top_three_domain_frac_instagram.com,180,180,0.0,0.0,0.0,,360,low-income,high-income,,
7,0.017,*results_top_three_domain_frac_facebook.com,180,180,0.008333333333333333,0.017,0.0,inf,360,low-income,high-income,0.0024790405779731048,low-income
8,0.046,*results_top_three_domain_frac_UserTweetCarousel,180,180,0.09166666666666666,0.069,0.115,1.68,360,low-income,high-income,0.003095046393233596,high-income
9,0.02,results_top_three_domain_frac_wikipedia.org,180,180,0.06944444444444445,0.08,0.059,1.34,360,low-income,high-income,0.15428207545626854,low-income
10,0.001,results_top_three_domain_frac_twitter.com,90,270,0.06388888888888888,0.063,0.064,1.02,360,GOP,DEM,0.9385370681815077,DEM
11,0.0,results_top_three_domain_frac_instagram.com,90,270,0.0,0.0,0.0,,360,GOP,DEM,,
12,0.001,results_top_three_domain_frac_facebook.com,90,270,0.008333333333333333,0.007,0.009,1.17,360,GOP,DEM,0.8405991224972793,DEM
13,0.009,results_top_three_domain_frac_UserTweetCarousel,90,270,0.09166666666666665,0.085,0.094,1.1,360,GOP,DEM,0.6302612707715405,DEM
14,0.001,results_top_three_domain_frac_wikipedia.org,90,270,0.06944444444444445,0.07,0.069,1.02,360,GOP,DEM,0.9408409043409639,GOP
