,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_domain_frac_twitter.com,198,162,0.0,0.0,0.0,,360,rural,urban,,
1,0.0,results_top_domain_frac_instagram.com,198,162,0.0,0.0,0.0,,360,rural,urban,,
2,0.0,results_top_domain_frac_facebook.com,198,162,0.0,0.0,0.0,,360,rural,urban,,
3,0.0,results_top_domain_frac_UserTweetCarousel,198,162,0.0,0.0,0.0,,360,rural,urban,,
4,0.0,results_top_domain_frac_wikipedia.org,198,162,0.0,0.0,0.0,,360,rural,urban,,
5,0.0,results_top_domain_frac_twitter.com,180,180,0.0,0.0,0.0,,360,low-income,high-income,,
6,0.0,results_top_domain_frac_instagram.com,180,180,0.0,0.0,0.0,,360,low-income,high-income,,
7,0.0,results_top_domain_frac_facebook.com,180,180,0.0,0.0,0.0,,360,low-income,high-income,,
8,0.0,results_top_domain_frac_UserTweetCarousel,180,180,0.0,0.0,0.0,,360,low-income,high-income,,
9,0.0,results_top_domain_frac_wikipedia.org,180,180,0.0,0.0,0.0,,360,low-income,high-income,,
10,0.0,results_top_domain_frac_twitter.com,90,270,0.0,0.0,0.0,,360,GOP,DEM,,
11,0.0,results_top_domain_frac_instagram.com,90,270,0.0,0.0,0.0,,360,GOP,DEM,,
12,0.0,results_top_domain_frac_facebook.com,90,270,0.0,0.0,0.0,,360,GOP,DEM,,
13,0.0,results_top_domain_frac_UserTweetCarousel,90,270,0.0,0.0,0.0,,360,GOP,DEM,,
14,0.0,results_top_domain_frac_wikipedia.org,90,270,0.0,0.0,0.0,,360,GOP,DEM,,
