,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.04,results_full_domain_appears_washingtonpost.com,100,100,0.25,0.23,0.27,1.17,200,low-income,high-income,0.5160498889864831,high-income
1,0.0,results_top_three_domain_appears_washingtonpost.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
2,0.02,results_full_domain_appears_procon.org,100,100,0.69,0.7,0.68,1.03,200,low-income,high-income,0.7612047417471176,low-income
3,0.07,results_top_three_domain_appears_procon.org,100,100,0.345,0.38,0.31,1.23,200,low-income,high-income,0.3001466731171123,low-income
4,0.0,results_top_domain_appears_procon.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
5,0.0,results_full_domain_appears_childrensplace.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
6,0.0,results_full_domain_appears_bbc.co.uk,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
7,0.02,results_full_domain_appears_huffingtonpost.com,100,100,0.17,0.16,0.18,1.12,200,low-income,high-income,0.7082602743017581,high-income
8,0.0,results_full_domain_appears_justfacts.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
9,0.01,results_top_three_domain_appears_justfacts.com,100,100,0.095,0.09,0.1,1.11,200,low-income,high-income,0.8105926042819591,high-income
10,0.0,results_full_domain_appears_foxnews.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
11,0.05,results_full_domain_appears_nytimes.com,100,100,0.575,0.6,0.55,1.09,200,low-income,high-income,0.4769785524209256,low-income
12,0.0,results_top_three_domain_appears_nytimes.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
13,0.01,results_full_domain_appears_twitter.com,100,100,0.125,0.13,0.12,1.08,200,low-income,high-income,0.8317320773348454,low-income
14,0.0,results_full_domain_appears_frenchtoast.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
15,0.0,results_top_three_domain_appears_frenchtoast.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
16,0.01,results_top_domain_appears_frenchtoast.com,100,100,0.065,0.07,0.06,1.17,200,low-income,high-income,0.7755996157693451,low-income
17,0.0,results_full_domain_appears_wikipedia.org,100,100,0.9,0.9,0.9,1.0,200,low-income,high-income,1.0,
18,0.01,results_top_three_domain_appears_wikipedia.org,100,100,0.405,0.41,0.4,1.02,200,low-income,high-income,0.8861747983053984,low-income
19,0.02,results_top_domain_appears_wikipedia.org,100,100,0.1,0.11,0.09,1.22,200,low-income,high-income,0.6393739714384115,low-income
20,0.0,results_full_domain_appears_UserTweetCarousel,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
21,0.01,results_full_domain_appears_webmd.com,100,100,0.195,0.2,0.19,1.05,200,low-income,high-income,0.859225492837091,low-income
22,0.0,results_full_domain_appears_plannedparenthood.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
23,0.0,results_top_three_domain_appears_plannedparenthood.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
24,0.0,results_top_domain_appears_plannedparenthood.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
25,0.0,results_full_domain_appears_nraila.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
26,0.0,results_full_domain_appears_target.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
27,0.01,results_top_three_domain_appears_target.com,100,100,0.095,0.1,0.09,1.11,200,low-income,high-income,0.8105926042819591,low-income
28,0.02,results_top_domain_appears_target.com,100,100,0.02,0.03,0.01,3.0,200,low-income,high-income,0.31514373830730763,low-income
29,0.0,results_full_domain_appears_NewsCarousel,100,100,0.7,0.7,0.7,1.0,200,low-income,high-income,1.0,
30,0.0,results_top_three_domain_appears_NewsCarousel,100,100,0.6,0.6,0.6,1.0,200,low-income,high-income,1.0,
31,0.01,results_top_domain_appears_NewsCarousel,100,100,0.395,0.39,0.4,1.03,200,low-income,high-income,0.8857027186013043,high-income
32,0.0,results_full_domain_appears_dol.gov,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
33,0.0,results_top_three_domain_appears_dol.gov,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
34,0.07,results_full_domain_appears_theatlantic.com,100,100,0.285,0.25,0.32,1.28,200,low-income,high-income,0.2751622709065094,high-income
35,0.02,results_full_domain_appears_ncsl.org,100,100,0.17,0.18,0.16,1.12,200,low-income,high-income,0.7082602743017581,low-income
36,0.0,results_full_domain_appears_deathpenaltyinfo.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
37,0.0,results_top_three_domain_appears_deathpenaltyinfo.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
38,0.0,results_top_domain_appears_deathpenaltyinfo.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
39,0.0,results_full_domain_appears_cnn.com,100,100,0.3,0.3,0.3,1.0,200,low-income,high-income,1.0,
40,0.02,results_top_three_domain_appears_cnn.com,100,100,0.09,0.1,0.08,1.25,200,low-income,high-income,0.6232771703478552,low-income
41,0.0,results_full_domain_appears_drugabuse.gov,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
42,0.06,*results_top_three_domain_appears_drugabuse.gov,100,100,0.03,0.06,0.0,inf,200,low-income,high-income,0.013556758919315062,low-income
43,0.0,results_full_domain_appears_newsweek.com,100,100,0.2,0.2,0.2,1.0,200,low-income,high-income,1.0,
44,0.05,results_full_domain_appears_forbes.com,100,100,0.145,0.17,0.12,1.42,200,low-income,high-income,0.3177749000394198,low-income
45,0.05,results_top_three_domain_appears_forbes.com,100,100,0.045,0.07,0.02,3.5,200,low-income,high-income,0.08939401260176387,low-income
46,0.05,results_top_domain_appears_forbes.com,100,100,0.045,0.07,0.02,3.5,200,low-income,high-income,0.08939401260176387,low-income
47,0.0,results_full_domain_appears_thehill.com,100,100,0.2,0.2,0.2,1.0,200,low-income,high-income,1.0,
48,0.0,results_top_three_domain_appears_thehill.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
49,0.0,results_top_domain_appears_thehill.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
50,0.0,results_full_domain_appears_go.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
51,0.0,results_top_three_domain_appears_go.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
52,0.0,results_top_domain_appears_go.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
53,0.1,results_full_domain_appears_people also ask,100,100,0.66,0.71,0.61,1.16,200,low-income,high-income,0.13688961109176076,low-income
54,0.07,results_top_three_domain_appears_people also ask,100,100,0.245,0.28,0.21,1.33,200,low-income,high-income,0.25199112734728585,low-income
55,0.04,results_full_domain_appears_youtube.com,100,100,0.16,0.18,0.14,1.29,200,low-income,high-income,0.4429408629170333,low-income
56,0.0,results_full_domain_appears_theguardian.com,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
57,0.02,results_full_domain_appears_usnews.com,100,100,0.18,0.17,0.19,1.12,200,low-income,high-income,0.7144704396844943,high-income
58,0.0,results_full_domain_appears_alcoholproblemsandsolutions.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
59,0.0,results_top_three_domain_appears_alcoholproblemsandsolutions.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
60,0.0,results_top_domain_appears_alcoholproblemsandsolutions.org,100,100,0.1,0.1,0.1,1.0,200,low-income,high-income,1.0,
61,0.006,results_full_snippet_mean_polarity,100,100,-0.17296665606060607,-0.17,-0.176,0.97,200,low-income,high-income,0.9127739547307623,low-income
62,0.028,results_top_three_snippet_mean_polarity,100,100,-0.1581335,-0.172,-0.144,0.84,200,low-income,high-income,0.6373271641900196,high-income
63,0.009,results_top_snippet_mean_polarity,100,100,-0.057683,-0.053,-0.062,0.86,200,low-income,high-income,0.9057519944103624,low-income
64,0.006,results_full_snippet_mean_polarity,100,100,-0.17296665606060607,-0.17,-0.176,0.97,200,low-income,high-income,0.9127739547307623,low-income
65,0.028,results_top_three_snippet_mean_polarity,100,100,-0.1581335,-0.172,-0.144,0.84,200,low-income,high-income,0.6373271641900196,high-income
66,0.009,results_top_snippet_mean_polarity,100,100,-0.057683,-0.053,-0.062,0.86,200,low-income,high-income,0.9057519944103624,low-income
67,0.009,results_avg_jacc,100,100,0.838028843318704,0.843,0.833,1.01,200,low-income,high-income,0.6202205671863095,low-income
68,0.048,results_avg_edit,100,100,3.3857894736842105,3.41,3.362,1.01,200,low-income,high-income,0.900441311541002,low-income
69,0.07,has_knowledge_panel,100,100,0.855,0.82,0.89,1.09,200,low-income,high-income,0.16144725210777372,high-income
70,,knowledge_panel_full_domain_appears_b'',0,1,1.0,,1.0,,1,low-income,high-income,,high-income
71,,knowledge_panel_top_three_domain_appears_b'',0,1,1.0,,1.0,,1,low-income,high-income,,high-income
72,,knowledge_panel_top_domain_appears_b'',0,1,1.0,,1.0,,1,low-income,high-income,,high-income
73,0.0,knowledge_panel_full_domain_appears_wikipedia.org,82,88,1.0,1.0,1.0,1.0,170,low-income,high-income,,
74,0.0,knowledge_panel_top_three_domain_appears_wikipedia.org,82,88,1.0,1.0,1.0,1.0,170,low-income,high-income,,
75,0.0,knowledge_panel_top_domain_appears_wikipedia.org,82,88,1.0,1.0,1.0,1.0,170,low-income,high-income,,
76,0.005,knowledge_panel_full_snippet_mean_polarity,82,88,-0.3640105882352942,-0.367,-0.361,0.99,170,low-income,high-income,0.9297772298829831,high-income
77,0.005,knowledge_panel_top_three_snippet_mean_polarity,82,88,-0.3640105882352942,-0.367,-0.361,0.99,170,low-income,high-income,0.9297772298829831,high-income
78,0.005,knowledge_panel_top_snippet_mean_polarity,82,88,-0.3640105882352942,-0.367,-0.361,0.99,170,low-income,high-income,0.9297772298829831,high-income
79,0.005,knowledge_panel_full_snippet_mean_polarity,82,88,-0.3640105882352942,-0.367,-0.361,0.99,170,low-income,high-income,0.9297772298829831,high-income
80,0.005,knowledge_panel_top_three_snippet_mean_polarity,82,88,-0.3640105882352942,-0.367,-0.361,0.99,170,low-income,high-income,0.9297772298829831,high-income
81,0.005,knowledge_panel_top_snippet_mean_polarity,82,88,-0.3640105882352942,-0.367,-0.361,0.99,170,low-income,high-income,0.9297772298829831,high-income
82,0.01,knowledge_panel_avg_jacc,82,89,0.9883040935672516,0.994,0.983,1.01,171,low-income,high-income,0.3786907475821034,low-income
83,0.01,knowledge_panel_avg_edit,82,89,0.011695906432748537,0.006,0.017,2.58,171,low-income,high-income,0.37869074758210575,high-income
