,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.002,results_full_domain_frac_youtube.com,110,90,0.01807692307692308,0.019,0.017,1.1,200,rural,urban,0.7928770271551353,rural
1,0.001,results_full_domain_frac_wikipedia.org,110,90,0.07878205128205126,0.079,0.078,1.02,200,rural,urban,0.8028781355194021,rural
2,0.004,results_full_domain_frac_youtube.com,100,100,0.018076923076923077,0.02,0.016,1.24,200,low-income,high-income,0.5684424599726223,low-income
3,0.001,results_full_domain_frac_wikipedia.org,100,100,0.07878205128205126,0.079,0.078,1.02,200,low-income,high-income,0.7829143545782267,low-income
4,0.005,results_full_domain_frac_youtube.com,50,150,0.01807692307692308,0.022,0.017,1.27,200,GOP,DEM,0.5760638253049943,GOP
5,0.0,results_full_domain_frac_wikipedia.org,50,150,0.07878205128205126,0.079,0.079,1.0,200,GOP,DEM,0.9481403038253511,DEM
6,0.0,results_top_three_domain_frac_youtube.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
7,0.003,results_top_three_domain_frac_wikipedia.org,110,90,0.135,0.136,0.133,1.02,200,rural,urban,0.8969565646620223,rural
8,0.0,results_top_three_domain_frac_youtube.com,100,100,0.0,0.0,0.0,,200,low-income,high-income,,
9,0.003,results_top_three_domain_frac_wikipedia.org,100,100,0.13499999999999998,0.137,0.133,1.02,200,low-income,high-income,0.8861747983053989,low-income
10,0.0,results_top_three_domain_frac_youtube.com,50,150,0.0,0.0,0.0,,200,GOP,DEM,,
11,0.002,results_top_three_domain_frac_wikipedia.org,50,150,0.13499999999999998,0.133,0.136,1.02,200,GOP,DEM,0.9343828017383733,DEM
12,0.0,results_top_domain_frac_youtube.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
13,0.02,results_top_domain_frac_wikipedia.org,110,90,0.1,0.109,0.089,1.23,200,rural,urban,0.6346403536927008,rural
14,0.0,results_top_domain_frac_youtube.com,100,100,0.0,0.0,0.0,,200,low-income,high-income,,
15,0.02,results_top_domain_frac_wikipedia.org,100,100,0.1,0.11,0.09,1.22,200,low-income,high-income,0.6393739714384115,low-income
16,0.0,results_top_domain_frac_youtube.com,50,150,0.0,0.0,0.0,,200,GOP,DEM,,
17,0.0,results_top_domain_frac_wikipedia.org,50,150,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
