,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_twitter.com,110,90,0.017692307692307695,0.018,0.018,1.0,200,rural,urban,1.0,
1,0.0,results_top_three_domain_frac_twitter.com,110,90,0.06666666666666667,0.067,0.067,1.0,200,rural,urban,0.9999999999999994,urban
2,0.0,results_top_domain_frac_twitter.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
3,0.0,results_full_domain_frac_people.com,110,90,0.025,0.025,0.025,1.0,200,rural,urban,1.0,
4,0.0,results_top_three_domain_frac_people.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
5,0.0,results_top_domain_frac_people.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
6,0.0,results_full_domain_frac_bitcoin.com,110,90,0.016538461538461537,0.017,0.017,1.0,200,rural,urban,0.9970888572987741,rural
7,0.0,results_top_three_domain_frac_bitcoin.com,110,90,0.03333333333333333,0.033,0.033,1.0,200,rural,urban,0.9999999999999997,urban
8,0.0,results_top_domain_frac_bitcoin.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
9,0.002,results_full_domain_frac_go.com,110,90,0.009102564102564102,0.008,0.01,1.21,200,rural,urban,0.6469105570256066,urban
10,0.0,results_top_three_domain_frac_go.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
11,0.0,results_top_domain_frac_go.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
12,0.001,results_full_domain_frac_nytimes.com,110,90,0.054475524475524485,0.054,0.055,1.01,200,rural,urban,0.929752446441608,urban
13,0.0,results_top_three_domain_frac_nytimes.com,110,90,0.03333333333333333,0.033,0.033,1.0,200,rural,urban,1.0,
14,0.0,results_top_domain_frac_nytimes.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
15,0.0,results_full_domain_frac_cnn.com,110,90,0.04178321678321678,0.042,0.042,1.0,200,rural,urban,0.9999999999999981,rural
16,0.0,results_top_three_domain_frac_cnn.com,110,90,0.03333333333333333,0.033,0.033,1.0,200,rural,urban,1.0,
17,0.0,results_top_domain_frac_cnn.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
18,0.0,results_full_domain_frac_variety.com,110,90,0.017424242424242425,0.017,0.017,1.0,200,rural,urban,0.9999999999999994,rural
19,0.0,results_top_three_domain_frac_variety.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
20,0.0,results_top_domain_frac_variety.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
21,0.003,results_full_domain_frac_si.com,110,90,0.010861638361638361,0.012,0.009,1.34,200,rural,urban,0.4182602503491576,rural
22,0.0,results_top_three_domain_frac_si.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
23,0.0,results_top_domain_frac_si.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
24,0.001,results_full_domain_frac_247sports.com,110,90,0.013626373626373627,0.013,0.014,1.05,200,rural,urban,0.8947854870421976,urban
25,0.0,results_top_three_domain_frac_247sports.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
26,0.0,results_top_domain_frac_247sports.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
27,0.0,results_full_domain_frac_collegefootballplayoff.com,110,90,0.01818181818181818,0.018,0.018,1.0,200,rural,urban,1.0,
28,0.0,results_top_three_domain_frac_collegefootballplayoff.com,110,90,0.03333333333333333,0.033,0.033,1.0,200,rural,urban,1.0,
29,0.0,results_top_domain_frac_collegefootballplayoff.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
30,0.0,results_full_domain_frac_deadspin.com,110,90,0.017225274725274728,0.017,0.017,1.01,200,rural,urban,0.9761137798592285,rural
31,0.0,results_top_three_domain_frac_deadspin.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
32,0.0,results_top_domain_frac_deadspin.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
33,0.01,results_full_domain_frac_washingtonpost.com,110,90,0.03092948717948718,0.026,0.036,1.38,200,rural,urban,0.23701675263460398,urban
34,0.0,results_top_three_domain_frac_washingtonpost.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
35,0.0,results_top_domain_frac_washingtonpost.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
36,0.002,results_full_domain_frac_yahoo.com,110,90,0.010109890109890109,0.011,0.009,1.21,200,rural,urban,0.6141911739857813,rural
37,0.0,results_top_three_domain_frac_yahoo.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
38,0.0,results_top_domain_frac_yahoo.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
39,0.006,results_full_domain_frac_usatoday.com,110,90,0.015606060606060606,0.018,0.012,1.47,200,rural,urban,0.20958004867414115,rural
40,0.0,results_top_three_domain_frac_usatoday.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
41,0.0,results_top_domain_frac_usatoday.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
42,0.0,results_full_domain_frac_greatbritishgardens.co.uk,110,90,0.01,0.01,0.01,1.0,200,rural,urban,0.9999999999999997,urban
43,0.0,results_top_three_domain_frac_greatbritishgardens.co.uk,110,90,0.0,0.0,0.0,,200,rural,urban,,
44,0.0,results_top_domain_frac_greatbritishgardens.co.uk,110,90,0.0,0.0,0.0,,200,rural,urban,,
45,0.001,results_full_domain_frac_foxnews.com,110,90,0.03421911421911422,0.035,0.033,1.04,200,rural,urban,0.8172709093856372,rural
46,0.0,results_top_three_domain_frac_foxnews.com,110,90,0.03333333333333333,0.033,0.033,1.0,200,rural,urban,0.9999999999999997,urban
47,0.0,results_top_domain_frac_foxnews.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
48,0.002,results_full_domain_frac_cbssports.com,110,90,0.0210989010989011,0.022,0.02,1.1,200,rural,urban,0.8166455622132645,rural
49,0.0,results_top_three_domain_frac_cbssports.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
50,0.0,results_top_domain_frac_cbssports.com,110,90,0.0,0.0,0.0,,200,rural,urban,,
