,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_twitter.com,110,90,0.017692307692307695,0.018,0.018,1.0,200,rural,urban,1.0,
1,0.002,results_full_domain_frac_SearchTweetCarousel,110,90,0.02311355311355311,0.024,0.022,1.08,200,rural,urban,0.7353207570883507,rural
2,0.002,results_full_domain_frac_UserTweetCarousel,110,90,0.009805194805194806,0.009,0.011,1.17,200,rural,urban,0.6928831068235778,urban
3,0.006,results_full_domain_frac_wikipedia.org,110,90,0.07326173826173826,0.076,0.07,1.09,200,rural,urban,0.42939739556173884,rural
4,0.0,results_full_domain_frac_twitter.com,100,100,0.017692307692307695,0.018,0.018,1.0,200,low-income,high-income,1.0,
5,0.002,results_full_domain_frac_SearchTweetCarousel,100,100,0.02311355311355311,0.024,0.022,1.07,200,low-income,high-income,0.7575480787277726,low-income
6,0.001,results_full_domain_frac_UserTweetCarousel,100,100,0.009805194805194806,0.009,0.011,1.16,200,low-income,high-income,0.7194617963585079,high-income
7,0.007,results_full_domain_frac_wikipedia.org,100,100,0.07326173826173826,0.077,0.07,1.09,200,low-income,high-income,0.38012744684018995,low-income
8,0.0,results_full_domain_frac_twitter.com,50,150,0.01769230769230769,0.018,0.018,1.0,200,GOP,DEM,1.0,
9,0.001,results_full_domain_frac_SearchTweetCarousel,50,150,0.02311355311355311,0.022,0.023,1.04,200,GOP,DEM,0.8698507686179184,DEM
10,0.001,results_full_domain_frac_UserTweetCarousel,50,150,0.009805194805194806,0.011,0.01,1.1,200,GOP,DEM,0.8390653537982807,GOP
11,0.001,results_full_domain_frac_wikipedia.org,50,150,0.07326173826173826,0.073,0.073,1.01,200,GOP,DEM,0.9459133154963532,DEM
