,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.002,results_full_domain_appears_sciencealert.com,191,200,0.05115089514066496,0.052,0.05,1.05,391,low-income,high-income,0.9161264970228002,low-income
1,0.002,results_top_three_domain_appears_sciencealert.com,191,200,0.05115089514066496,0.052,0.05,1.05,391,low-income,high-income,0.9161264970228002,low-income
2,0.002,results_top_domain_appears_sciencealert.com,191,200,0.05115089514066496,0.052,0.05,1.05,391,low-income,high-income,0.9161264970228002,low-income
3,0.033,results_full_domain_appears_everydayhealth.com,191,200,0.17902813299232737,0.162,0.195,1.2,391,low-income,high-income,0.39975850334892504,high-income
4,0.0,results_top_three_domain_appears_everydayhealth.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
5,0.0,results_top_domain_appears_everydayhealth.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
6,0.025,results_full_domain_appears_go.com,191,200,0.09207161125319693,0.105,0.08,1.31,391,low-income,high-income,0.4008326756351296,low-income
7,0.002,results_top_three_domain_appears_go.com,191,200,0.05115089514066496,0.052,0.05,1.05,391,low-income,high-income,0.9161264970228002,low-income
8,0.0,results_top_domain_appears_go.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
9,0.003,results_full_domain_appears_endocrineweb.com,191,200,0.04859335038363171,0.047,0.05,1.06,391,low-income,high-income,0.8949554207225899,high-income
10,0.0,results_top_three_domain_appears_endocrineweb.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
11,0.0,results_top_domain_appears_endocrineweb.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
12,0.005,results_full_domain_appears_medicinenet.com,191,200,0.5473145780051151,0.545,0.55,1.01,391,low-income,high-income,0.9133508157642098,high-income
13,0.008,results_top_three_domain_appears_medicinenet.com,191,200,0.05370843989769821,0.058,0.05,1.15,391,low-income,high-income,0.7404244246483588,low-income
14,0.002,results_top_domain_appears_medicinenet.com,191,200,0.05115089514066496,0.052,0.05,1.05,391,low-income,high-income,0.9161264970228002,low-income
15,0.001,results_full_domain_appears_youtube.com,191,200,0.09974424552429667,0.099,0.1,1.01,391,low-income,high-income,0.9862649347026379,high-income
16,0.0,results_top_three_domain_appears_youtube.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
17,0.0,results_top_domain_appears_youtube.com,191,200,0.0,0.0,0.0,,391,low-income,high-income,,
