,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.006,results_full_domain_appears_healthcare.gov,94,100,0.10309278350515463,0.106,0.1,1.06,194,low-income,high-income,0.8846717941914928,low-income
1,0.006,results_top_three_domain_appears_healthcare.gov,94,100,0.10309278350515463,0.106,0.1,1.06,194,low-income,high-income,0.8846717941914928,low-income
2,0.006,results_top_domain_appears_healthcare.gov,94,100,0.10309278350515463,0.106,0.1,1.06,194,low-income,high-income,0.8846717941914928,low-income
3,0.016,results_full_domain_appears_geico.com,94,100,0.5876288659793815,0.596,0.58,1.03,194,low-income,high-income,0.8248974549084519,low-income
4,0.094,results_top_three_domain_appears_geico.com,94,100,0.3556701030927835,0.404,0.31,1.3,194,low-income,high-income,0.17306900907893985,low-income
5,0.026,results_top_domain_appears_geico.com,94,100,0.25257731958762886,0.266,0.24,1.11,194,low-income,high-income,0.6797410729200598,low-income
6,0.017,results_full_domain_appears_allstate.com,94,100,0.3917525773195876,0.383,0.4,1.04,194,low-income,high-income,0.8093796129735509,high-income
7,0.023,results_top_three_domain_appears_allstate.com,94,100,0.28865979381443296,0.277,0.3,1.08,194,low-income,high-income,0.7207005633194766,high-income
8,0.039,results_top_domain_appears_allstate.com,94,100,0.12886597938144329,0.149,0.11,1.35,194,low-income,high-income,0.42307388817030944,low-income
9,0.006,results_full_domain_appears_newyorklife.com,94,100,0.10309278350515463,0.106,0.1,1.06,194,low-income,high-income,0.8846717941914928,low-income
10,0.0,results_top_three_domain_appears_newyorklife.com,94,100,0.0,0.0,0.0,,194,low-income,high-income,,
11,0.0,results_top_domain_appears_newyorklife.com,94,100,0.0,0.0,0.0,,194,low-income,high-income,,
12,0.017,results_full_domain_appears_esurance.com,94,100,0.3917525773195876,0.383,0.4,1.04,194,low-income,high-income,0.8093796129735509,high-income
13,0.004,results_top_three_domain_appears_esurance.com,94,100,0.061855670103092786,0.064,0.06,1.06,194,low-income,high-income,0.9125273296671772,low-income
14,0.0,results_top_domain_appears_esurance.com,94,100,0.0,0.0,0.0,,194,low-income,high-income,,
15,0.016,results_full_domain_appears_statefarm.com,94,100,0.5876288659793815,0.596,0.58,1.03,194,low-income,high-income,0.8248974549084519,low-income
16,0.004,results_top_three_domain_appears_statefarm.com,94,100,0.10824742268041238,0.106,0.11,1.03,194,low-income,high-income,0.9358000948133843,high-income
17,0.049,results_top_domain_appears_statefarm.com,94,100,0.04639175257731959,0.021,0.07,3.29,194,low-income,high-income,0.10276588788924158,high-income
18,0.006,results_full_domain_appears_metlife.com,94,100,0.10309278350515463,0.106,0.1,1.06,194,low-income,high-income,0.8846717941914928,low-income
19,0.006,results_top_three_domain_appears_metlife.com,94,100,0.10309278350515463,0.106,0.1,1.06,194,low-income,high-income,0.8846717941914928,low-income
20,0.055,results_top_domain_appears_metlife.com,94,100,0.05670103092783505,0.085,0.03,2.84,194,low-income,high-income,0.10339180036781756,low-income
21,0.009,results_full_domain_appears_UserTweetCarousel,94,100,0.30412371134020616,0.309,0.3,1.03,194,low-income,high-income,0.8982179541725636,low-income
22,0.009,results_top_three_domain_appears_UserTweetCarousel,94,100,0.30412371134020616,0.309,0.3,1.03,194,low-income,high-income,0.8982179541725636,low-income
23,0.0,results_top_domain_appears_UserTweetCarousel,94,100,0.0,0.0,0.0,,194,low-income,high-income,,
24,0.033,results_full_domain_appears_apple.com,94,100,0.1958762886597938,0.213,0.18,1.18,194,low-income,high-income,0.5686242599013394,low-income
25,0.0,results_top_three_domain_appears_apple.com,94,100,0.0,0.0,0.0,,194,low-income,high-income,,
26,0.0,results_top_domain_appears_apple.com,94,100,0.0,0.0,0.0,,194,low-income,high-income,,
27,0.257,**results_full_domain_appears_MapsLocations,94,100,0.6855670103092784,0.553,0.81,1.46,194,low-income,high-income,0.00010982956648316442,high-income
