,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.208,*results_full_domain_appears_MapsLocations,97,100,0.49746192893401014,0.392,0.6,1.53,197,low-income,high-income,0.003320782623798673,high-income
1,0.006,results_full_domain_appears_UserTweetCarousel,97,100,0.20304568527918782,0.206,0.2,1.03,197,low-income,high-income,0.9146341840498933,low-income
2,0.208,*results_full_domain_appears_MapsLocations,97,100,0.49746192893401014,0.392,0.6,1.53,197,low-income,high-income,0.003320782623798673,high-income
3,0.042,results_full_domain_appears_wikipedia.org,97,100,0.29949238578680204,0.278,0.32,1.15,197,low-income,high-income,0.5256136070774671,high-income
4,0.004,results_full_domain_appears_NewsCarousel,97,100,0.19796954314720813,0.196,0.2,1.02,197,low-income,high-income,0.9424704776593107,high-income
5,0.073,*results_top_three_domain_appears_santanderbank.com,97,100,0.05583756345177665,0.093,0.02,4.64,197,low-income,high-income,0.028051087357819353,low-income
6,0.006,results_top_three_domain_appears_UserTweetCarousel,97,100,0.20304568527918782,0.206,0.2,1.03,197,low-income,high-income,0.9146341840498933,low-income
7,0.034,results_top_three_domain_appears_MapsLocations,97,100,0.2233502538071066,0.206,0.24,1.16,197,low-income,high-income,0.5708645607684517,high-income
8,0.003,results_top_three_domain_appears_wikipedia.org,97,100,0.10152284263959391,0.103,0.1,1.03,197,low-income,high-income,0.9430915785190193,low-income
9,0.004,results_top_three_domain_appears_NewsCarousel,97,100,0.19796954314720813,0.196,0.2,1.02,197,low-income,high-income,0.9424704776593107,high-income
10,0.0,results_top_domain_appears_UserTweetCarousel,97,100,0.0,0.0,0.0,,197,low-income,high-income,,
11,0.014,results_top_domain_appears_MapsLocations,97,100,0.20304568527918782,0.196,0.21,1.07,197,low-income,high-income,0.8065201136785478,high-income
12,0.0,results_top_domain_appears_wikipedia.org,97,100,0.0,0.0,0.0,,197,low-income,high-income,,
13,0.01,results_top_domain_appears_NewsCarousel,97,100,0.005076142131979695,0.01,0.0,inf,197,low-income,high-income,0.3198244610027865,low-income
