,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.011,top_ads_full_domain_frac_,22,1,0.010869565217391304,0.011,0.0,inf,23,GOP,DEM,,gun control,GOP
1,0.009,top_ads_full_domain_frac_,27,2,0.008620689655172414,0.009,0.0,inf,29,GOP,DEM,0.3265270222606157,animal testing,GOP
2,0.018,top_ads_full_domain_frac_,28,2,0.016666666666666666,0.018,0.0,inf,30,GOP,DEM,0.32618890067972717,Honda,GOP
3,0.037,top_ads_full_domain_frac_,27,2,0.034482758620689655,0.037,0.0,inf,29,GOP,DEM,0.3265270222606158,school uniforms,GOP
4,0.066,top_ads_full_domain_frac_,24,2,0.060897435897435896,0.066,0.0,inf,26,GOP,DEM,0.051456071627017354,abortion,GOP
5,0.13,*top_ads_full_domain_frac_jcpenney.com,27,2,0.1206896551724138,0.13,0.0,inf,29,GOP,DEM,0.005652483322487336,school uniforms,GOP
6,0.326,top_ads_full_domain_frac_themainewire.com,22,1,0.5615942028985507,0.576,0.25,2.3,23,GOP,DEM,,gun control,GOP
7,0.068,top_ads_full_domain_frac_theconversation.com,22,1,0.06521739130434782,0.068,0.0,inf,23,GOP,DEM,,gun control,GOP
8,0.03,top_ads_full_domain_frac_csmonitor.com,22,2,0.027777777777777776,0.03,0.0,inf,24,GOP,DEM,0.1620687119391624,death penalty,GOP
9,0.071,top_ads_full_domain_frac_csmonitor.com,13,1,0.06547619047619048,0.071,0.0,inf,14,GOP,DEM,,illegal immigration,GOP
10,0.115,*top_ads_full_domain_frac_dvnf.org,26,2,0.10714285714285714,0.115,0.0,inf,28,GOP,DEM,0.006633447848896403,United States Department of Veterans Affairs,GOP
