,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
1,,results_top_three_domain_frac_,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
2,,results_top_domain_frac_,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
3,,results_full_domain_frac_www.freep.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
4,,results_top_three_domain_frac_www.freep.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
5,,results_top_domain_frac_www.freep.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
6,0.0,results_full_domain_frac_www.medicalmarijuanainc.com,210,50,0.008185404339250493,0.008,0.008,1.0,,260,rural,urban,0.9950298931472928,urban
7,0.001,results_top_three_domain_frac_www.medicalmarijuanainc.com,210,50,0.020512820512820513,0.021,0.02,1.03,,260,rural,urban,0.959946607278564,rural
8,,results_top_domain_frac_www.medicalmarijuanainc.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
9,,results_full_domain_frac_www.freewaychevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
10,,results_top_three_domain_frac_www.freewaychevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
11,,results_top_domain_frac_www.freewaychevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
12,,results_full_domain_frac_www.euthanasia.com,210,50,0.007692307692307693,0.0077,0.0077,,1.0,260,rural,urban,,
13,,results_top_three_domain_frac_www.euthanasia.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
14,,results_top_domain_frac_www.euthanasia.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
15,,results_full_domain_frac_www.motorinntoyotaofcarroll.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
16,,results_top_three_domain_frac_www.motorinntoyotaofcarroll.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
17,,results_top_domain_frac_www.motorinntoyotaofcarroll.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
18,0.002,results_full_domain_frac_www.twincities.com,210,50,0.007692307692307693,0.007,0.009,1.24,,260,rural,urban,0.6854311484969537,urban
19,,results_top_three_domain_frac_www.twincities.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
20,,results_top_domain_frac_www.twincities.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
21,,results_full_domain_frac_www.bloomberg.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
22,,results_top_three_domain_frac_www.bloomberg.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
23,,results_top_domain_frac_www.bloomberg.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
24,0.001,results_full_domain_frac_www.jsonline.com,210,50,0.010174825174825175,0.01,0.009,1.15,,260,rural,urban,0.7668001273174471,rural
25,,results_top_three_domain_frac_www.jsonline.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
