,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
1,,results_top_three_domain_frac_,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
2,,results_top_domain_frac_,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
3,,results_full_domain_frac_chevystore.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
4,,results_top_three_domain_frac_chevystore.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
5,,results_top_domain_frac_chevystore.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
6,,results_full_domain_frac_lifesitenews.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
7,,results_top_three_domain_frac_lifesitenews.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
8,,results_top_domain_frac_lifesitenews.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
9,0.0,results_full_domain_frac_teffertillers.gmpsdealer.com,760,152,0.00019936204146730463,0.0,0.0,inf,,912,rural,urban,0.31762920484120283,rural
10,,results_top_three_domain_frac_teffertillers.gmpsdealer.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
11,,results_top_domain_frac_teffertillers.gmpsdealer.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
12,,results_full_domain_frac_hawaiinewsnow.com,760,152,0.0023923444976076554,0.0024,0.0024,,1.0,912,rural,urban,,
13,,results_top_three_domain_frac_hawaiinewsnow.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
14,,results_top_domain_frac_hawaiinewsnow.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
15,,results_full_domain_frac_atzenhoffer.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
16,,results_top_three_domain_frac_atzenhoffer.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
17,,results_top_domain_frac_atzenhoffer.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
18,,results_full_domain_frac_coldspringcars.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
19,,results_top_three_domain_frac_coldspringcars.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
20,,results_top_domain_frac_coldspringcars.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
21,0.001,results_full_domain_frac_prevention.com,760,152,0.0001686909581646424,0.0,0.001,inf,,912,rural,urban,0.15798323240950354,urban
22,,results_top_three_domain_frac_prevention.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
23,,results_top_domain_frac_prevention.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
24,0.001,results_full_domain_frac_paulmassewakefield.com,760,152,0.00012183235867446393,0.0,0.001,inf,,912,rural,urban,0.31891030699725664,urban
25,,results_top_three_domain_frac_paulmassewakefield.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
26,,results_top_domain_frac_paulmassewakefield.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
27,,results_full_domain_frac_ccsomn.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
28,,results_top_three_domain_frac_ccsomn.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
29,,results_top_domain_frac_ccsomn.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
30,0.0,results_full_domain_frac_benefits.gov,760,152,0.003641917293233083,0.004,0.003,1.08,,912,rural,urban,0.8806647965646306,rural
31,,results_top_three_domain_frac_benefits.gov,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
32,,results_top_domain_frac_benefits.gov,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
33,0.0,results_full_domain_frac_pinterest.com,760,152,0.00012183235867446393,0.0,0.0,inf,,912,rural,urban,0.3176292048412028,rural
34,,results_top_three_domain_frac_pinterest.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
35,,results_top_domain_frac_pinterest.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
36,,results_full_domain_frac_medicalcannabisoutreach.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
37,,results_top_three_domain_frac_medicalcannabisoutreach.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
38,,results_top_domain_frac_medicalcannabisoutreach.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
39,0.0,results_full_domain_frac_crueltyfreeinternational.org,760,152,0.005803650540492645,0.006,0.006,1.01,,912,rural,urban,0.9866154818239073,urban
40,,results_top_three_domain_frac_crueltyfreeinternational.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
41,,results_top_domain_frac_crueltyfreeinternational.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
42,0.0,results_full_domain_frac_oldnavy.com,760,152,0.0010366826156299842,0.001,0.001,1.19,,912,rural,urban,0.8808305089792312,urban
43,,results_top_three_domain_frac_oldnavy.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
44,,results_top_domain_frac_oldnavy.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
45,0.001,results_full_domain_frac_investopedia.com,760,152,0.0026147098515519568,0.003,0.002,1.23,,912,rural,urban,0.6758243645611467,rural
46,,results_top_three_domain_frac_investopedia.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
47,,results_top_domain_frac_investopedia.com,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
48,,results_full_domain_frac_nationalpolice.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
49,,results_top_three_domain_frac_nationalpolice.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
50,,results_top_domain_frac_nationalpolice.org,760,152,0.0,0.0,0.0,,1.0,912,rural,urban,,
51,0.008,results_full_domain_frac_wikipedia.org,760,152,0.08905620451673082,0.09,0.083,1.09,,912,rural,urban,0.12297179106627189,rural
52,0.003,results_top_three_domain_frac_wikipedia.org,760,152,0.1341374269005848,0.135,0.132,1.02,,912,rural,urban,0.8601978953234319,rural
