,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_quikly.com,760,152,0.001,0.0,inf,rural
1,*results_full_domain_frac_MapsLocations,760,152,0.018,0.026,1.45,urban
2,*results_full_domain_frac_caranddriver.com,760,152,0.004,0.002,2.77,rural
3,*results_full_domain_frac_allmenus.com,760,152,0.001,0.004,7.3,urban
4,*results_full_domain_frac_jpmorganchase.com,760,152,0.003,0.001,4.23,rural
5,*results_full_domain_frac_yelp.com,760,152,0.002,0.009,5.53,urban
6,*results_full_domain_frac_consumerreports.org,760,152,0.001,0.0,inf,rural
7,*results_full_domain_frac_hondanews.com,760,152,0.001,0.0,inf,rural
8,*results_full_domain_frac_americanpregnancy.org,570,570,0.001,0.0,inf,low-income
9,*results_full_domain_frac_scotusblog.com,570,570,0.0,0.001,inf,high-income
10,*results_full_domain_frac_yelp.com,570,570,0.002,0.004,2.48,high-income
11,*results_full_domain_frac_snagajob.com,570,570,0.002,0.0,4.06,low-income
12,*results_full_domain_frac_bank-locations.com,570,570,0.0,0.001,inf,high-income
13,*results_full_domain_frac_menuism.com,1064,76,0.0,0.0,inf,GOP
14,**results_full_domain_frac_quikly.com,1064,76,0.001,0.0,inf,GOP
15,*results_full_domain_frac_mapquest.com,1064,76,0.001,0.0,inf,GOP
16,*results_full_domain_frac_hoursguide.com,1064,76,0.001,0.0,inf,GOP
17,*results_full_domain_frac_americanpregnancy.org,1064,76,0.0,0.0,inf,GOP
18,**results_full_domain_frac_alcoholeducationtrust.org,1064,76,0.002,0.0,inf,GOP
19,*results_full_domain_frac_scotusblog.com,1064,76,0.0,0.0,inf,GOP
20,**results_full_domain_frac_academy.com,1064,76,0.001,0.0,inf,GOP
21,**results_full_domain_frac_yellowpages.com,1064,76,0.002,0.0,inf,GOP
22,**results_full_domain_frac_allmenus.com,1064,76,0.001,0.0,inf,GOP
23,*results_full_domain_frac_edmunds.com,1064,76,0.0,0.0,inf,GOP
24,**results_full_domain_frac_tripadvisor.com,1064,76,0.001,0.0,inf,GOP
25,*results_full_domain_frac_bank-locations.com,1064,76,0.0,0.0,inf,GOP
26,*results_full_domain_frac_consumerreports.org,1064,76,0.001,0.0,inf,GOP
27,*results_full_domain_frac_earthmed.com,1064,76,0.0,0.0,inf,GOP
28,*results_full_domain_frac_desmoinesregister.com,1064,76,0.0,0.0,inf,GOP
29,*top_ads_full_domain_frac_prisonpolicy.org,291,59,0.004,0.0,inf,rural
30,*top_ads_full_domain_frac_itep.org,291,59,0.005,0.0,inf,rural
31,*top_ads_full_domain_frac_pregnancylittlerock.com,214,220,0.005,0.0,inf,low-income
32,*top_ads_full_domain_frac_nationalpolice.org,406,28,0.004,0.0,inf,GOP
33,*top_ads_full_domain_frac_pregnancylittlerock.com,406,28,0.002,0.0,inf,GOP
34,*top_ads_full_domain_frac_fbresearch.org,406,28,0.006,0.0,inf,GOP
35,**top_ads_full_domain_frac_catholicsmobilizing.org,406,28,0.012,0.0,inf,GOP
36,*top_ads_full_domain_frac_impactfund.org,406,28,0.005,0.0,inf,GOP
37,*top_ads_full_domain_frac_humanityinaction.org,406,28,0.003,0.0,inf,GOP
38,*top_ads_full_domain_frac_itep.org,406,28,0.004,0.0,inf,GOP
39,**top_ads_full_domain_frac_ecnmy.org,406,28,0.026,0.0,inf,GOP
40,*top_ads_full_domain_frac_portland.buyatoyota.com,406,28,0.004,0.0,inf,GOP
41,*top_ads_full_domain_frac_firstthings.com,406,28,0.006,0.0,inf,GOP
