,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_top_three_domain_frac_MapsLocations,760,152,0.045,0.072,1.6,urban
1,*results_top_three_domain_frac_usa.gov,760,152,0.008,0.002,3.8,rural
2,*results_top_three_domain_frac_people.com,760,152,0.003,0.0,inf,rural
3,*results_top_three_domain_frac_nbclosangeles.com,760,152,0.004,0.0,inf,rural
4,*results_top_three_domain_frac_MapsPlaces,1064,76,0.001,0.0,inf,GOP
5,**results_top_three_domain_frac_alcoholeducationtrust.org,1064,76,0.008,0.0,inf,GOP
6,*results_top_three_domain_frac_yelp.com,1064,76,0.002,0.0,inf,GOP
7,**results_top_three_domain_frac_people.com,1064,76,0.004,0.0,inf,GOP
8,**results_top_three_domain_frac_nbclosangeles.com,1064,76,0.004,0.0,inf,GOP
9,*top_ads_top_three_domain_frac_prisonpolicy.org,291,59,0.005,0.0,inf,rural
10,*top_ads_top_three_domain_frac_catholicsmobilizing.org,291,59,0.005,0.0,inf,rural
11,*top_ads_top_three_domain_frac_prisonpolicy.org,214,220,0.006,0.0,inf,low-income
12,*top_ads_top_three_domain_frac_nationalpolice.org,406,28,0.005,0.0,inf,GOP
13,*top_ads_top_three_domain_frac_fbresearch.org,406,28,0.008,0.0,inf,GOP
14,*top_ads_top_three_domain_frac_catholicsmobilizing.org,406,28,0.003,0.0,inf,GOP
15,**top_ads_top_three_domain_frac_ecnmy.org,406,28,0.026,0.0,inf,GOP
16,*top_ads_top_three_domain_frac_portland.buyatoyota.com,406,28,0.004,0.0,inf,GOP
17,*top_ads_top_three_domain_frac_plannedparenthood.org,406,28,0.005,0.0,inf,GOP
