,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.125,results_top_three_domain_appears_MapsLocations,22,8,0.03333333333333333,0.0,0.125,inf,30,rural,urban,0.3506166628202075,abortion,urban
1,0.136,results_top_three_domain_appears_MapsLocations,22,8,0.6,0.636,0.5,1.27,30,rural,urban,0.5403896213647031,Walmart,rural
2,0.023,results_top_three_domain_appears_MapsLocations,22,8,0.7333333333333333,0.727,0.75,1.03,30,rural,urban,0.9068860733523367,Wells Fargo,urban
3,0.364,*results_top_three_domain_appears_MapsLocations,22,8,0.7333333333333333,0.636,1.0,1.57,30,rural,urban,0.0023205861477215177,Pizza Hut,urban
4,0.227,results_top_three_domain_appears_MapsLocations,22,8,0.3333333333333333,0.273,0.5,1.83,30,rural,urban,0.307888053398137,United States Department of Veterans Affairs,urban
5,0.045,results_top_three_domain_appears_MapsLocations,22,8,0.4666666666666667,0.455,0.5,1.1,30,rural,urban,0.8383369370189381,Honda,urban
6,0.25,results_top_three_domain_appears_MapsLocations,22,8,0.06666666666666667,0.0,0.25,inf,30,rural,urban,0.17047066078705375,medical marijuana,urban
7,0.273,results_top_three_domain_appears_MapsLocations,22,8,0.3,0.227,0.5,2.2,30,rural,urban,0.22180739200718028,Target Corporation,urban
8,0.466,*results_top_three_domain_appears_MapsLocations,22,8,0.5333333333333333,0.409,0.875,2.14,30,rural,urban,0.011191223956716146,Chase Bank,urban
9,0.102,results_top_three_domain_appears_MapsLocations,22,8,0.7,0.727,0.625,1.16,30,rural,urban,0.6311035407697533,Toyota,rural
10,0.318,results_top_three_domain_appears_MapsLocations,22,8,0.26666666666666666,0.182,0.5,2.75,30,rural,urban,0.1552988104050628,Bank of America,urban
11,0.057,results_top_three_domain_appears_MapsLocations,22,8,0.8333333333333334,0.818,0.875,1.07,30,rural,urban,0.7118613045441046,Domino's Pizza,urban
12,0.5,**results_top_three_domain_appears_MapsLocations,22,8,0.6333333333333333,0.5,1.0,2.0,30,rural,urban,0.00016146012887717278,McDonald's,urban
13,0.08,results_top_three_domain_appears_MapsLocations,22,8,0.5666666666666667,0.545,0.625,1.15,30,rural,urban,0.7149294527841176,Chevrolet,urban
14,0.557,*results_top_three_domain_appears_facebook.com,22,8,0.5333333333333333,0.682,0.125,5.45,30,rural,urban,0.0030479235571463275,Bank of America,rural
15,0.557,*results_top_three_domain_appears_huffingtonpost.com,22,8,0.5333333333333333,0.682,0.125,5.45,30,rural,urban,0.0030479235571463275,Pizza Hut,rural
16,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,ryan shazier,
17,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,gun control,
18,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,abortion,
19,0.409,*results_top_three_domain_appears_NewsCarousel,22,8,0.7,0.591,1.0,1.69,30,rural,urban,0.0010152263109035494,Walmart,urban
20,0.125,results_top_three_domain_appears_NewsCarousel,22,8,0.9666666666666667,1.0,0.875,1.14,30,rural,urban,0.3506166628202075,Wells Fargo,rural
21,0.557,*results_top_three_domain_appears_NewsCarousel,22,8,0.5333333333333333,0.682,0.125,5.45,30,rural,urban,0.0030479235571463275,Pizza Hut,rural
22,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,US Senate,
23,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,eagles,
24,0.784,**results_top_three_domain_appears_NewsCarousel,22,8,0.7,0.909,0.125,7.27,30,rural,urban,0.00017331987979029987,Honda,rural
25,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,Donald Trump,
26,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,medical marijuana,
27,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,michael flynn,
28,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,Amazon,
29,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,Hillary Clinton,
30,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,bitcoin price,
31,0.284,results_top_three_domain_appears_NewsCarousel,22,8,0.8333333333333334,0.909,0.625,1.45,30,rural,urban,0.1771230945483606,Chase Bank,rural
32,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,al franken,
33,0.602,*results_top_three_domain_appears_NewsCarousel,22,8,0.5666666666666667,0.727,0.125,5.82,30,rural,urban,0.001550436245364978,Toyota,rural
34,0.33,results_top_three_domain_appears_NewsCarousel,22,8,0.8666666666666667,0.955,0.625,1.53,30,rural,urban,0.11918884662419985,Bank of America,rural
35,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,Barack Obama,
36,0.545,**results_top_three_domain_appears_NewsCarousel,22,8,0.4,0.545,0.0,inf,30,rural,urban,5.7179026053308954e-05,Domino's Pizza,rural
37,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,matt lauer,
38,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,california fires,
39,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,US Supreme Court,
40,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,minimum wage,
41,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,college football playoff,
42,0.045,results_top_three_domain_appears_NewsCarousel,22,8,0.03333333333333333,0.045,0.0,inf,30,rural,urban,0.3286946832364639,McDonald's,rural
43,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,illegal immigration,
44,0.0,results_top_three_domain_appears_NewsCarousel,22,8,1.0,1.0,1.0,1.0,30,rural,urban,,death penalty,
