,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_top_domain_frac_procon.org,1406,114,0.003,0.0,inf,GOP
1,**top_ads_top_domain_frac_heartlandalliance.org,452,32,0.024,0.0,inf,rural
2,*top_ads_top_domain_frac_deathpenaltyfail.org,452,32,0.02,0.0,inf,rural
3,*top_ads_top_domain_frac_prisonfellowship.org,452,32,0.013,0.0,inf,rural
4,**top_ads_top_domain_frac_joycefdn.org,452,32,0.035,0.0,inf,rural
5,*top_ads_top_domain_frac_deathpenaltyfail.org,329,288,0.024,0.003,7.0,low-income
6,*top_ads_top_domain_frac_caron.org,569,48,0.012,0.0,inf,GOP
7,*top_ads_top_domain_frac_deathpenaltyfail.org,569,48,0.016,0.0,inf,GOP
8,*top_ads_top_domain_frac_apha.org,569,48,0.018,0.0,inf,GOP
9,*top_ads_top_domain_frac_prisonfellowship.org,569,48,0.012,0.0,inf,GOP
