,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.02,results_top_three_domain_appears_wikipedia.org,836,304,0.4026315789473684,0.408,0.388,1.05,1140,rural,urban,0.5470823020869213,rural
1,0.041,results_top_three_domain_appears_twitter.com,836,304,0.3219298245614035,0.311,0.352,1.13,1140,rural,urban,0.19779100309290526,urban
2,0.04,results_top_three_domain_appears_UserTweetCarousel,836,304,0.13508771929824562,0.124,0.164,1.32,1140,rural,urban,0.09792050936170273,urban
3,0.001,results_top_three_domain_appears_yelp.com,836,304,0.0008771929824561404,0.001,0.0,inf,1140,rural,urban,0.31760020638236114,rural
4,0.001,results_top_three_domain_appears_SearchTweetCarousel,836,304,0.08157894736842106,0.081,0.082,1.01,1140,rural,urban,0.9611321824161325,urban
5,0.015,*results_top_three_domain_appears_facebook.com,836,304,0.014035087719298246,0.018,0.003,5.45,1140,rural,urban,0.009627318075961238,rural
6,0.004,results_top_three_domain_appears_wikipedia.org,494,1026,0.3973684210526316,0.395,0.399,1.01,1520,low-income,high-income,0.884389683957026,high-income
7,0.002,results_top_three_domain_appears_twitter.com,494,1026,0.325,0.324,0.326,1.01,1520,low-income,high-income,0.9487589116880869,high-income
8,0.006,results_top_three_domain_appears_UserTweetCarousel,494,1026,0.1375,0.134,0.139,1.04,1520,low-income,high-income,0.7583145117094372,high-income
9,0.001,results_top_three_domain_appears_yelp.com,494,1026,0.0013157894736842105,0.002,0.001,2.08,1520,low-income,high-income,0.6405063339459505,low-income
10,0.016,results_top_three_domain_appears_SearchTweetCarousel,494,1026,0.08223684210526316,0.093,0.077,1.21,1520,low-income,high-income,0.29901661783295164,low-income
11,0.001,results_top_three_domain_appears_facebook.com,494,1026,0.01118421052631579,0.012,0.011,1.13,1520,low-income,high-income,0.8089298349123417,low-income
12,0.008,results_top_three_domain_appears_wikipedia.org,1292,228,0.3973684210526316,0.399,0.39,1.02,1520,GOP,DEM,0.8143485014928803,GOP
13,0.02,results_top_three_domain_appears_twitter.com,1292,228,0.325,0.322,0.342,1.06,1520,GOP,DEM,0.5551494917182611,DEM
14,0.019,results_top_three_domain_appears_UserTweetCarousel,1292,228,0.1375,0.135,0.154,1.14,1520,GOP,DEM,0.46497428007073727,DEM
15,0.004,results_top_three_domain_appears_yelp.com,1292,228,0.0013157894736842105,0.001,0.004,5.67,1520,GOP,DEM,0.4181658188926416,DEM
16,0.012,results_top_three_domain_appears_SearchTweetCarousel,1292,228,0.08223684210526316,0.08,0.092,1.14,1520,GOP,DEM,0.574061558669923,DEM
17,0.003,results_top_three_domain_appears_facebook.com,1292,228,0.01118421052631579,0.012,0.009,1.32,1520,GOP,DEM,0.679780536606913,GOP
18,0.0,knowledge_panel_top_three_domain_appears_wikipedia.org,669,240,1.0,1.0,1.0,1.0,909,rural,urban,,
19,0.0,knowledge_panel_top_three_domain_appears_wikipedia.org,402,800,1.0,1.0,1.0,1.0,1202,low-income,high-income,,
20,0.0,knowledge_panel_top_three_domain_appears_wikipedia.org,1029,173,1.0,1.0,1.0,1.0,1202,GOP,DEM,,
