,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_domain_appears_SearchTweetCarousel,836,304,0.0,0.0,0.0,,1140,rural,urban,,
1,0.0,results_top_domain_appears_twitter.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
2,0.005,results_top_domain_appears_NewsCarousel,836,304,0.33245614035087717,0.334,0.329,1.01,1140,rural,urban,0.8794809583629953,rural
3,0.0,results_top_domain_appears_wikipedia.org,836,304,0.10526315789473684,0.105,0.105,1.0,1140,rural,urban,1.0,
4,0.0,results_top_domain_appears_facebook.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
5,0.0,results_top_domain_appears_UserTweetCarousel,836,304,0.0,0.0,0.0,,1140,rural,urban,,
6,0.002,results_top_domain_appears_MapsLocations,836,304,0.0017543859649122807,0.002,0.0,inf,1140,rural,urban,0.15742338521457405,rural
7,0.0,results_top_domain_appears_SearchTweetCarousel,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
8,0.0,results_top_domain_appears_twitter.com,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
9,0.002,results_top_domain_appears_NewsCarousel,494,1026,0.33289473684210524,0.334,0.332,1.0,1520,low-income,high-income,0.949116586678409,low-income
10,0.0,results_top_domain_appears_wikipedia.org,494,1026,0.10526315789473684,0.105,0.105,1.0,1520,low-income,high-income,1.0,
11,0.0,results_top_domain_appears_facebook.com,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
12,0.0,results_top_domain_appears_UserTweetCarousel,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
13,0.002,results_top_domain_appears_MapsLocations,494,1026,0.0013157894736842105,0.0,0.002,inf,1520,low-income,high-income,0.15740038276760648,high-income
14,0.0,results_top_domain_appears_SearchTweetCarousel,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
15,0.0,results_top_domain_appears_twitter.com,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
16,0.005,results_top_domain_appears_NewsCarousel,1292,228,0.33289473684210524,0.334,0.329,1.01,1520,GOP,DEM,0.890910353871267,GOP
17,0.0,results_top_domain_appears_wikipedia.org,1292,228,0.10526315789473684,0.105,0.105,1.0,1520,GOP,DEM,1.0,
18,0.0,results_top_domain_appears_facebook.com,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
19,0.0,results_top_domain_appears_UserTweetCarousel,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
20,0.002,results_top_domain_appears_MapsLocations,1292,228,0.0013157894736842105,0.002,0.0,inf,1520,GOP,DEM,0.15737954779743946,GOP
