,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_theatlantic.com,836,304,0.02263480184532816,0.023,0.023,1.01,1140,rural,urban,0.9448092170489812,urban
1,0.0,results_top_three_domain_frac_theatlantic.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
2,0.0,results_top_domain_frac_theatlantic.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
3,0.001,results_full_domain_frac_thehill.com,836,304,0.007109922241501189,0.007,0.008,1.1,1140,rural,urban,0.6692538492603757,urban
4,0.0,results_top_three_domain_frac_thehill.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
5,0.0,results_top_domain_frac_thehill.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
6,0.002,results_full_domain_frac_UserTweetCarousel,836,304,0.02492415479257585,0.025,0.024,1.08,1140,rural,urban,0.5069673871217201,rural
7,0.013,results_top_three_domain_frac_UserTweetCarousel,836,304,0.04502923976608187,0.041,0.055,1.32,1140,rural,urban,0.09792050936170303,urban
8,0.0,results_top_domain_frac_UserTweetCarousel,836,304,0.0,0.0,0.0,,1140,rural,urban,,
9,0.0,results_full_domain_frac_bloomberg.com,836,304,0.011097915242652084,0.011,0.011,1.04,1140,rural,urban,0.8553702641693548,rural
10,0.0,results_top_three_domain_frac_bloomberg.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
11,0.0,results_top_domain_frac_bloomberg.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
12,0.001,results_full_domain_frac_cnn.com,836,304,0.022418371102581627,0.023,0.022,1.04,1140,rural,urban,0.7357929243800021,rural
13,0.004,*results_top_three_domain_frac_cnn.com,836,304,0.002631578947368421,0.004,0.0,inf,1140,rural,urban,0.002652119227098574,rural
14,0.0,results_top_domain_frac_cnn.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
15,0.002,results_full_domain_frac_latimes.com,836,304,0.014796825981036505,0.014,0.016,1.16,1140,rural,urban,0.4138553400834689,urban
16,0.0,results_top_three_domain_frac_latimes.com,836,304,0.008771929824561403,0.009,0.009,1.0,1140,rural,urban,1.0,
17,0.0,results_top_domain_frac_latimes.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
18,0.0,results_full_domain_frac_huffingtonpost.com,836,304,0.006574775127406706,0.007,0.007,1.03,1140,rural,urban,0.9016388913418639,urban
