,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.001,results_full_domain_frac_wikipedia.org,22,8,0.07735042735042737,0.078,0.077,1.01,30,rural,urban,0.16206871193917544,Barack Obama,rural
1,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.07692307692307694,0.077,0.077,1.0,30,rural,urban,0.00016146012887717278,death penalty,urban
2,0.002,results_full_domain_frac_wikipedia.org,22,8,0.08183760683760685,0.082,0.08,1.03,30,rural,urban,0.10620601422165935,medical marijuana,rural
3,0.0,results_full_domain_frac_wikipedia.org,22,8,0.15347985347985352,0.153,0.154,1.0,30,rural,urban,0.3286946832364278,drinking age,urban
4,0.023,results_full_domain_frac_wikipedia.org,22,8,0.012737262737262738,0.006,0.03,4.61,30,rural,urban,0.16499589221995883,eagles,urban
5,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.07692307692307694,0.077,0.077,1.0,30,rural,urban,0.00016146012887717278,euthanasia,urban
6,0.007,results_full_domain_frac_wikipedia.org,22,8,0.1321969696969697,0.134,0.127,1.05,30,rural,urban,0.06807320281333284,Chase Bank,rural
7,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.07692307692307694,0.077,0.077,1.0,30,rural,urban,0.00016146012887717278,gun control,urban
8,0.0,results_full_domain_frac_wikipedia.org,22,8,0.07695360195360197,0.077,0.077,1.0,30,rural,urban,0.9165885586676582,illegal immigration,rural
9,0.0,results_full_domain_frac_wikipedia.org,22,8,0.09969696969696971,0.1,0.1,1.0,30,rural,urban,0.3286946832364782,ryan shazier,urban
10,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.08333333333333336,0.083,0.083,1.0,30,rural,urban,0.00016146012887717278,michael flynn,urban
11,0.0,results_full_domain_frac_wikipedia.org,22,8,0.13392857142857142,0.134,0.134,1.0,30,rural,urban,1.0,United States Department of Veterans Affairs,
12,0.071,*results_full_domain_frac_wikipedia.org,22,8,0.11090067340067339,0.13,0.059,2.21,30,rural,urban,0.0167255768751994,Honda,rural
13,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.10000000000000003,0.1,0.1,1.0,30,rural,urban,0.00016146012887717278,animal testing,rural
14,0.074,*results_full_domain_frac_wikipedia.org,22,8,0.09568579568579569,0.115,0.041,2.79,30,rural,urban,0.009702711152544738,Toyota,rural
15,0.0,results_full_domain_frac_wikipedia.org,22,8,0.07713675213675215,0.077,0.077,1.0,30,rural,urban,0.3286946832364791,abortion,rural
16,0.001,results_full_domain_frac_wikipedia.org,22,8,0.07735042735042737,0.078,0.077,1.01,30,rural,urban,0.16206871193917533,al franken,rural
17,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.08333333333333336,0.083,0.083,1.0,30,rural,urban,0.00016146012887717278,Donald Trump,urban
18,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.10000000000000003,0.1,0.1,1.0,30,rural,urban,0.00016146012887717278,gertrude jekyll,rural
19,0.003,results_full_domain_frac_wikipedia.org,22,8,0.0925925925925926,0.093,0.09,1.03,30,rural,urban,0.8324544940828142,Wells Fargo,rural
20,0.023,results_full_domain_frac_wikipedia.org,22,8,0.04490740740740741,0.051,0.028,1.84,30,rural,urban,0.3174214047481183,Domino's Pizza,rural
21,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.07692307692307694,0.077,0.077,1.0,30,rural,urban,0.00016146012887717278,US Senate,urban
22,0.003,results_full_domain_frac_wikipedia.org,22,8,0.075,0.076,0.073,1.04,30,rural,urban,0.8120145477554516,california fires,rural
23,0.0,results_full_domain_frac_wikipedia.org,22,8,0.08311965811965814,0.083,0.083,1.0,30,rural,urban,0.328694683236434,matt lauer,urban
24,0.007,results_full_domain_frac_wikipedia.org,22,8,0.055918155918155917,0.054,0.061,1.13,30,rural,urban,0.6572756273551086,McDonald's,urban
25,0.002,results_full_domain_frac_wikipedia.org,22,8,0.1292207792207792,0.13,0.127,1.02,30,rural,urban,0.7100593549374066,Target Corporation,rural
26,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.18181818181818177,0.182,0.182,1.0,30,rural,urban,0.00016146012887717278,gomer pyle,urban
27,0.051,*results_full_domain_frac_wikipedia.org,22,8,0.06026094276094276,0.074,0.023,3.25,30,rural,urban,0.012935489364338295,Pizza Hut,rural
28,0.001,results_full_domain_frac_wikipedia.org,22,8,0.09044289044289042,0.09,0.091,1.01,30,rural,urban,0.3286946832364477,college football playoff,urban
29,0.041,results_full_domain_frac_wikipedia.org,22,8,0.08296296296296296,0.094,0.053,1.78,30,rural,urban,0.08772086533255664,Bank of America,rural
30,0.0,results_full_domain_frac_wikipedia.org,22,8,0.07991452991452992,0.08,0.08,1.0,30,rural,urban,0.8383369370189282,US Supreme Court,urban
31,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.07692307692307694,0.077,0.077,1.0,30,rural,urban,0.00016146012887717278,Hillary Clinton,urban
32,0.0,**results_full_domain_frac_wikipedia.org,22,8,0.14285714285714285,0.143,0.143,1.0,30,rural,urban,0.00016146012887717278,minimum wage,urban
33,0.008,results_full_domain_frac_wikipedia.org,22,8,0.11652837902837902,0.119,0.111,1.07,30,rural,urban,0.3220978064658676,Chevrolet,rural
