,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_domain_frac_UserTweetCarousel,836,304,0.0,0.0,0.0,,1140,rural,urban,,
1,0.0,results_top_domain_frac_SearchTweetCarousel,836,304,0.0,0.0,0.0,,1140,rural,urban,,
2,0.0,results_top_domain_frac_twitter.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
3,0.0,results_top_domain_frac_wikipedia.org,836,304,0.10526315789473684,0.105,0.105,1.0,1140,rural,urban,1.0,
4,0.0,results_top_domain_frac_facebook.com,836,304,0.0,0.0,0.0,,1140,rural,urban,,
5,0.0,results_top_domain_frac_UserTweetCarousel,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
6,0.0,results_top_domain_frac_SearchTweetCarousel,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
7,0.0,results_top_domain_frac_twitter.com,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
8,0.0,results_top_domain_frac_wikipedia.org,494,1026,0.10526315789473684,0.105,0.105,1.0,1520,low-income,high-income,1.0,
9,0.0,results_top_domain_frac_facebook.com,494,1026,0.0,0.0,0.0,,1520,low-income,high-income,,
10,0.0,results_top_domain_frac_UserTweetCarousel,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
11,0.0,results_top_domain_frac_SearchTweetCarousel,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
12,0.0,results_top_domain_frac_twitter.com,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
13,0.0,results_top_domain_frac_wikipedia.org,1292,228,0.10526315789473684,0.105,0.105,1.0,1520,GOP,DEM,1.0,
14,0.0,results_top_domain_frac_facebook.com,1292,228,0.0,0.0,0.0,,1520,GOP,DEM,,
