,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.002,results_full_domain_frac_target.com,396,144,0.014926046176046174,0.014,0.016,1.13,540,rural,urban,0.772746777670452,urban
1,0.0,results_top_three_domain_frac_target.com,396,144,0.037037037037037035,0.037,0.037,1.0,540,rural,urban,1.0,
2,0.0,results_top_domain_frac_target.com,396,144,0.05555555555555555,0.056,0.056,1.0,540,rural,urban,1.0,
3,0.003,results_full_domain_frac_MapsLocations,396,144,0.04583376500043166,0.045,0.048,1.07,540,rural,urban,0.5181457953060995,urban
4,0.039,*results_top_three_domain_frac_MapsLocations,396,144,0.12407407407407404,0.114,0.153,1.34,540,rural,urban,0.015163105018894335,urban
5,0.005,results_top_domain_frac_MapsLocations,396,144,0.003703703703703704,0.005,0.0,inf,540,rural,urban,0.15756146135580432,rural
6,0.001,results_full_domain_frac_chevrolet.com,396,144,0.006642149003260114,0.007,0.006,1.11,540,rural,urban,0.7958739055232416,rural
7,0.001,results_top_three_domain_frac_chevrolet.com,396,144,0.0191358024691358,0.019,0.019,1.05,540,rural,urban,0.9117534828108981,rural
8,0.0,results_top_domain_frac_chevrolet.com,396,144,0.05555555555555555,0.056,0.056,1.0,540,rural,urban,1.0,
9,0.006,results_full_domain_frac_NewsCarousel,396,144,0.08892957351290685,0.091,0.084,1.07,540,rural,urban,0.08899428763074296,rural
10,0.053,*results_top_three_domain_frac_NewsCarousel,396,144,0.21481481481481482,0.229,0.176,1.3,540,rural,urban,0.0010189145621085408,rural
11,0.0,results_top_domain_frac_NewsCarousel,396,144,0.16666666666666666,0.167,0.167,1.0,540,rural,urban,1.0,
12,0.005,results_full_domain_frac_dominos.com,396,144,0.015150646678424457,0.014,0.019,1.39,540,rural,urban,0.48178402203468396,urban
13,0.001,results_top_three_domain_frac_dominos.com,396,144,0.021604938271604937,0.022,0.021,1.05,540,rural,urban,0.9060077834994212,rural
14,0.005,results_top_domain_frac_dominos.com,396,144,0.05185185185185185,0.051,0.056,1.1,540,rural,urban,0.8194099227853235,urban
15,0.012,*results_full_domain_frac_facebook.com,396,144,0.06542672348227904,0.069,0.056,1.22,540,rural,urban,0.01819749989115528,rural
