,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_instagram.com,396,144,0.004633946300612968,0.005,0.004,1.12,540,rural,urban,0.7791069740756615,rural
1,0.004,results_full_domain_frac_UserTweetCarousel,396,144,0.0413607380274047,0.042,0.038,1.1,540,rural,urban,0.4209710630087845,rural
2,0.0,results_full_domain_frac_SearchTweetCarousel,396,144,0.010981749731749733,0.011,0.011,1.03,540,rural,urban,0.9181668777678692,urban
3,0.015,*results_full_domain_frac_wikipedia.org,396,144,0.0805304263637597,0.085,0.069,1.22,540,rural,urban,0.0016225809782320789,rural
4,0.012,*results_full_domain_frac_facebook.com,396,144,0.06542672348227904,0.069,0.056,1.22,540,rural,urban,0.01819749989115528,rural
5,0.006,*results_full_domain_frac_linkedin.com,396,144,0.007561060338838117,0.009,0.003,3.11,540,rural,urban,0.004262692098634073,rural
6,0.001,results_full_domain_frac_twitter.com,396,144,0.021730522563855898,0.022,0.021,1.05,540,rural,urban,0.7736891260348675,rural
7,0.001,results_full_domain_frac_instagram.com,234,486,0.004543835793835794,0.005,0.004,1.18,720,low-income,high-income,0.5994760171837449,low-income
8,0.0,results_full_domain_frac_UserTweetCarousel,234,486,0.04130188869772203,0.041,0.041,1.0,720,low-income,high-income,0.9893934265643831,high-income
9,0.001,results_full_domain_frac_SearchTweetCarousel,234,486,0.01114941771191771,0.012,0.011,1.13,720,low-income,high-income,0.5738910726533644,low-income
10,0.0,results_full_domain_frac_wikipedia.org,234,486,0.07948682490349156,0.08,0.079,1.01,720,low-income,high-income,0.8996980901866946,low-income
11,0.0,results_full_domain_frac_facebook.com,234,486,0.0626947512364179,0.063,0.063,1.01,720,low-income,high-income,0.9343347089665814,low-income
12,0.003,results_full_domain_frac_linkedin.com,234,486,0.007789953102453103,0.006,0.009,1.46,720,low-income,high-income,0.21667025206673646,high-income
13,0.002,results_full_domain_frac_twitter.com,234,486,0.020975012641679308,0.019,0.022,1.13,720,low-income,high-income,0.4279246210031459,high-income
14,0.0,results_full_domain_frac_instagram.com,612,108,0.0045438357938357935,0.005,0.004,1.07,720,GOP,DEM,0.8643693155716287,GOP
15,0.001,results_full_domain_frac_UserTweetCarousel,612,108,0.04130188869772203,0.041,0.04,1.02,720,GOP,DEM,0.8561590758334241,GOP
16,0.001,results_full_domain_frac_SearchTweetCarousel,612,108,0.01114941771191771,0.011,0.012,1.07,720,GOP,DEM,0.8112921170781907,DEM
17,0.007,results_full_domain_frac_wikipedia.org,612,108,0.07948682490349157,0.08,0.074,1.09,720,GOP,DEM,0.21060890968572463,GOP
18,0.007,results_full_domain_frac_facebook.com,612,108,0.0626947512364179,0.064,0.057,1.12,720,GOP,DEM,0.21744309834079018,GOP
19,0.004,results_full_domain_frac_linkedin.com,612,108,0.0077899531024531,0.008,0.005,1.77,720,GOP,DEM,0.1702430976027972,GOP
20,0.002,results_full_domain_frac_twitter.com,612,108,0.020975012641679308,0.021,0.019,1.11,720,GOP,DEM,0.5983595510321413,GOP
21,0.0,results_and_knowledge_panel_full_domain_frac_instagram.com,396,144,0.00429724596391263,0.004,0.004,1.11,540,rural,urban,0.7826539171934381,rural
22,0.003,results_and_knowledge_panel_full_domain_frac_UserTweetCarousel,396,144,0.0373041773041773,0.038,0.035,1.09,540,rural,urban,0.46692128369174,rural
23,0.0,results_and_knowledge_panel_full_domain_frac_SearchTweetCarousel,396,144,0.010077294105071882,0.01,0.01,1.03,540,rural,urban,0.9121429550784869,urban
24,0.02,**results_and_knowledge_panel_full_domain_frac_wikipedia.org,396,144,0.1465612473945807,0.152,0.132,1.15,540,rural,urban,0.0004943680188898719,rural
25,0.011,*results_and_knowledge_panel_full_domain_frac_facebook.com,396,144,0.05876929654707432,0.062,0.051,1.21,540,rural,urban,0.0218145979824496,rural
26,0.005,*results_and_knowledge_panel_full_domain_frac_linkedin.com,396,144,0.006669472502805836,0.008,0.003,3.03,540,rural,urban,0.005221537498780828,rural
27,0.001,results_and_knowledge_panel_full_domain_frac_twitter.com,396,144,0.019802450635783966,0.02,0.019,1.05,540,rural,urban,0.7931919563341349,rural
28,0.001,results_and_knowledge_panel_full_domain_frac_instagram.com,234,486,0.004214997964997965,0.005,0.004,1.18,720,low-income,high-income,0.6038621351278602,low-income
29,0.0,results_and_knowledge_panel_full_domain_frac_UserTweetCarousel,234,486,0.037259272363439025,0.037,0.037,1.0,720,low-income,high-income,0.9935611722924916,high-income
30,0.001,results_and_knowledge_panel_full_domain_frac_SearchTweetCarousel,234,486,0.01022875658292325,0.011,0.01,1.13,720,low-income,high-income,0.566125162423891,low-income
31,0.007,results_and_knowledge_panel_full_domain_frac_wikipedia.org,234,486,0.143998690352857,0.149,0.142,1.05,720,low-income,high-income,0.14844616055823656,low-income
32,0.0,results_and_knowledge_panel_full_domain_frac_facebook.com,234,486,0.05629834671501338,0.056,0.056,1.0,720,low-income,high-income,0.9431379310093309,low-income
33,0.002,results_and_knowledge_panel_full_domain_frac_linkedin.com,234,486,0.006837121212121212,0.005,0.008,1.47,720,low-income,high-income,0.20403076251930438,high-income
34,0.002,results_and_knowledge_panel_full_domain_frac_twitter.com,234,486,0.019114084218250883,0.018,0.02,1.13,720,low-income,high-income,0.4233306125643804,high-income
