,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.028,results_top_three_domain_frac_UserTweetCarousel,396,144,0.09506172839506172,0.088,0.116,1.32,540,rural,urban,0.06455319808634444,urban
1,0.0,results_top_three_domain_frac_SearchTweetCarousel,396,144,0.04197530864197531,0.042,0.042,1.01,540,rural,urban,0.968861695315628,rural
2,0.013,results_top_three_domain_frac_wikipedia.org,396,144,0.09753086419753086,0.101,0.088,1.15,540,rural,urban,0.36915500127465284,rural
3,0.01,*results_top_three_domain_frac_facebook.com,396,144,0.009876543209876543,0.013,0.002,5.45,540,rural,urban,0.00931749321245097,rural
4,0.004,results_top_three_domain_frac_UserTweetCarousel,234,486,0.09675925925925924,0.094,0.098,1.04,720,low-income,high-income,0.7352338897545068,high-income
5,0.007,results_top_three_domain_frac_SearchTweetCarousel,234,486,0.04212962962962963,0.047,0.04,1.18,720,low-income,high-income,0.42475364358984213,low-income
6,0.001,results_top_three_domain_frac_wikipedia.org,234,486,0.09351851851851849,0.093,0.094,1.01,720,low-income,high-income,0.9084190066505909,high-income
7,0.001,results_top_three_domain_frac_facebook.com,234,486,0.00787037037037037,0.009,0.008,1.13,720,low-income,high-income,0.8079231861366674,low-income
8,0.008,results_top_three_domain_frac_twitter.com,234,486,0.05555555555555555,0.05,0.058,1.17,720,low-income,high-income,0.38364975751084485,high-income
9,0.013,results_top_three_domain_frac_UserTweetCarousel,612,108,0.09675925925925924,0.095,0.108,1.14,720,GOP,DEM,0.41643588309210144,DEM
10,0.005,results_top_three_domain_frac_SearchTweetCarousel,612,108,0.04212962962962962,0.041,0.046,1.12,720,GOP,DEM,0.6834907071950745,DEM
11,0.005,results_top_three_domain_frac_wikipedia.org,612,108,0.09351851851851851,0.094,0.09,1.05,720,GOP,DEM,0.761424022592404,GOP
12,0.002,results_top_three_domain_frac_facebook.com,612,108,0.007870370370370371,0.008,0.006,1.32,720,GOP,DEM,0.6791129721339966,GOP
13,0.007,results_top_three_domain_frac_twitter.com,612,108,0.05555555555555555,0.057,0.049,1.15,720,GOP,DEM,0.5626810857353834,GOP
14,0.028,results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,396,144,0.09506172839506172,0.088,0.116,1.32,540,rural,urban,0.06455319808634444,urban
15,0.0,results_and_knowledge_panel_top_three_domain_frac_SearchTweetCarousel,396,144,0.04197530864197531,0.042,0.042,1.01,540,rural,urban,0.968861695315628,rural
16,0.013,results_and_knowledge_panel_top_three_domain_frac_wikipedia.org,396,144,0.09753086419753086,0.101,0.088,1.15,540,rural,urban,0.36915500127465284,rural
17,0.01,*results_and_knowledge_panel_top_three_domain_frac_facebook.com,396,144,0.009876543209876543,0.013,0.002,5.45,540,rural,urban,0.00931749321245097,rural
18,0.004,results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,234,486,0.09675925925925924,0.094,0.098,1.04,720,low-income,high-income,0.7352338897545068,high-income
19,0.007,results_and_knowledge_panel_top_three_domain_frac_SearchTweetCarousel,234,486,0.04212962962962963,0.047,0.04,1.18,720,low-income,high-income,0.42475364358984213,low-income
20,0.001,results_and_knowledge_panel_top_three_domain_frac_wikipedia.org,234,486,0.09351851851851849,0.093,0.094,1.01,720,low-income,high-income,0.9084190066505909,high-income
21,0.001,results_and_knowledge_panel_top_three_domain_frac_facebook.com,234,486,0.00787037037037037,0.009,0.008,1.13,720,low-income,high-income,0.8079231861366674,low-income
22,0.008,results_and_knowledge_panel_top_three_domain_frac_twitter.com,234,486,0.05555555555555555,0.05,0.058,1.17,720,low-income,high-income,0.38364975751084485,high-income
23,0.013,results_and_knowledge_panel_top_three_domain_frac_UserTweetCarousel,612,108,0.09675925925925924,0.095,0.108,1.14,720,GOP,DEM,0.41643588309210144,DEM
24,0.005,results_and_knowledge_panel_top_three_domain_frac_SearchTweetCarousel,612,108,0.04212962962962962,0.041,0.046,1.12,720,GOP,DEM,0.6834907071950745,DEM
25,0.005,results_and_knowledge_panel_top_three_domain_frac_wikipedia.org,612,108,0.09351851851851851,0.094,0.09,1.05,720,GOP,DEM,0.761424022592404,GOP
26,0.002,results_and_knowledge_panel_top_three_domain_frac_facebook.com,612,108,0.007870370370370371,0.008,0.006,1.32,720,GOP,DEM,0.6791129721339966,GOP
27,0.007,results_and_knowledge_panel_top_three_domain_frac_twitter.com,612,108,0.05555555555555555,0.057,0.049,1.15,720,GOP,DEM,0.5626810857353834,GOP
