,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.005,results_full_domain_appears_slate.com,220,80,0.10333333333333333,0.105,0.1,1.05,300,rural,urban,0.908736070235274,rural
1,0.0,results_top_three_domain_appears_slate.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
2,0.0,results_top_domain_appears_slate.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
3,0.0,results_full_domain_appears_alcoholproblemsandsolutions.org,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
4,0.005,results_top_three_domain_appears_alcoholproblemsandsolutions.org,220,80,0.09666666666666666,0.095,0.1,1.05,300,rural,urban,0.9077635217798611,urban
5,0.005,results_top_domain_appears_alcoholproblemsandsolutions.org,220,80,0.09666666666666666,0.095,0.1,1.05,300,rural,urban,0.9077635217798611,urban
6,0.0,results_full_domain_appears_cnn.com,220,80,0.3,0.3,0.3,1.0,300,rural,urban,1.0,
7,0.0,results_top_three_domain_appears_cnn.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
8,0.0,results_top_domain_appears_cnn.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
9,0.0,results_full_domain_appears_bbc.co.uk,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
10,0.0,results_top_three_domain_appears_bbc.co.uk,220,80,0.0,0.0,0.0,,300,rural,urban,,
11,0.0,results_top_domain_appears_bbc.co.uk,220,80,0.0,0.0,0.0,,300,rural,urban,,
12,0.002,results_full_domain_appears_foxnews.com,220,80,0.12666666666666668,0.127,0.125,1.02,300,rural,urban,0.9584000864046808,rural
13,0.0,results_top_three_domain_appears_foxnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
14,0.0,results_top_domain_appears_foxnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
15,0.0,results_full_domain_appears_plannedparenthood.org,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
16,0.0,results_top_three_domain_appears_plannedparenthood.org,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
17,0.0,results_top_domain_appears_plannedparenthood.org,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
18,0.005,results_full_domain_appears_usnews.com,220,80,0.19666666666666666,0.195,0.2,1.02,300,rural,urban,0.9309690277131567,urban
19,0.0,results_top_three_domain_appears_usnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
20,0.0,results_top_domain_appears_usnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
21,0.01,results_full_domain_appears_washingtonpost.com,220,80,0.32,0.323,0.312,1.03,300,rural,urban,0.8670309668431062,rural
22,0.0,results_top_three_domain_appears_washingtonpost.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
23,0.0,results_top_domain_appears_washingtonpost.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
24,0.0,results_full_domain_appears_euthanasia.com,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
25,0.0,results_top_three_domain_appears_euthanasia.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
26,0.0,results_top_domain_appears_euthanasia.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
27,0.067,results_full_domain_appears_people also ask,220,80,0.6866666666666666,0.705,0.638,1.11,300,rural,urban,0.2834477189473404,rural
28,0.036,results_top_three_domain_appears_people also ask,220,80,0.22666666666666666,0.236,0.2,1.18,300,rural,urban,0.49680419710552004,rural
29,0.0,results_top_domain_appears_people also ask,220,80,0.0,0.0,0.0,,300,rural,urban,,
30,0.0,results_full_domain_appears_childrensplace.com,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
31,0.039,results_top_three_domain_appears_childrensplace.com,220,80,0.05333333333333334,0.064,0.025,2.55,300,rural,urban,0.1102872832642928,rural
32,0.0,results_top_domain_appears_childrensplace.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
33,0.0,results_full_domain_appears_washingtontimes.com,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
34,0.0,results_top_three_domain_appears_washingtontimes.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
35,0.0,results_top_domain_appears_washingtontimes.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
