,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.047,results_full_domain_appears_youtube.com,220,80,0.15333333333333332,0.141,0.188,1.33,300,rural,urban,0.3513831203088442,urban
1,0.0,results_full_domain_appears_linkedin.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
2,0.012,results_full_domain_appears_wikipedia.org,220,80,0.9966666666666667,1.0,0.988,1.01,300,rural,urban,0.32036371526073343,rural
3,0.038,results_full_domain_appears_twitter.com,220,80,0.01,0.0,0.038,inf,300,rural,urban,0.08323949596932954,urban
4,0.0,results_full_domain_appears_instagram.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
5,0.0,results_full_domain_appears_facebook.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
6,0.002,results_full_domain_appears_youtube.com,130,270,0.1525,0.154,0.152,1.01,400,low-income,high-income,0.9588073976591526,low-income
7,0.0,results_full_domain_appears_linkedin.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
8,0.004,results_full_domain_appears_wikipedia.org,130,270,0.9975,1.0,0.996,1.0,400,low-income,high-income,0.31820919078283244,low-income
9,0.011,results_full_domain_appears_twitter.com,130,270,0.0075,0.0,0.011,inf,400,low-income,high-income,0.08326237800615117,high-income
10,0.0,results_full_domain_appears_instagram.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
11,0.0,results_full_domain_appears_facebook.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
12,0.003,results_full_domain_appears_youtube.com,340,60,0.1525,0.153,0.15,1.02,400,GOP,DEM,0.9536352129661148,GOP
13,0.0,results_full_domain_appears_linkedin.com,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
14,0.003,results_full_domain_appears_wikipedia.org,340,60,0.9975,0.997,1.0,1.0,400,GOP,DEM,0.31802375916781905,DEM
15,0.011,results_full_domain_appears_twitter.com,340,60,0.0075,0.006,0.017,2.83,400,GOP,DEM,0.5322472160006353,DEM
16,0.0,results_full_domain_appears_instagram.com,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
17,0.0,results_full_domain_appears_facebook.com,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
18,0.0,knowledge_panel_full_domain_appears_wikipedia.org,197,71,1.0,1.0,1.0,1.0,268,rural,urban,,
19,0.0,knowledge_panel_full_domain_appears_wikipedia.org,117,240,1.0,1.0,1.0,1.0,357,low-income,high-income,,
20,0.0,knowledge_panel_full_domain_appears_wikipedia.org,303,54,1.0,1.0,1.0,1.0,357,GOP,DEM,,
