,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.009,results_full_domain_frac_youtube.com,220,80,0.016452991452991454,0.014,0.023,1.64,300,rural,urban,0.17060493013192066,urban
1,0.0,results_full_domain_frac_wikipedia.org,220,80,0.08630341880341878,0.086,0.086,1.0,300,rural,urban,0.9670261546210757,rural
2,0.001,results_full_domain_frac_youtube.com,130,270,0.016352564102564103,0.017,0.016,1.07,400,low-income,high-income,0.8002879489031689,low-income
3,0.0,results_full_domain_frac_wikipedia.org,130,270,0.08622206959706957,0.086,0.086,1.0,400,low-income,high-income,0.9716924050637886,low-income
4,0.0,results_full_domain_frac_youtube.com,340,60,0.016352564102564103,0.016,0.017,1.02,400,GOP,DEM,0.9530460946413254,DEM
5,0.0,results_full_domain_frac_wikipedia.org,340,60,0.08622206959706957,0.086,0.086,1.0,400,GOP,DEM,0.9871177925011804,GOP
6,0.0,results_top_three_domain_frac_youtube.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
7,0.002,results_top_three_domain_frac_wikipedia.org,220,80,0.16777777777777778,0.168,0.167,1.01,300,rural,urban,0.9448744657820303,rural
8,0.0,results_top_three_domain_frac_youtube.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
9,0.002,results_top_three_domain_frac_wikipedia.org,130,270,0.16833333333333333,0.167,0.169,1.01,400,low-income,high-income,0.8900828576721578,high-income
10,0.0,results_top_three_domain_frac_youtube.com,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
11,0.002,results_top_three_domain_frac_wikipedia.org,340,60,0.16833333333333333,0.169,0.167,1.01,400,GOP,DEM,0.933738946313065,GOP
12,0.0,results_top_domain_frac_youtube.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
13,0.0,results_top_domain_frac_wikipedia.org,220,80,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
14,0.0,results_top_domain_frac_youtube.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
15,0.0,results_top_domain_frac_wikipedia.org,130,270,0.2,0.2,0.2,1.0,400,low-income,high-income,1.0,
16,0.0,results_top_domain_frac_youtube.com,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
17,0.0,results_top_domain_frac_wikipedia.org,340,60,0.2,0.2,0.2,1.0,400,GOP,DEM,1.0,
