,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.001,results_full_domain_frac_people also ask,220,80,0.022125929625929627,0.022,0.023,1.04,300,rural,urban,0.8494936938904977,urban
1,0.0,results_top_three_domain_frac_people also ask,220,80,0.0,0.0,0.0,,300,rural,urban,,
2,0.0,results_top_domain_frac_people also ask,220,80,0.0,0.0,0.0,,300,rural,urban,,
3,0.0,results_full_domain_frac_cbssports.com,220,80,0.028983682983682986,0.029,0.029,1.01,300,rural,urban,0.9859200269028568,urban
4,0.0,results_top_three_domain_frac_cbssports.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
5,0.0,results_top_domain_frac_cbssports.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
6,0.0,results_full_domain_frac_vanityfair.com,220,80,0.016623931623931623,0.017,0.017,1.0,300,rural,urban,0.9929208539594359,urban
7,0.0,results_top_three_domain_frac_vanityfair.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
8,0.0,results_top_domain_frac_vanityfair.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
9,0.001,results_full_domain_frac_deadspin.com,220,80,0.01344955044955045,0.014,0.013,1.07,300,rural,urban,0.8397969901081295,rural
10,0.0,results_top_three_domain_frac_deadspin.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
11,0.0,results_top_domain_frac_deadspin.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
12,0.003,results_full_domain_frac_go.com,220,80,0.01111111111111111,0.01,0.014,1.32,300,rural,urban,0.3995859000734464,urban
13,0.0,results_top_three_domain_frac_go.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
14,0.0,results_top_domain_frac_go.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
15,0.0,results_full_domain_frac_nbcnews.com,220,80,0.016923076923076923,0.017,0.017,1.02,300,rural,urban,0.9365247221153684,rural
16,0.0,results_top_three_domain_frac_nbcnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
17,0.0,results_top_domain_frac_nbcnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
18,0.0,results_full_domain_frac_247sports.com,220,80,0.012240759240759243,0.012,0.012,1.04,300,rural,urban,0.9185429153457882,rural
19,0.0,results_top_three_domain_frac_247sports.com,220,80,0.03333333333333333,0.033,0.033,1.0,300,rural,urban,1.0,
20,0.0,results_top_domain_frac_247sports.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
21,0.001,results_full_domain_frac_newyorker.com,220,80,0.01,0.01,0.01,1.06,300,rural,urban,0.8746288346452697,urban
22,0.0,results_top_three_domain_frac_newyorker.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
23,0.0,results_top_domain_frac_newyorker.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
24,0.0,results_full_domain_frac_imdb.com,220,80,0.016825951825951826,0.017,0.017,1.0,300,rural,urban,0.9895188904959037,rural
25,0.0,results_top_three_domain_frac_imdb.com,220,80,0.03333333333333333,0.033,0.033,1.0,300,rural,urban,1.0,
26,0.0,results_top_domain_frac_imdb.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
27,0.001,results_full_domain_frac_newsweek.com,220,80,0.008867521367521367,0.009,0.008,1.1,300,rural,urban,0.7995865488251931,rural
28,0.0,results_top_three_domain_frac_newsweek.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
29,0.0,results_top_domain_frac_newsweek.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
30,0.0,results_full_domain_frac_forbes.com,220,80,0.016623931623931623,0.017,0.017,1.0,300,rural,urban,0.9929208539594359,urban
31,0.0,results_top_three_domain_frac_forbes.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
32,0.0,results_top_domain_frac_forbes.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
33,0.0,results_full_domain_frac_today.com,220,80,0.008311965811965812,0.008,0.008,1.0,300,rural,urban,0.9929208539594359,urban
34,0.0,results_top_three_domain_frac_today.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
35,0.0,results_top_domain_frac_today.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
36,0.0,results_full_domain_frac_theatlantic.com,220,80,0.02438034188034188,0.024,0.024,1.01,300,rural,urban,0.9774126167818707,rural
37,0.0,results_top_three_domain_frac_theatlantic.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
38,0.0,results_top_domain_frac_theatlantic.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
39,0.0,results_full_domain_frac_variety.com,220,80,0.017402874902874902,0.017,0.017,1.0,300,rural,urban,0.994929909770432,urban
40,0.0,results_top_three_domain_frac_variety.com,220,80,0.03333333333333333,0.033,0.033,1.0,300,rural,urban,1.0,
41,0.0,results_top_domain_frac_variety.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
42,0.0,results_full_domain_frac_NewsCarousel,220,80,0.06801831501831503,0.068,0.068,1.0,300,rural,urban,0.9672452903646509,urban
43,0.0,results_top_three_domain_frac_NewsCarousel,220,80,0.26666666666666666,0.267,0.267,1.0,300,rural,urban,1.0,
44,0.0,results_top_domain_frac_NewsCarousel,220,80,0.6,0.6,0.6,1.0,300,rural,urban,1.0,
45,0.0,results_full_domain_frac_greatbritishgardens.co.uk,220,80,0.01,0.01,0.01,1.0,300,rural,urban,1.0,
46,0.0,results_top_three_domain_frac_greatbritishgardens.co.uk,220,80,0.0,0.0,0.0,,300,rural,urban,,
47,0.0,results_top_domain_frac_greatbritishgardens.co.uk,220,80,0.0,0.0,0.0,,300,rural,urban,,
48,0.001,results_full_domain_frac_usatoday.com,220,80,0.01573620823620824,0.016,0.015,1.04,300,rural,urban,0.8824540912745236,rural
49,0.0,results_top_three_domain_frac_usatoday.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
50,0.0,results_top_domain_frac_usatoday.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
51,0.002,results_full_domain_frac_espn.com,220,80,0.03610495060495061,0.036,0.037,1.05,300,rural,urban,0.8257431869470107,urban
52,0.0,results_top_three_domain_frac_espn.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
53,0.0,results_top_domain_frac_espn.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
54,0.0,results_full_domain_frac_UserTweetCarousel,220,80,0.020262459762459765,0.02,0.02,1.01,300,rural,urban,0.9722874922039778,rural
55,0.0,results_top_three_domain_frac_UserTweetCarousel,220,80,0.0,0.0,0.0,,300,rural,urban,,
56,0.0,results_top_domain_frac_UserTweetCarousel,220,80,0.0,0.0,0.0,,300,rural,urban,,
57,0.0,results_full_domain_frac_cointelegraph.com,220,80,0.024935897435897435,0.025,0.025,1.0,300,rural,urban,0.9929208539594357,urban
58,0.0,results_top_three_domain_frac_cointelegraph.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
59,0.0,results_top_domain_frac_cointelegraph.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
60,0.002,results_full_domain_frac_wikipedia.org,220,80,0.08034987234987234,0.08,0.082,1.03,300,rural,urban,0.734847761181354,urban
61,0.0,results_top_three_domain_frac_wikipedia.org,220,80,0.2,0.2,0.2,1.0,300,rural,urban,0.9999999999999984,rural
62,0.0,results_top_domain_frac_wikipedia.org,220,80,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
63,0.0,results_full_domain_frac_philadelphiaeagles.com,220,80,0.008238150738150738,0.008,0.008,1.03,300,rural,urban,0.9411770102282975,rural
64,0.003,results_top_three_domain_frac_philadelphiaeagles.com,220,80,0.0022222222222222222,0.002,0.004,2.75,300,rural,urban,0.5511498302594726,urban
65,0.0,results_top_domain_frac_philadelphiaeagles.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
66,0.002,results_full_domain_frac_nfl.com,220,80,0.015374292374292373,0.016,0.014,1.13,300,rural,urban,0.6805505193939521,rural
67,0.0,results_top_three_domain_frac_nfl.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
68,0.0,results_top_domain_frac_nfl.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
69,0.0,results_full_domain_frac_washingtonpost.com,220,80,0.042076534576534576,0.042,0.042,1.01,300,rural,urban,0.9784536252329814,urban
70,0.0,results_top_three_domain_frac_washingtonpost.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
71,0.0,results_top_domain_frac_washingtonpost.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
72,0.0,results_full_domain_frac_latimes.com,220,80,0.024935897435897435,0.025,0.025,1.01,300,rural,urban,0.985001955229984,rural
73,0.0,results_top_three_domain_frac_latimes.com,220,80,0.03333333333333333,0.033,0.033,1.0,300,rural,urban,1.0,
74,0.0,results_top_domain_frac_latimes.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
75,0.0,results_full_domain_frac_independent.co.uk,220,80,0.018311965811965814,0.018,0.018,1.0,300,rural,urban,0.9952005758596593,urban
76,0.003,results_top_three_domain_frac_independent.co.uk,220,80,0.0022222222222222222,0.002,0.004,2.75,300,rural,urban,0.5511498302594724,urban
77,0.0,results_top_domain_frac_independent.co.uk,220,80,0.0,0.0,0.0,,300,rural,urban,,
78,0.002,results_full_domain_frac_foxnews.com,220,80,0.021013986013986016,0.022,0.02,1.11,300,rural,urban,0.669176811457756,rural
79,0.0,results_top_three_domain_frac_foxnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
80,0.0,results_top_domain_frac_foxnews.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
81,0.003,results_full_domain_frac_nytimes.com,220,80,0.06433483183483184,0.063,0.067,1.05,300,rural,urban,0.6741022956807641,urban
82,0.0,results_top_three_domain_frac_nytimes.com,220,80,0.03333333333333333,0.033,0.033,1.0,300,rural,urban,1.0,
83,0.0,results_top_domain_frac_nytimes.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
84,0.004,results_full_domain_frac_cnn.com,220,80,0.030415695415695415,0.031,0.028,1.14,300,rural,urban,0.5364182067937879,rural
85,0.014,*results_top_three_domain_frac_cnn.com,220,80,0.01,0.014,0.0,inf,300,rural,urban,0.002519038631744581,rural
86,0.0,results_top_domain_frac_cnn.com,220,80,0.0,0.0,0.0,,300,rural,urban,,
87,0.012,results_full_snippet_mean_polarity,220,80,0.04249674242424242,0.039,0.051,1.31,300,rural,urban,0.7181165417617839,urban
88,0.011,results_top_three_snippet_mean_polarity,220,80,0.09154633333333334,0.089,0.1,1.13,300,rural,urban,0.8123759450170605,urban
89,0.008,results_top_snippet_mean_polarity,220,80,0.2743466666666667,0.272,0.28,1.03,300,rural,urban,0.906259570060212,urban
90,0.012,results_full_snippet_mean_polarity,220,80,0.04249674242424242,0.039,0.051,1.31,300,rural,urban,0.7181165417617839,urban
91,0.011,results_top_three_snippet_mean_polarity,220,80,0.09154633333333334,0.089,0.1,1.13,300,rural,urban,0.8123759450170605,urban
92,0.008,results_top_snippet_mean_polarity,220,80,0.2743466666666667,0.272,0.28,1.03,300,rural,urban,0.906259570060212,urban
93,0.007,results_avg_jacc,220,80,0.9087095913463402,0.91,0.904,1.01,300,rural,urban,0.7393239797359269,rural
94,0.013,results_avg_edit,220,80,1.9636752136752136,1.96,1.973,1.01,300,rural,urban,0.9656720594541617,urban
95,0.001,results_full_domain_frac_people also ask,130,270,0.02201048951048951,0.021,0.022,1.06,400,low-income,high-income,0.7414482082356997,high-income
96,0.0,results_top_three_domain_frac_people also ask,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
97,0.0,results_top_domain_frac_people also ask,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
98,0.0,results_full_domain_frac_cbssports.com,130,270,0.02899155011655012,0.029,0.029,1.0,400,low-income,high-income,0.9985594007098187,high-income
99,0.0,results_top_three_domain_frac_cbssports.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
100,0.0,results_top_domain_frac_cbssports.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
101,0.0,results_full_domain_frac_vanityfair.com,130,270,0.016634615384615383,0.017,0.017,1.0,400,low-income,high-income,0.9929255644245163,low-income
102,0.0,results_top_three_domain_frac_vanityfair.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
103,0.0,results_top_domain_frac_vanityfair.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
104,0.0,results_full_domain_frac_deadspin.com,130,270,0.013534965034965036,0.013,0.014,1.01,400,low-income,high-income,0.9767767550833973,high-income
105,0.0,results_top_three_domain_frac_deadspin.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
106,0.0,results_top_domain_frac_deadspin.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
107,0.0,results_full_domain_frac_go.com,130,270,0.010416666666666664,0.01,0.01,1.02,400,low-income,high-income,0.9357303088668085,high-income
108,0.0,results_top_three_domain_frac_go.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
109,0.0,results_top_domain_frac_go.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
110,0.001,results_full_domain_frac_nbcnews.com,130,270,0.016858974358974356,0.017,0.017,1.04,400,low-income,high-income,0.8537463983693883,low-income
111,0.0,results_top_three_domain_frac_nbcnews.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
112,0.0,results_top_domain_frac_nbcnews.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
113,0.001,results_full_domain_frac_247sports.com,130,270,0.012658133533133532,0.014,0.012,1.11,400,low-income,high-income,0.720306749025302,low-income
114,0.0,results_top_three_domain_frac_247sports.com,130,270,0.03333333333333333,0.033,0.033,1.0,400,low-income,high-income,1.0,
115,0.0,results_top_domain_frac_247sports.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
116,0.001,results_full_domain_frac_newyorker.com,130,270,0.009791666666666666,0.01,0.01,1.07,400,low-income,high-income,0.812790010864854,low-income
117,0.0,results_top_three_domain_frac_newyorker.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
118,0.0,results_top_domain_frac_newyorker.com,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
119,0.0,results_full_domain_frac_imdb.com,130,270,0.016815268065268063,0.017,0.017,1.0,400,low-income,high-income,0.9943680036895389,low-income
