,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_allstate.com,920,280,0.1,0.1,0.1,1.0,1200,rural,urban,1.0,
1,0.003,results_top_three_domain_appears_allstate.com,920,280,0.06916666666666667,0.068,0.071,1.04,1200,rural,urban,0.8663872306371574,urban
2,0.003,results_top_domain_appears_allstate.com,920,280,0.034166666666666665,0.035,0.032,1.08,1200,rural,urban,0.8283326202418992,rural
3,0.005,results_full_domain_appears_google.com,920,280,0.0925,0.091,0.096,1.06,1200,rural,urban,0.7985376354969245,urban
4,0.008,results_top_three_domain_appears_google.com,920,280,0.013333333333333334,0.015,0.007,2.13,1200,rural,urban,0.21172968842886458,rural
5,0.0,results_top_domain_appears_google.com,920,280,0.0,0.0,0.0,,1200,rural,urban,,
6,0.002,results_full_domain_appears_libertymutual.com,920,280,0.11666666666666667,0.116,0.118,1.01,1200,rural,urban,0.9437891674924263,urban
7,0.001,results_top_three_domain_appears_libertymutual.com,920,280,0.004166666666666667,0.004,0.004,1.22,1200,rural,urban,0.8526943743517952,rural
8,0.0,results_top_domain_appears_libertymutual.com,920,280,0.0,0.0,0.0,,1200,rural,urban,,
9,0.004,results_full_domain_appears_webmd.com,920,280,0.3491666666666667,0.35,0.346,1.01,1200,rural,urban,0.9126605991480996,rural
10,0.001,results_top_three_domain_appears_webmd.com,920,280,0.27416666666666667,0.274,0.275,1.0,1200,rural,urban,0.971598253823632,urban
11,0.0,results_top_domain_appears_webmd.com,920,280,0.125,0.125,0.125,1.0,1200,rural,urban,1.0,
12,0.002,results_full_domain_appears_wellsfargo.com,920,280,0.09833333333333333,0.099,0.096,1.03,1200,rural,urban,0.902312680122091,rural
13,0.004,results_top_three_domain_appears_wellsfargo.com,920,280,0.049166666666666664,0.05,0.046,1.08,1200,rural,urban,0.8056070363763876,rural
14,0.002,results_top_domain_appears_wellsfargo.com,920,280,0.02,0.02,0.021,1.1,1200,rural,urban,0.849281537808649,urban
15,0.007,results_full_domain_appears_nerdwallet.com,920,280,0.17666666666666667,0.178,0.171,1.04,1200,rural,urban,0.7917035768525187,rural
16,0.001,results_top_three_domain_appears_nerdwallet.com,920,280,0.043333333333333335,0.043,0.043,1.01,1200,rural,urban,0.9642918334061583,rural
17,0.0,results_top_domain_appears_nerdwallet.com,920,280,0.0,0.0,0.0,,1200,rural,urban,,
18,0.002,results_full_domain_appears_medicinenet.com,920,280,0.27666666666666667,0.276,0.279,1.01,1200,rural,urban,0.935374177964821,urban
19,0.007,results_top_three_domain_appears_medicinenet.com,920,280,0.03,0.032,0.025,1.26,1200,rural,urban,0.5528386782270108,rural
20,0.0,results_top_domain_appears_medicinenet.com,920,280,0.025,0.025,0.025,1.0,1200,rural,urban,1.0,
21,0.001,results_full_domain_appears_medlineplus.gov,920,280,0.07583333333333334,0.076,0.075,1.01,1200,rural,urban,0.9519588985384697,rural
22,0.003,results_top_three_domain_appears_medlineplus.gov,920,280,0.0225,0.022,0.025,1.15,1200,rural,urban,0.7565580183474581,urban
23,0.0,results_top_domain_appears_medlineplus.gov,920,280,0.0,0.0,0.0,,1200,rural,urban,,
24,0.0,results_full_domain_appears_theatlantic.com,920,280,0.1,0.1,0.1,1.0,1200,rural,urban,1.0,
25,0.0,results_top_three_domain_appears_theatlantic.com,920,280,0.0,0.0,0.0,,1200,rural,urban,,
26,0.0,results_top_domain_appears_theatlantic.com,920,280,0.0,0.0,0.0,,1200,rural,urban,,
27,0.011,results_full_domain_appears_NewsCarousel,920,280,0.16916666666666666,0.172,0.161,1.07,1200,rural,urban,0.6627497906455402,rural
28,0.001,results_top_three_domain_appears_NewsCarousel,920,280,0.07583333333333334,0.076,0.075,1.01,1200,rural,urban,0.9519588985384697,rural
29,0.002,results_top_domain_appears_NewsCarousel,920,280,0.005833333333333334,0.005,0.007,1.31,1200,rural,urban,0.7602876681871782,urban
