,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_wikipedia.org,320,96,1.0,1.0,1.0,1.0,416,rural,urban,,
1,0.0,results_full_domain_appears_youtube.com,115,35,1.0,1.0,1.0,1.0,150,rural,urban,,
2,0.0,results_full_domain_appears_wikipedia.org,264,283,1.0,1.0,1.0,1.0,547,low-income,high-income,,
3,0.0,results_full_domain_appears_youtube.com,95,101,1.0,1.0,1.0,1.0,196,low-income,high-income,,
4,0.0,results_full_domain_appears_wikipedia.org,469,78,1.0,1.0,1.0,1.0,547,GOP,DEM,,
5,0.0,results_full_domain_appears_youtube.com,167,29,1.0,1.0,1.0,1.0,196,GOP,DEM,,
6,0.0,results_top_three_domain_appears_wikipedia.org,79,23,1.0,1.0,1.0,1.0,102,rural,urban,,
7,,results_top_three_domain_appears_youtube.com,1,0,1.0,1.0,,,1,rural,urban,,urban
8,0.0,results_top_three_domain_appears_wikipedia.org,64,69,1.0,1.0,1.0,1.0,133,low-income,high-income,,
9,,results_top_three_domain_appears_youtube.com,0,1,1.0,,1.0,,1,low-income,high-income,,high-income
10,0.0,results_top_three_domain_appears_wikipedia.org,115,18,1.0,1.0,1.0,1.0,133,GOP,DEM,,
11,,results_top_three_domain_appears_youtube.com,1,0,1.0,1.0,,,1,GOP,DEM,,DEM
12,0.0,results_top_domain_appears_wikipedia.org,23,7,1.0,1.0,1.0,1.0,30,rural,urban,,
13,0.0,results_top_domain_appears_wikipedia.org,19,21,1.0,1.0,1.0,1.0,40,low-income,high-income,,
14,0.0,results_top_domain_appears_wikipedia.org,34,6,1.0,1.0,1.0,1.0,40,GOP,DEM,,
