,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.002,results_top_domain_appears_NewsCarousel,920,280,0.005833333333333334,0.005,0.007,1.31,1200,rural,urban,0.7602876681871782,urban
1,0.0,results_top_domain_appears_youtube.com,920,280,0.0,0.0,0.0,,1200,rural,urban,,
2,0.0,results_top_domain_appears_wikipedia.org,920,280,0.025,0.025,0.025,1.0,1200,rural,urban,1.0,
3,0.012,results_top_domain_appears_MapsLocations,920,280,0.08,0.077,0.089,1.16,1200,rural,urban,0.5286544803217186,urban
4,0.0,results_top_domain_appears_UserTweetCarousel,920,280,0.0,0.0,0.0,,1200,rural,urban,,
5,0.001,results_top_domain_appears_NewsCarousel,760,826,0.0069356872635561164,0.007,0.007,1.1,1586,low-income,high-income,0.8694068245177589,high-income
6,0.0,results_top_domain_appears_youtube.com,760,826,0.0,0.0,0.0,,1586,low-income,high-income,,
7,0.0,results_top_domain_appears_wikipedia.org,760,826,0.025220680958385876,0.025,0.025,1.02,1586,low-income,high-income,0.9571414898506678,high-income
8,0.002,results_top_domain_appears_MapsLocations,760,826,0.08511979823455233,0.084,0.086,1.02,1586,low-income,high-income,0.9009827373525012,high-income
9,0.0,results_top_domain_appears_UserTweetCarousel,760,826,0.0,0.0,0.0,,1586,low-income,high-income,,
10,0.007,results_top_domain_appears_NewsCarousel,1360,226,0.0069356872635561164,0.006,0.013,2.26,1586,GOP,DEM,0.3507129427138421,DEM
11,0.0,results_top_domain_appears_youtube.com,1360,226,0.0,0.0,0.0,,1586,GOP,DEM,,
12,0.002,results_top_domain_appears_wikipedia.org,1360,226,0.025220680958385876,0.025,0.027,1.06,1586,GOP,DEM,0.8931849997911372,DEM
13,0.035,results_top_domain_appears_MapsLocations,1360,226,0.08511979823455233,0.08,0.115,1.44,1586,GOP,DEM,0.12220576477717016,DEM
14,0.0,results_top_domain_appears_UserTweetCarousel,1360,226,0.0,0.0,0.0,,1586,GOP,DEM,,
