,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_scientificamerican.com,460,140,0.007692307692307693,0.008,0.008,1.0,600,rural,urban,0.9999999999999998,urban
1,0.0,results_top_three_domain_frac_scientificamerican.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
2,0.0,results_top_domain_frac_scientificamerican.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
3,0.0,results_full_domain_frac_activebeat.com,460,140,0.009138888888888889,0.009,0.009,1.0,600,rural,urban,0.9891935140159066,urban
4,0.0,results_top_three_domain_frac_activebeat.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
5,0.0,results_top_domain_frac_activebeat.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
6,0.0,results_full_domain_frac_mensfitness.com,460,140,0.013257575757575758,0.013,0.013,1.0,600,rural,urban,0.9999999999999996,rural
7,0.0,results_top_three_domain_frac_mensfitness.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
8,0.0,results_top_domain_frac_mensfitness.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
9,0.0,results_full_domain_frac_helpguide.org,460,140,0.01217948717948718,0.012,0.012,1.0,600,rural,urban,0.9999999999999997,urban
10,0.0,results_top_three_domain_frac_helpguide.org,460,140,0.05,0.05,0.05,1.0,600,rural,urban,0.9999999999999997,rural
11,0.0,results_top_domain_frac_helpguide.org,460,140,0.05,0.05,0.05,1.0,600,rural,urban,1.0,
12,0.0,results_full_domain_frac_everydayhealth.com,460,140,0.0088510101010101,0.009,0.009,1.02,600,rural,urban,0.943160880852199,rural
13,0.0,results_top_three_domain_frac_everydayhealth.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
14,0.0,results_top_domain_frac_everydayhealth.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
15,0.001,results_full_domain_frac_huffingtonpost.com,460,140,0.02316433566433566,0.023,0.024,1.04,600,rural,urban,0.8706955675834103,urban
16,0.0,results_top_three_domain_frac_huffingtonpost.com,460,140,0.016666666666666666,0.017,0.017,1.0,600,rural,urban,0.9999999999999996,rural
17,0.0,results_top_domain_frac_huffingtonpost.com,460,140,0.0,0.0,0.0,,600,rural,urban,,
18,0.0,results_full_domain_frac_medicalnewstoday.com,460,140,0.043149184149184144,0.043,0.043,1.01,600,rural,urban,0.9687428384837097,urban
19,0.001,results_top_three_domain_frac_medicalnewstoday.com,460,140,0.049444444444444444,0.049,0.05,1.01,600,rural,urban,0.9624631355988723,urban
