,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_wikipedia.org,195,62,1.0,1.0,1.0,1.0,257,rural,urban,,
1,0.0,results_full_domain_appears_youtube.com,69,21,1.0,1.0,1.0,1.0,90,rural,urban,,
2,0.0,results_full_domain_appears_wikipedia.org,162,180,1.0,1.0,1.0,1.0,342,low-income,high-income,,
3,0.0,results_full_domain_appears_youtube.com,57,63,1.0,1.0,1.0,1.0,120,low-income,high-income,,
4,0.0,results_full_domain_appears_wikipedia.org,291,51,1.0,1.0,1.0,1.0,342,GOP,DEM,,
5,0.0,results_full_domain_appears_youtube.com,102,18,1.0,1.0,1.0,1.0,120,GOP,DEM,,
6,0.0,results_top_three_domain_appears_wikipedia.org,23,7,1.0,1.0,1.0,1.0,30,rural,urban,,
7,0.0,results_top_three_domain_appears_wikipedia.org,19,22,1.0,1.0,1.0,1.0,41,low-income,high-income,,
8,0.0,results_top_three_domain_appears_wikipedia.org,34,7,1.0,1.0,1.0,1.0,41,GOP,DEM,,
9,0.0,results_top_domain_appears_wikipedia.org,23,7,1.0,1.0,1.0,1.0,30,rural,urban,,
10,0.0,results_top_domain_appears_wikipedia.org,19,21,1.0,1.0,1.0,1.0,40,low-income,high-income,,
11,0.0,results_top_domain_appears_wikipedia.org,34,6,1.0,1.0,1.0,1.0,40,GOP,DEM,,
