,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.018,results_full_domain_appears_thegeneral.com,230,70,0.24333333333333335,0.239,0.257,1.08,300,rural,urban,0.7633937582322371,urban
1,0.007,results_top_three_domain_appears_thegeneral.com,230,70,0.02,0.022,0.014,1.52,300,rural,urban,0.6660349454273102,rural
2,0.004,results_top_domain_appears_thegeneral.com,230,70,0.0033333333333333335,0.004,0.0,inf,300,rural,urban,0.31836599420477074,rural
3,0.0,results_full_domain_appears_allstate.com,230,70,0.4,0.4,0.4,1.0,300,rural,urban,1.0,
4,0.012,results_top_three_domain_appears_allstate.com,230,70,0.27666666666666667,0.274,0.286,1.04,300,rural,urban,0.8490378212524614,urban
5,0.011,results_top_domain_appears_allstate.com,230,70,0.13666666666666666,0.139,0.129,1.08,300,rural,urban,0.8201291707650148,rural
6,0.02,results_full_domain_appears_google.com,230,70,0.37,0.365,0.386,1.06,300,rural,urban,0.7591134523374898,urban
7,0.032,results_top_three_domain_appears_google.com,230,70,0.05333333333333334,0.061,0.029,2.13,300,rural,urban,0.20767859645948555,rural
8,0.0,results_top_domain_appears_google.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
9,0.006,results_full_domain_appears_libertymutual.com,230,70,0.4666666666666667,0.465,0.471,1.01,300,rural,urban,0.9279534103713892,urban
10,0.003,results_top_three_domain_appears_libertymutual.com,230,70,0.016666666666666666,0.017,0.014,1.22,300,rural,urban,0.8527298237572556,rural
11,0.0,results_top_domain_appears_libertymutual.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
12,0.0,results_full_domain_appears_bcbs.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
13,0.0,results_top_three_domain_appears_bcbs.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
14,0.0,results_top_domain_appears_bcbs.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
15,0.003,results_full_domain_appears_nerdwallet.com,230,70,0.31666666666666665,0.317,0.314,1.01,300,rural,urban,0.9612570974404756,rural
16,0.002,results_top_three_domain_appears_nerdwallet.com,230,70,0.17333333333333334,0.174,0.171,1.01,300,rural,urban,0.9618487432198803,rural
17,0.0,results_top_domain_appears_nerdwallet.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
18,0.006,results_full_domain_appears_farmers.com,230,70,0.29,0.291,0.286,1.02,300,rural,urban,0.9284571654232109,rural
19,0.012,results_top_three_domain_appears_farmers.com,230,70,0.12333333333333334,0.126,0.114,1.1,300,rural,urban,0.7896522014558649,rural
20,0.0,results_top_domain_appears_farmers.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
21,0.0,results_full_domain_appears_theatlantic.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
22,0.0,results_top_three_domain_appears_theatlantic.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
23,0.0,results_top_domain_appears_theatlantic.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
24,0.0,results_full_domain_appears_uhc.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
25,0.013,results_top_three_domain_appears_uhc.com,230,70,0.01,0.013,0.0,inf,300,rural,urban,0.0832615637025905,rural
26,0.0,results_top_domain_appears_uhc.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
27,0.016,results_full_domain_appears_progressive.insurance,230,70,0.18333333333333332,0.187,0.171,1.09,300,rural,urban,0.7665307650750134,rural
28,0.065,**results_top_three_domain_appears_progressive.insurance,230,70,0.05,0.065,0.0,inf,300,rural,urban,8.650357827145998e-05,rural
29,0.0,results_top_domain_appears_progressive.insurance,230,70,0.0,0.0,0.0,,300,rural,urban,,
30,0.044,results_full_domain_appears_NewsCarousel,230,70,0.27666666666666667,0.287,0.243,1.18,300,rural,urban,0.4611965827936687,rural
31,0.004,results_top_three_domain_appears_NewsCarousel,230,70,0.10333333333333333,0.104,0.1,1.04,300,rural,urban,0.9165058654662883,rural
32,0.011,results_top_domain_appears_NewsCarousel,230,70,0.02,0.017,0.029,1.64,300,rural,urban,0.6098468820382232,urban
33,0.0,results_full_domain_appears_youtube.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
34,0.004,results_top_three_domain_appears_youtube.com,230,70,0.0033333333333333335,0.004,0.0,inf,300,rural,urban,0.31836599420477074,rural
35,0.0,results_top_domain_appears_youtube.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
36,0.0,results_full_domain_appears_geico.com,230,70,0.6,0.6,0.6,1.0,300,rural,urban,1.0,
37,0.1,results_top_three_domain_appears_geico.com,230,70,0.37666666666666665,0.4,0.3,1.33,300,rural,urban,0.12059340667283423,rural
38,0.017,results_top_domain_appears_geico.com,230,70,0.23,0.226,0.243,1.07,300,rural,urban,0.7751115917350093,urban
39,0.0,results_full_domain_appears_metlife.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
40,0.0,results_top_three_domain_appears_metlife.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
41,0.024,results_top_domain_appears_metlife.com,230,70,0.04666666666666667,0.052,0.029,1.83,300,rural,urban,0.3440047716130683,rural
42,0.017,results_full_domain_appears_apple.com,230,70,0.23,0.226,0.243,1.07,300,rural,urban,0.7751115917350093,urban
43,0.0,results_top_three_domain_appears_apple.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
44,0.0,results_top_domain_appears_apple.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
45,0.004,results_full_domain_appears_progressive.com,230,70,0.6966666666666667,0.696,0.7,1.01,300,rural,urban,0.9450932039140795,urban
46,0.061,results_top_three_domain_appears_progressive.com,230,70,0.41,0.396,0.457,1.16,300,rural,urban,0.3686515303533925,urban
47,0.021,results_top_domain_appears_progressive.com,230,70,0.2733333333333333,0.278,0.257,1.08,300,rural,urban,0.7271463311755303,rural
48,0.009,results_full_domain_appears_wikipedia.org,230,70,0.30666666666666664,0.309,0.3,1.03,300,rural,urban,0.8905493581579451,rural
49,0.011,results_top_three_domain_appears_wikipedia.org,230,70,0.08,0.083,0.071,1.16,300,rural,urban,0.7563260151342743,rural
50,0.0,results_top_domain_appears_wikipedia.org,230,70,0.0,0.0,0.0,,300,rural,urban,,
51,0.0,results_full_domain_appears_facebook.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
52,0.009,results_top_three_domain_appears_facebook.com,230,70,0.006666666666666667,0.009,0.0,inf,300,rural,urban,0.15775097519786724,rural
53,0.0,results_top_domain_appears_facebook.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
54,0.0,results_full_domain_appears_wired.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
55,0.0,results_top_three_domain_appears_wired.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
56,0.0,results_top_domain_appears_wired.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
57,0.0,results_full_domain_appears_healthcare.gov,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
58,0.0,results_top_three_domain_appears_healthcare.gov,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
59,0.011,results_top_domain_appears_healthcare.gov,230,70,0.08,0.083,0.071,1.16,300,rural,urban,0.7563260151342742,rural
60,0.22,**results_full_domain_appears_MapsLocations,230,70,0.66,0.609,0.829,1.36,300,rural,urban,0.00012153815281575139,urban
61,0.065,results_top_three_domain_appears_MapsLocations,230,70,0.25,0.235,0.3,1.28,300,rural,urban,0.29421722642805415,urban
62,0.014,results_top_domain_appears_MapsLocations,230,70,0.14666666666666667,0.143,0.157,1.1,300,rural,urban,0.7832802035979286,urban
63,0.009,results_full_domain_appears_UserTweetCarousel,230,70,0.3933333333333333,0.391,0.4,1.02,300,rural,urban,0.8972993667819068,urban
64,0.009,results_top_three_domain_appears_UserTweetCarousel,230,70,0.3933333333333333,0.391,0.4,1.02,300,rural,urban,0.8972993667819068,urban
65,0.0,results_top_domain_appears_UserTweetCarousel,230,70,0.0,0.0,0.0,,300,rural,urban,,
66,0.029,results_full_domain_appears_nationwide.com,230,70,0.4633333333333333,0.457,0.486,1.06,300,rural,urban,0.6711691365159709,urban
67,0.013,results_top_three_domain_appears_nationwide.com,230,70,0.09,0.087,0.1,1.15,300,rural,urban,0.7488247574309742,urban
68,0.0,results_top_domain_appears_nationwide.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
69,0.0,results_full_domain_appears_ehealthinsurance.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
70,0.0,results_top_three_domain_appears_ehealthinsurance.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
71,0.0,results_top_domain_appears_ehealthinsurance.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
72,0.001,results_full_domain_appears_safeauto.com,230,70,0.24333333333333335,0.243,0.243,1.0,300,rural,urban,0.9916047292799748,rural
73,0.002,results_top_three_domain_appears_safeauto.com,230,70,0.03,0.03,0.029,1.07,300,rural,urban,0.9356961008853302,rural
74,0.0,results_top_domain_appears_safeauto.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
75,0.0,results_full_domain_appears_policygenius.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
76,0.0,results_top_three_domain_appears_policygenius.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
77,0.0,results_top_domain_appears_policygenius.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
78,0.009,results_full_domain_appears_esurance.com,230,70,0.3933333333333333,0.391,0.4,1.02,300,rural,urban,0.8972993667819069,urban
79,0.048,results_top_three_domain_appears_esurance.com,230,70,0.06333333333333334,0.052,0.1,1.92,300,rural,urban,0.22307247861159216,urban
80,0.006,results_top_domain_appears_esurance.com,230,70,0.01,0.009,0.014,1.64,300,rural,urban,0.7199762873476716,urban
81,0.0,results_full_domain_appears_washingtonpost.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
82,0.0,results_top_three_domain_appears_washingtonpost.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
83,0.0,results_top_domain_appears_washingtonpost.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
84,0.0,results_full_domain_appears_nytimes.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
85,0.0,results_top_three_domain_appears_nytimes.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
86,0.0,results_top_domain_appears_nytimes.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
87,0.009,results_full_domain_appears_statefarm.com,230,70,0.5933333333333334,0.591,0.6,1.01,300,rural,urban,0.8974692335314449,urban
88,0.014,results_top_three_domain_appears_statefarm.com,230,70,0.10333333333333333,0.1,0.114,1.14,300,rural,urban,0.7411024368686405,urban
89,0.024,results_top_domain_appears_statefarm.com,230,70,0.05333333333333334,0.048,0.071,1.49,300,rural,urban,0.4899541036453374,urban
90,0.0,results_full_snippet_mean_polarity,230,70,0.5068185385281385,0.507,0.506,1.0,300,rural,urban,0.9731959835218151,rural
91,0.008,results_top_three_snippet_mean_polarity,230,70,0.5341643333333334,0.536,0.528,1.01,300,rural,urban,0.7614125918406422,rural
