,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.044,results_full_domain_appears_NewsCarousel,230,70,0.27666666666666667,0.287,0.243,1.18,300,rural,urban,0.4611965827936687,rural
1,0.0,results_full_domain_appears_youtube.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
2,0.009,results_full_domain_appears_wikipedia.org,230,70,0.30666666666666664,0.309,0.3,1.03,300,rural,urban,0.8905493581579451,rural
3,0.0,results_full_domain_appears_facebook.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
4,0.22,**results_full_domain_appears_MapsLocations,230,70,0.66,0.609,0.829,1.36,300,rural,urban,0.00012153815281575139,urban
5,0.009,results_full_domain_appears_UserTweetCarousel,230,70,0.3933333333333333,0.391,0.4,1.02,300,rural,urban,0.8972993667819068,urban
6,0.022,results_full_domain_appears_NewsCarousel,190,206,0.2904040404040404,0.279,0.301,1.08,396,low-income,high-income,0.6302986828226479,high-income
7,0.016,results_full_domain_appears_youtube.com,190,206,0.1919191919191919,0.2,0.184,1.08,396,low-income,high-income,0.6961962771960895,low-income
8,0.001,results_full_domain_appears_wikipedia.org,190,206,0.3055555555555556,0.305,0.306,1.0,396,low-income,high-income,0.9903515189443268,high-income
9,0.006,results_full_domain_appears_facebook.com,190,206,0.19696969696969696,0.2,0.194,1.03,396,low-income,high-income,0.8846392151249416,low-income
10,0.002,results_full_domain_appears_MapsLocations,190,206,0.6590909090909091,0.658,0.66,1.0,396,low-income,high-income,0.9616595838591824,high-income
11,0.026,results_full_domain_appears_UserTweetCarousel,190,206,0.38636363636363635,0.4,0.374,1.07,396,low-income,high-income,0.5937911244059605,low-income
12,0.036,results_full_domain_appears_NewsCarousel,340,56,0.2904040404040404,0.285,0.321,1.13,396,GOP,DEM,0.594499270537333,DEM
13,0.005,results_full_domain_appears_youtube.com,340,56,0.1919191919191919,0.191,0.196,1.03,396,GOP,DEM,0.9276853402682002,DEM
14,0.023,results_full_domain_appears_wikipedia.org,340,56,0.3055555555555556,0.309,0.286,1.08,396,GOP,DEM,0.726741266748204,GOP
15,0.021,results_full_domain_appears_facebook.com,340,56,0.19696969696969696,0.2,0.179,1.12,396,GOP,DEM,0.7031807813633077,GOP
16,0.064,results_full_domain_appears_MapsLocations,340,56,0.6590909090909091,0.65,0.714,1.1,396,GOP,DEM,0.33453328056833,DEM
17,0.013,results_full_domain_appears_UserTweetCarousel,340,56,0.38636363636363635,0.388,0.375,1.04,396,GOP,DEM,0.8514746130826525,GOP
