,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.025,**results_full_domain_frac_MapsLocations,230,70,0.06413947163947163,0.058,0.084,1.43,300,rural,urban,4.032315599543679e-05,urban
1,0.002,results_full_domain_frac_UserTweetCarousel,230,70,0.05275,0.053,0.051,1.04,300,rural,urban,0.8148848884000437,rural
2,0.003,results_full_domain_frac_youtube.com,230,70,0.02733333333333333,0.028,0.025,1.1,300,rural,urban,0.7267917954288019,rural
3,0.003,results_full_domain_frac_wikipedia.org,230,70,0.03728499278499279,0.038,0.035,1.1,300,rural,urban,0.6520651079038203,rural
4,0.001,results_full_domain_frac_facebook.com,230,70,0.02676190476190476,0.027,0.026,1.04,300,rural,urban,0.8937886219678212,rural
5,0.003,results_full_domain_frac_UserTweetCarousel,190,206,0.05189393939393939,0.054,0.05,1.07,396,low-income,high-income,0.6151741105904156,low-income
6,0.003,results_full_domain_frac_youtube.com,190,206,0.026280663780663783,0.028,0.025,1.1,396,low-income,high-income,0.6444666888671022,low-income
7,0.001,results_full_domain_frac_wikipedia.org,190,206,0.036936737504919326,0.036,0.037,1.03,396,low-income,high-income,0.8695077678697892,high-income
8,0.0,results_full_domain_frac_facebook.com,190,206,0.026497113997113998,0.027,0.026,1.01,396,low-income,high-income,0.9555434157510426,low-income
9,0.002,results_full_domain_frac_UserTweetCarousel,340,56,0.05189393939393939,0.052,0.05,1.04,396,GOP,DEM,0.8221293597038613,GOP
10,0.001,results_full_domain_frac_youtube.com,340,56,0.026280663780663776,0.026,0.027,1.02,396,GOP,DEM,0.9407755272001087,DEM
11,0.0,results_full_domain_frac_wikipedia.org,340,56,0.036936737504919326,0.037,0.037,1.01,396,GOP,DEM,0.9598632603419124,GOP
12,0.004,results_full_domain_frac_facebook.com,340,56,0.026497113997113998,0.027,0.023,1.16,396,GOP,DEM,0.6120520009434319,GOP
13,0.022,**results_top_three_domain_frac_progressive.insurance,230,70,0.016666666666666666,0.022,0.0,inf,300,rural,urban,8.650357827146025e-05,rural
14,0.011,**results_top_three_domain_frac_safeauto.com,340,56,0.009259259259259259,0.011,0.0,inf,396,GOP,DEM,0.0008482360358870106,GOP
15,0.004,*results_top_three_domain_frac_uhc.com,340,56,0.003367003367003367,0.004,0.0,inf,396,GOP,DEM,0.04533929034126976,GOP
16,0.005,*results_top_three_domain_frac_libertymutual.com,340,56,0.004208754208754209,0.005,0.0,inf,396,GOP,DEM,0.02512977373078558,GOP
17,0.013,**results_top_three_domain_frac_thegeneral.com,340,56,0.010942760942760942,0.013,0.0,inf,396,GOP,DEM,0.00028044976236394237,GOP
18,0.003,results_top_three_domain_frac_UserTweetCarousel,230,70,0.13111111111111112,0.13,0.133,1.02,300,rural,urban,0.897299366781906,urban
19,0.001,results_top_three_domain_frac_youtube.com,230,70,0.0011111111111111111,0.001,0.0,inf,300,rural,urban,0.3183659942047706,rural
20,0.004,results_top_three_domain_frac_wikipedia.org,230,70,0.02666666666666666,0.028,0.024,1.16,300,rural,urban,0.7563260151342746,rural
21,0.003,results_top_three_domain_frac_facebook.com,230,70,0.0022222222222222222,0.003,0.0,inf,300,rural,urban,0.15775097519786724,rural
22,0.009,results_top_three_domain_frac_UserTweetCarousel,190,206,0.12878787878787876,0.133,0.125,1.07,396,low-income,high-income,0.5937911244059615,low-income
23,0.002,results_top_three_domain_frac_youtube.com,190,206,0.0008417508417508417,0.0,0.002,inf,396,low-income,high-income,0.3184894122465522,high-income
24,0.002,results_top_three_domain_frac_wikipedia.org,190,206,0.023569023569023566,0.025,0.023,1.08,396,low-income,high-income,0.8251462529648316,low-income
25,0.0,results_top_three_domain_frac_facebook.com,190,206,0.0016835016835016834,0.002,0.002,1.08,396,low-income,high-income,0.9545001955057483,low-income
26,0.004,results_top_three_domain_frac_UserTweetCarousel,340,56,0.12878787878787876,0.129,0.125,1.04,396,GOP,DEM,0.8514746130826532,GOP
27,0.001,results_top_three_domain_frac_youtube.com,340,56,0.0008417508417508417,0.001,0.0,inf,396,GOP,DEM,0.3180237591678171,GOP
28,0.007,results_top_three_domain_frac_wikipedia.org,340,56,0.02356902356902357,0.025,0.018,1.37,396,GOP,DEM,0.5530935867390422,GOP
29,0.002,results_top_three_domain_frac_facebook.com,340,56,0.0016835016835016834,0.002,0.0,inf,396,GOP,DEM,0.15760469257311338,GOP
30,0.105,*results_top_domain_frac_allstate.com,340,56,0.12626262626262627,0.141,0.036,3.95,396,GOP,DEM,0.0010176368623396076,GOP
31,0.0,results_top_domain_frac_UserTweetCarousel,230,70,0.0,0.0,0.0,,300,rural,urban,,
32,0.0,results_top_domain_frac_youtube.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
33,0.0,results_top_domain_frac_wikipedia.org,230,70,0.0,0.0,0.0,,300,rural,urban,,
34,0.0,results_top_domain_frac_facebook.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
35,0.0,results_top_domain_frac_UserTweetCarousel,190,206,0.0,0.0,0.0,,396,low-income,high-income,,
36,0.0,results_top_domain_frac_youtube.com,190,206,0.0,0.0,0.0,,396,low-income,high-income,,
37,0.0,results_top_domain_frac_wikipedia.org,190,206,0.0,0.0,0.0,,396,low-income,high-income,,
38,0.0,results_top_domain_frac_facebook.com,190,206,0.0,0.0,0.0,,396,low-income,high-income,,
39,0.0,results_top_domain_frac_UserTweetCarousel,340,56,0.0,0.0,0.0,,396,GOP,DEM,,
40,0.0,results_top_domain_frac_youtube.com,340,56,0.0,0.0,0.0,,396,GOP,DEM,,
41,0.0,results_top_domain_frac_wikipedia.org,340,56,0.0,0.0,0.0,,396,GOP,DEM,,
42,0.0,results_top_domain_frac_facebook.com,340,56,0.0,0.0,0.0,,396,GOP,DEM,,
